昨收价,时间,最新价,涨跌幅(%),成交量(手),操作,交易类型
30.3,09:15:02,30.47,0.5610561056105549,17,0,4
30.3,09:15:05,29.9,-1.320132013201327,873,0,4
30.3,09:15:08,29.9,-1.320132013201327,1743,0,4
30.3,09:15:11,29.9,-1.320132013201327,2619,0,4
30.3,09:15:14,29.98,-1.056105610561057,2648,0,4
30.3,09:15:17,30.0,-0.9900990099009923,2772,0,4
30.3,09:15:20,30.02,-0.9240924092409277,2840,0,4
30.3,09:15:23,30.06,-0.7920792079207987,2870,0,4
30.3,09:15:26,30.15,-0.4950495049505021,2904,0,4
30.3,09:15:29,30.15,-0.4950495049505021,2922,0,4
30.3,09:15:38,30.15,-0.4950495049505021,2923,0,4
30.3,09:15:41,30.2,-0.3300330033003347,2923,0,4
30.3,09:15:47,30.2,-0.3300330033003347,2965,0,4
30.3,09:15:50,30.2,-0.3300330033003347,3009,0,4
30.3,09:15:59,30.2,-0.3300330033003347,3042,0,4
30.3,09:16:02,30.2,-0.3300330033003347,3042,0,4
30.3,09:16:05,30.2,-0.3300330033003347,3042,0,4
30.3,09:16:08,30.2,-0.3300330033003347,3042,0,4
30.3,09:16:11,30.2,-0.3300330033003347,3044,0,4
30.3,09:16:17,30.2,-0.3300330033003347,3044,0,4
30.3,09:16:20,30.2,-0.3300330033003347,3042,0,4
30.3,09:16:23,30.2,-0.3300330033003347,3051,0,4
30.3,09:16:26,30.2,-0.3300330033003347,3052,0,4
30.3,09:16:29,30.2,-0.3300330033003347,3052,0,4
30.3,09:16:32,30.2,-0.3300330033003347,3056,0,4
30.3,09:16:35,30.18,-0.39603960396039933,3003,0,4
30.3,09:16:38,30.18,-0.39603960396039933,3003,0,4
30.3,09:16:41,30.2,-0.3300330033003347,3019,0,4
30.3,09:16:44,30.2,-0.3300330033003347,3028,0,4
30.3,09:16:47,30.18,-0.39603960396039933,3054,0,4
30.3,09:16:50,30.2,-0.3300330033003347,3181,0,4
30.3,09:16:53,30.2,-0.3300330033003347,3181,0,4
30.3,09:16:56,30.2,-0.3300330033003347,3283,0,4
30.3,09:16:59,30.2,-0.3300330033003347,3283,0,4
30.3,09:17:02,30.2,-0.3300330033003347,3316,0,4
30.3,09:17:05,30.2,-0.3300330033003347,3477,0,4
30.3,09:17:08,30.2,-0.3300330033003347,3316,0,4
30.3,09:17:11,30.2,-0.3300330033003347,3477,0,4
30.3,09:17:14,30.2,-0.3300330033003347,3338,0,4
30.3,09:17:17,30.2,-0.3300330033003347,3372,0,4
30.3,09:17:20,30.2,-0.3300330033003347,3373,0,4
30.3,09:17:23,30.2,-0.3300330033003347,3383,0,4
30.3,09:17:26,30.2,-0.3300330033003347,3391,0,4
30.3,09:17:29,30.2,-0.3300330033003347,3391,0,4
30.3,09:17:32,30.2,-0.3300330033003347,3398,0,4
30.3,09:17:35,30.2,-0.3300330033003347,3398,0,4
30.3,09:17:38,30.2,-0.3300330033003347,3398,0,4
30.3,09:17:41,30.2,-0.3300330033003347,3408,0,4
30.3,09:17:44,30.2,-0.3300330033003347,3408,0,4
30.3,09:17:47,30.2,-0.3300330033003347,3413,0,4
30.3,09:17:50,30.2,-0.3300330033003347,3408,0,4
30.3,09:17:53,30.2,-0.3300330033003347,3413,0,4
30.3,09:17:56,30.2,-0.3300330033003347,3413,0,4
30.3,09:17:59,30.2,-0.3300330033003347,3419,0,4
30.3,09:18:02,30.2,-0.3300330033003347,3419,0,4
30.3,09:18:05,30.2,-0.3300330033003347,3419,0,4
30.3,09:18:08,30.2,-0.3300330033003347,3429,0,4
30.3,09:18:11,30.2,-0.3300330033003347,2834,0,4
30.3,09:18:20,30.2,-0.3300330033003347,2849,0,4
30.3,09:18:23,30.2,-0.3300330033003347,2866,0,4
30.3,09:18:26,30.2,-0.3300330033003347,2852,0,4
30.3,09:18:29,30.2,-0.3300330033003347,2852,0,4
30.3,09:18:32,30.2,-0.3300330033003347,2867,0,4
30.3,09:18:35,30.2,-0.3300330033003347,2867,0,4
30.3,09:18:38,30.2,-0.3300330033003347,3006,0,4
30.3,09:18:41,30.2,-0.3300330033003347,3007,0,4
30.3,09:18:44,30.2,-0.3300330033003347,3038,0,4
30.3,09:18:47,30.2,-0.3300330033003347,3057,0,4
30.3,09:18:50,30.2,-0.3300330033003347,3090,0,4
30.3,09:18:53,30.2,-0.3300330033003347,3092,0,4
30.3,09:18:56,30.2,-0.3300330033003347,3092,0,4
30.3,09:18:59,30.2,-0.3300330033003347,3097,0,4
30.3,09:19:02,30.2,-0.3300330033003347,3115,0,4
30.3,09:19:05,30.2,-0.3300330033003347,3115,0,4
30.3,09:19:11,30.2,-0.3300330033003347,3097,0,4
30.3,09:19:14,30.2,-0.3300330033003347,3098,0,4
30.3,09:19:17,30.2,-0.3300330033003347,3099,0,4
30.3,09:19:20,30.2,-0.3300330033003347,3099,0,4
30.3,09:19:23,30.2,-0.3300330033003347,3099,0,4
30.3,09:19:26,30.2,-0.3300330033003347,3099,0,4
30.3,09:19:29,30.2,-0.3300330033003347,3312,0,4
30.3,09:19:32,30.2,-0.3300330033003347,3338,0,4
30.3,09:19:35,30.2,-0.3300330033003347,3339,0,4
30.3,09:19:38,30.2,-0.3300330033003347,3350,0,4
30.3,09:19:41,30.2,-0.3300330033003347,3390,0,4
30.3,09:19:44,30.2,-0.3300330033003347,3390,0,4
30.3,09:19:47,30.2,-0.3300330033003347,3390,0,4
30.3,09:19:50,30.2,-0.3300330033003347,3392,0,4
30.3,09:19:53,30.2,-0.3300330033003347,3334,0,4
30.3,09:19:56,30.2,-0.3300330033003347,3334,0,4
30.3,09:19:59,30.2,-0.3300330033003347,3337,0,4
30.3,09:20:02,30.2,-0.3300330033003347,3339,0,4
30.3,09:20:05,30.2,-0.3300330033003347,3573,0,4
30.3,09:20:08,30.2,-0.3300330033003347,3709,0,4
30.3,09:20:11,30.2,-0.3300330033003347,3773,0,4
30.3,09:20:14,30.2,-0.3300330033003347,3784,0,4
30.3,09:20:17,30.2,-0.3300330033003347,3786,0,4
30.3,09:20:20,30.2,-0.3300330033003347,3787,0,4
30.3,09:20:23,30.2,-0.3300330033003347,3864,0,4
30.3,09:20:26,30.2,-0.3300330033003347,3893,0,4
30.3,09:20:29,30.2,-0.3300330033003347,3910,0,4
30.3,09:20:32,30.2,-0.3300330033003347,3925,0,4
30.3,09:20:35,30.2,-0.3300330033003347,4127,0,4
30.3,09:20:38,30.2,-0.3300330033003347,4132,0,4
30.3,09:20:41,30.2,-0.3300330033003347,4328,0,4
30.3,09:20:44,30.2,-0.3300330033003347,4343,0,4
30.3,09:20:47,30.2,-0.3300330033003347,4350,0,4
30.3,09:20:50,30.2,-0.3300330033003347,4351,0,4
30.3,09:20:53,30.2,-0.3300330033003347,4351,0,4
30.3,09:20:56,30.2,-0.3300330033003347,4364,0,4
30.3,09:20:59,30.2,-0.3300330033003347,4387,0,4
30.3,09:21:02,30.2,-0.3300330033003347,4390,0,4
30.3,09:21:05,30.2,-0.3300330033003347,4487,0,4
30.3,09:21:08,30.2,-0.3300330033003347,5179,0,4
30.3,09:21:11,30.2,-0.3300330033003347,5256,0,4
30.3,09:21:14,30.2,-0.3300330033003347,5262,0,4
30.3,09:21:17,30.2,-0.3300330033003347,5274,0,4
30.3,09:21:20,30.2,-0.3300330033003347,5291,0,4
30.3,09:21:23,30.2,-0.3300330033003347,5291,0,4
30.3,09:21:26,30.2,-0.3300330033003347,5541,0,4
30.3,09:21:29,30.2,-0.3300330033003347,5576,0,4
30.3,09:21:32,30.2,-0.3300330033003347,5581,0,4
30.3,09:21:35,30.2,-0.3300330033003347,5624,0,4
30.3,09:21:38,30.2,-0.3300330033003347,5624,0,4
30.3,09:21:41,30.2,-0.3300330033003347,5637,0,4
30.3,09:21:44,30.2,-0.3300330033003347,5639,0,4
30.3,09:21:47,30.2,-0.3300330033003347,5748,0,4
30.3,09:21:50,30.2,-0.3300330033003347,5764,0,4
30.3,09:21:53,30.2,-0.3300330033003347,5772,0,4
30.3,09:21:56,30.2,-0.3300330033003347,5784,0,4
30.3,09:21:59,30.2,-0.3300330033003347,5845,0,4
30.3,09:22:02,30.2,-0.3300330033003347,5887,0,4
30.3,09:22:05,30.2,-0.3300330033003347,6052,0,4
30.3,09:22:08,30.2,-0.3300330033003347,7112,0,4
30.3,09:22:11,30.2,-0.3300330033003347,7299,0,4
30.3,09:22:14,30.2,-0.3300330033003347,7309,0,4
30.3,09:22:17,30.2,-0.3300330033003347,7492,0,4
30.3,09:22:20,30.2,-0.3300330033003347,7527,0,4
30.3,09:22:23,30.2,-0.3300330033003347,7533,0,4
30.3,09:22:26,30.2,-0.3300330033003347,7673,0,4
30.3,09:22:29,30.2,-0.3300330033003347,7690,0,4
30.3,09:22:32,30.2,-0.3300330033003347,7800,0,4
30.3,09:22:35,30.2,-0.3300330033003347,7878,0,4
30.3,09:22:38,30.2,-0.3300330033003347,7942,0,4
30.3,09:22:41,30.2,-0.3300330033003347,7995,0,4
30.3,09:22:44,30.2,-0.3300330033003347,8010,0,4
30.3,09:22:47,30.2,-0.3300330033003347,8209,0,4
30.3,09:22:50,30.2,-0.3300330033003347,8236,0,4
30.3,09:22:53,30.2,-0.3300330033003347,8375,0,4
30.3,09:22:56,30.2,-0.3300330033003347,8458,0,4
30.3,09:22:59,30.2,-0.3300330033003347,8565,0,4
30.3,09:23:02,30.2,-0.3300330033003347,8565,0,4
30.3,09:23:05,30.2,-0.3300330033003347,8670,0,4
30.3,09:23:08,30.2,-0.3300330033003347,8672,0,4
30.3,09:23:11,30.2,-0.3300330033003347,8704,0,4
30.3,09:23:14,30.2,-0.3300330033003347,8776,0,4
30.3,09:23:17,30.2,-0.3300330033003347,8952,0,4
30.3,09:23:20,30.2,-0.3300330033003347,9158,0,4
30.3,09:23:23,30.2,-0.3300330033003347,9204,0,4
30.3,09:23:26,30.2,-0.3300330033003347,9325,0,4
30.3,09:23:29,30.2,-0.3300330033003347,9818,0,4
30.3,09:23:32,30.2,-0.3300330033003347,9962,0,4
30.3,09:23:35,30.2,-0.3300330033003347,9972,0,4
30.3,09:23:38,30.2,-0.3300330033003347,10094,0,4
30.3,09:23:41,30.2,-0.3300330033003347,10117,0,4
30.3,09:23:44,30.2,-0.3300330033003347,10129,0,4
30.3,09:23:47,30.2,-0.3300330033003347,10149,0,4
30.3,09:23:50,30.2,-0.3300330033003347,10318,0,4
30.3,09:23:53,30.2,-0.3300330033003347,12234,0,4
30.3,09:23:56,30.2,-0.3300330033003347,12412,0,4
30.3,09:23:59,30.2,-0.3300330033003347,12497,0,4
30.3,09:24:02,30.2,-0.3300330033003347,12697,0,4
30.3,09:24:05,30.2,-0.3300330033003347,13315,0,4
30.3,09:24:08,30.2,-0.3300330033003347,13715,0,4
30.3,09:24:11,30.2,-0.3300330033003347,13984,0,4
30.3,09:24:14,30.2,-0.3300330033003347,14161,0,4
30.3,09:24:17,30.2,-0.3300330033003347,14377,0,4
30.3,09:24:20,30.2,-0.3300330033003347,14932,0,4
30.3,09:24:23,30.2,-0.3300330033003347,15189,0,4
30.3,09:24:26,30.2,-0.3300330033003347,15226,0,4
30.3,09:24:29,30.2,-0.3300330033003347,15304,0,4
30.3,09:24:32,30.2,-0.3300330033003347,15317,0,4
30.3,09:24:35,30.2,-0.3300330033003347,15326,0,4
30.3,09:24:38,30.2,-0.3300330033003347,15423,0,4
30.3,09:24:41,30.2,-0.3300330033003347,15477,0,4
30.3,09:24:44,30.2,-0.3300330033003347,15580,0,4
30.3,09:24:47,30.19,-0.36303630363036116,15826,0,4
30.3,09:24:50,30.19,-0.36303630363036116,16068,0,4
30.3,09:24:53,30.19,-0.36303630363036116,19560,0,4
30.3,09:24:56,30.19,-0.36303630363036116,19822,0,4
30.3,09:24:59,30.19,-0.36303630363036116,20795,0,4
30.3,09:25:02,30.19,-0.36303630363036116,20924,1112,2
30.3,09:30:02,30.19,-0.36303630363036116,1073,88,2
30.3,09:30:05,30.18,-0.39603960396039933,1753,141,1
30.3,09:30:08,30.16,-0.46204620462046386,1240,103,1
30.3,09:30:11,30.15,-0.4950495049505021,2993,196,1
30.3,09:30:14,30.18,-0.39603960396039933,1600,122,2
30.3,09:30:17,30.15,-0.4950495049505021,1441,141,1
30.3,09:30:20,30.14,-0.5280528052805284,1358,101,1
30.3,09:30:23,30.15,-0.4950495049505021,742,87,2
30.3,09:30:26,30.15,-0.4950495049505021,1336,121,2
30.3,09:30:29,30.15,-0.4950495049505021,2941,257,2
30.3,09:30:32,30.13,-0.5610561056105667,2814,217,1
30.3,09:30:35,30.15,-0.4950495049505021,2211,202,2
30.3,09:30:38,30.14,-0.5280528052805284,3089,259,1
30.3,09:30:41,30.15,-0.4950495049505021,4334,195,2
30.3,09:30:44,30.17,-0.42904290429042574,2300,234,2
30.3,09:30:47,30.17,-0.42904290429042574,2384,212,1
30.3,09:30:50,30.15,-0.4950495049505021,3062,204,1
30.3,09:30:53,30.15,-0.4950495049505021,529,81,1
30.3,09:30:56,30.15,-0.4950495049505021,987,106,1
30.3,09:30:59,30.16,-0.46204620462046386,679,94,2
30.3,09:31:02,30.17,-0.42904290429042574,886,64,2
30.3,09:31:05,30.2,-0.3300330033003347,1638,72,2
30.3,09:31:08,30.18,-0.39603960396039933,1046,124,1
30.3,09:31:11,30.18,-0.39603960396039933,592,52,1
30.3,09:31:14,30.2,-0.3300330033003347,1633,113,2
30.3,09:31:17,30.2,-0.3300330033003347,597,49,1
30.3,09:31:20,30.22,-0.2640264026402701,520,71,2
30.3,09:31:23,30.22,-0.2640264026402701,339,27,1
30.3,09:31:26,30.22,-0.2640264026402701,1160,72,2
30.3,09:31:29,30.22,-0.2640264026402701,1292,117,2
30.3,09:31:32,30.21,-0.29702970297029657,604,85,1
30.3,09:31:35,30.21,-0.29702970297029657,623,50,2
30.3,09:31:38,30.2,-0.3300330033003347,837,78,1
30.3,09:31:41,30.2,-0.3300330033003347,530,68,2
30.3,09:31:44,30.18,-0.39603960396039933,1339,149,1
30.3,09:31:47,30.19,-0.36303630363036116,1593,78,2
30.3,09:31:50,30.19,-0.36303630363036116,380,27,2
30.3,09:31:53,30.18,-0.39603960396039933,1018,71,1
30.3,09:31:56,30.19,-0.36303630363036116,569,42,2
30.3,09:31:59,30.19,-0.36303630363036116,617,51,2
30.3,09:32:02,30.2,-0.3300330033003347,1255,103,2
30.3,09:32:05,30.2,-0.3300330033003347,275,42,2
30.3,09:32:08,30.19,-0.36303630363036116,1040,75,1
30.3,09:32:11,30.2,-0.3300330033003347,2075,79,2
30.3,09:32:14,30.2,-0.3300330033003347,475,26,1
30.3,09:32:17,30.21,-0.29702970297029657,694,20,2
30.3,09:32:20,30.2,-0.3300330033003347,524,36,1
30.3,09:32:23,30.21,-0.29702970297029657,330,37,2
30.3,09:32:26,30.2,-0.3300330033003347,1415,77,1
30.3,09:32:29,30.2,-0.3300330033003347,956,92,1
30.3,09:32:32,30.2,-0.3300330033003347,653,77,2
30.3,09:32:35,30.21,-0.29702970297029657,1248,90,2
30.3,09:32:38,30.2,-0.3300330033003347,1777,58,1
30.3,09:32:41,30.2,-0.3300330033003347,1016,61,2
30.3,09:32:44,30.2,-0.3300330033003347,1022,127,2
30.3,09:32:47,30.21,-0.29702970297029657,1478,96,2
30.3,09:32:50,30.2,-0.3300330033003347,434,21,1
30.3,09:32:53,30.2,-0.3300330033003347,1189,69,1
30.3,09:32:56,30.21,-0.29702970297029657,589,82,2
30.3,09:32:59,30.2,-0.3300330033003347,1307,84,1
30.3,09:33:02,30.2,-0.3300330033003347,925,61,2
30.3,09:33:05,30.21,-0.29702970297029657,4242,144,2
30.3,09:33:08,30.21,-0.29702970297029657,353,31,2
30.3,09:33:11,30.2,-0.3300330033003347,383,31,1
30.3,09:33:14,30.2,-0.3300330033003347,1157,102,1
30.3,09:33:17,30.19,-0.36303630363036116,1169,110,1
30.3,09:33:20,30.2,-0.3300330033003347,194,33,2
30.3,09:33:23,30.2,-0.3300330033003347,815,47,2
30.3,09:33:26,30.19,-0.36303630363036116,1144,84,1
30.3,09:33:29,30.18,-0.39603960396039933,4059,298,1
30.3,09:33:32,30.15,-0.4950495049505021,4759,309,1
30.3,09:33:35,30.15,-0.4950495049505021,5486,408,1
30.3,09:33:38,30.14,-0.5280528052805284,753,92,1
30.3,09:33:41,30.12,-0.5940594059405931,2105,87,1
30.3,09:33:44,30.12,-0.5940594059405931,928,80,1
30.3,09:33:47,30.14,-0.5280528052805284,1035,128,2
30.3,09:33:50,30.14,-0.5280528052805284,466,52,2
30.3,09:33:53,30.16,-0.46204620462046386,993,120,2
30.3,09:33:56,30.14,-0.5280528052805284,285,53,1
30.3,09:33:59,30.16,-0.46204620462046386,1248,89,2
30.3,09:34:02,30.16,-0.46204620462046386,1134,75,2
30.3,09:34:05,30.15,-0.4950495049505021,747,51,1
30.3,09:34:08,30.15,-0.4950495049505021,514,38,1
30.3,09:34:11,30.16,-0.46204620462046386,438,52,2
30.3,09:34:14,30.15,-0.4950495049505021,1927,116,1
30.3,09:34:17,30.15,-0.4950495049505021,850,81,2
30.3,09:34:20,30.15,-0.4950495049505021,413,66,2
30.3,09:34:23,30.15,-0.4950495049505021,1125,90,2
30.3,09:34:26,30.15,-0.4950495049505021,328,54,2
30.3,09:34:29,30.15,-0.4950495049505021,766,77,1
30.3,09:34:32,30.14,-0.5280528052805284,2070,107,1
30.3,09:34:35,30.14,-0.5280528052805284,533,61,1
30.3,09:34:38,30.14,-0.5280528052805284,1401,141,1
30.3,09:34:41,30.13,-0.5610561056105667,970,68,1
30.3,09:34:44,30.13,-0.5610561056105667,694,58,1
30.3,09:34:47,30.14,-0.5280528052805284,1019,66,2
30.3,09:34:50,30.14,-0.5280528052805284,1004,59,1
30.3,09:34:53,30.14,-0.5280528052805284,1460,84,2
30.3,09:34:56,30.15,-0.4950495049505021,851,93,2
30.3,09:34:59,30.14,-0.5280528052805284,636,68,1
30.3,09:35:02,30.15,-0.4950495049505021,313,45,2
30.3,09:35:05,30.14,-0.5280528052805284,2040,173,1
30.3,09:35:08,30.13,-0.5610561056105667,922,108,1
30.3,09:35:11,30.13,-0.5610561056105667,2649,120,2
30.3,09:35:14,30.13,-0.5610561056105667,1095,91,2
30.3,09:35:17,30.12,-0.5940594059405931,2524,208,1
30.3,09:35:20,30.12,-0.5940594059405931,754,50,2
30.3,09:35:23,30.12,-0.5940594059405931,1642,96,2
30.3,09:35:26,30.12,-0.5940594059405931,881,87,2
30.3,09:35:29,30.11,-0.6270627062706312,1099,80,1
30.3,09:35:32,30.12,-0.5940594059405931,2054,150,2
30.3,09:35:35,30.11,-0.6270627062706312,887,93,1
30.3,09:35:38,30.1,-0.6600660066006577,798,79,1
30.3,09:35:41,30.11,-0.6270627062706312,609,62,2
30.3,09:35:44,30.11,-0.6270627062706312,2816,124,2
30.3,09:35:47,30.11,-0.6270627062706312,3199,425,1
30.3,09:35:50,30.13,-0.5610561056105667,1393,276,2
30.3,09:35:53,30.12,-0.5940594059405931,857,98,1
30.3,09:35:56,30.11,-0.6270627062706312,618,50,1
30.3,09:35:59,30.12,-0.5940594059405931,711,220,2
30.3,09:36:02,30.13,-0.5610561056105667,2269,484,2
30.3,09:36:05,30.13,-0.5610561056105667,371,45,1
30.3,09:36:08,30.13,-0.5610561056105667,511,66,1
30.3,09:36:11,30.13,-0.5610561056105667,317,45,1
30.3,09:36:14,30.13,-0.5610561056105667,711,53,2
30.3,09:36:17,30.13,-0.5610561056105667,393,85,1
30.3,09:36:20,30.14,-0.5280528052805284,382,57,2
30.3,09:36:23,30.13,-0.5610561056105667,925,156,1
30.3,09:36:26,30.12,-0.5940594059405931,1009,71,1
30.3,09:36:29,30.12,-0.5940594059405931,392,44,1
30.3,09:36:32,30.14,-0.5280528052805284,1888,482,2
30.3,09:36:35,30.13,-0.5610561056105667,953,223,1
30.3,09:36:38,30.15,-0.4950495049505021,165,25,2
30.3,09:36:41,30.14,-0.5280528052805284,323,90,1
30.3,09:36:44,30.14,-0.5280528052805284,1161,250,1
30.3,09:36:47,30.14,-0.5280528052805284,597,196,2
30.3,09:36:50,30.14,-0.5280528052805284,269,51,1
30.3,09:36:53,30.14,-0.5280528052805284,121,28,1
30.3,09:36:56,30.14,-0.5280528052805284,485,65,1
30.3,09:36:59,30.14,-0.5280528052805284,803,147,2
30.3,09:37:02,30.14,-0.5280528052805284,351,55,2
30.3,09:37:05,30.14,-0.5280528052805284,281,50,2
30.3,09:37:08,30.13,-0.5610561056105667,393,41,1
