时间,index,开盘,收盘,最高,最低,成交量,成交额,均价,XG_480,XG,日期,月初,RQ,RQ变化,JY,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,H1,L1,P1,阻力,支撑,累计成交额,累计成交量,均价基础,均线,EMA12,EMA26,DIF,DEA,MACD1,MACD2,XX,主力,大户,散户,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,机构买盘,机构卖盘,散户买盘,散户卖盘,cross_support,longcross_support,longcross_resistance,主力_拉信号,主力_冲信号,压力信号
2025-09-29 09:30:00,0.0,27.43,27.43,27.43,27.43,4184.0,11476712.0,27.43,32.28,32.28,2025-09-29,2025-09-01,29,True,1,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,11476712.0,418400.0,27.43,27.43,27.43,27.43,27.47,27.47,0.0,0.0,27.31575201920277,1.0041824944346,1.0041824944346,1.0041824944346,50.84457406732289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:31:00,1.0,27.42,27.35,27.42,27.35,18831.0,51562089.0,27.39,32.28,32.28,2025-09-29,2025-09-01,29,False,2,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,63038801.0,2301500.0,27.390311101455573,27.390311101455573,27.41769230769231,27.424074074074074,27.463618233618234,27.468723646723646,-0.051054131054115715,-0.034036087369410474,27.31575201920277,1.0039035693801592,1.0040864710552024,1.0041340859540773,229.50639853747714,0.0,229.50639853747714,0.0,0.0,229.50639853747714,0.0,100.0,0.0,0.0,0.0,229.50639853747714,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:32:00,2.0,27.35,27.37,27.39,27.32,10355.0,28316824.0,27.377,32.28,32.28,2025-09-29,2025-09-01,29,False,3,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,91355625.0,3337000.0,27.376573269403657,27.376573269403657,27.4103550295858,27.420068587105625,27.460286442480175,27.467036205874955,-0.06749763394779507,-0.056343785088333535,27.31575201920277,1.0037209398802278,1.0040176018281755,1.004098579733859,126.11131409085372,126.11131409085372,229.50639853747714,0.0,0.0,355.6177126283309,35.462607629631,64.53739237036899,0.0,0.0,126.11131409085372,229.50639853747714,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:33:00,3.0,27.38,27.34,27.38,27.33,8602.0,23530019.0,27.372,32.28,32.28,2025-09-29,2025-09-01,29,False,4,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,114885644.0,4197200.0,27.371972743733917,27.371972743733917,27.39953117888029,27.414137580653353,27.455393598226937,27.464707684345353,-0.09314086118415332,-0.08087516915221339,27.31575201920277,1.003451106770589,1.0039149818413178,1.004045507213118,104.87685930260913,126.11131409085372,334.3832578400863,0.0,0.0,460.49457193094,27.38605876765178,72.61394123234822,0.0,0.0,126.11131409085372,334.3832578400863,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:34:00,4.0,27.35,27.3,27.35,27.3,12917.0,35295995.0,27.361,32.28,32.28,2025-09-29,2025-09-01,29,False,5,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,150181639.0,5488900.0,27.36097196159522,27.36097196159522,27.384218689821783,27.405682945049403,27.44853574477238,27.46147329643076,-0.12937551658382063,-0.11320873410661822,27.31575201920277,1.0030675095251238,1.0037677147544943,1.0039691076838633,157.71672771672772,126.11131409085372,492.099985556814,0.0,0.0,618.2112996476677,20.399386773216108,79.60061322678389,0.0,0.0,126.11131409085372,492.099985556814,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:35:00,5.0,27.31,27.3,27.32,27.3,8410.0,22966169.0,27.354,32.28,32.28,2025-09-29,2025-09-01,29,False,6,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,173147808.0,6329900.0,27.353956302627214,27.353956302627214,27.371261968310737,27.397854578749445,27.44340738956129,27.457860115056867,-0.14452725495576857,-0.13408774800605178,27.31575201920277,1.0027204453506553,1.003625276096747,1.003893970956745,102.68620268620269,126.11131409085372,492.099985556814,0.0,0.0,618.2112996476677,20.399386773216108,79.60061322678389,0.0,0.0,126.11131409085372,492.099985556814,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:36:00,6.0,27.3,27.3,27.32,27.29,8160.0,22279077.0,27.348,32.28,32.28,2025-09-29,2025-09-01,29,False,7,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,195426885.0,7145900.0,27.348113603604865,27.348113603604865,27.360298588570622,27.390606091434673,27.439692497135947,27.454226591472686,-0.1453409433673869,-0.14158987824694186,27.31575201920277,1.0024064349070885,1.0034875075589258,1.0038200761590004,99.63369963369964,126.11131409085372,492.099985556814,0.0,0.0,618.2112996476677,20.399386773216108,79.60061322678389,0.0,0.0,126.11131409085372,492.099985556814,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:37:00,7.0,27.3,27.28,27.3,27.27,8294.0,22632466.0,27.342,32.28,32.28,2025-09-29,2025-09-01,29,False,8,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,218059351.0,7975300.0,27.341836796107984,27.341836796107984,27.347944959559758,27.3824130476247,27.43553191193506,27.450487655565162,-0.14955743630103768,-0.14690158361633907,27.31575201920277,1.0020525989564417,1.0033302501774952,1.0037353006427407,101.34408602150536,126.11131409085372,593.4440715783194,0.0,0.0,719.5553856691731,17.526283119064217,82.47371688093578,0.0,0.0,126.11131409085372,593.4440715783194,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:38:00,8.0,27.27,27.29,27.3,27.27,8913.0,24316495.0,27.336,32.28,32.28,2025-09-29,2025-09-01,29,False,9,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,242375846.0,8866600.0,27.335827261859112,27.335827261859112,27.33903035039672,27.375567636689535,27.433462713707183,27.44708266719357,-0.13619953486387004,-0.13976688444802637,27.31575201920277,1.0017673272995664,1.0031901516982085,1.0036579774347492,108.86771711249543,234.97903120334917,593.4440715783194,0.0,0.0,828.4231027816686,28.36461590874754,71.63538409125246,0.0,0.0,234.97903120334917,593.4440715783194,0.0,0.0,False,False,False,False,False,False
2025-09-29 09:39:00,9.0,27.29,27.28,27.3,27.28,4159.0,11348978.0,27.334,32.28,32.28,2025-09-29,2025-09-01,29,False,10,,,,,,,,,,27.5,27.19,0.3099999999999987,27.465555555555557,27.207222222222224,253724824.0,9282500.0,27.33367347158632,27.33367347158632,27.329948758027992,27.368488552490312,27.43146020553768,27.44395817486239,-0.12497969324712699,-0.12990875698076013,27.31575201920277,1.0014743587401123,1.0030426436892605,1.0035758812362459,50.81867057673509,234.97903120334917,644.2627421550544,0.0,0.0,879.2417733584036,26.725189626262797,73.2748103737372,0.0,0.0,234.97903120334917,644.2627421550544,0.0,0.0,False,False,False,False,False,False
