index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-10-15 09:30:00,29.14,29.14,29.14,29.14,7010,20427140.0,29.14
1,2025-10-15 09:31:00,29.15,29.25,29.25,29.11,18140,52974028.0,29.185
2,2025-10-15 09:32:00,29.24,29.35,29.38,29.24,32373,94934199.0,29.264
3,2025-10-15 09:33:00,29.36,29.38,29.45,29.36,38743,113870592.0,29.315
4,2025-10-15 09:34:00,29.4,29.33,29.44,29.33,33748,99203434.0,29.336
5,2025-10-15 09:35:00,29.35,29.38,29.42,29.35,30837,90626008.0,29.346
6,2025-10-15 09:36:00,29.38,29.41,29.43,29.38,32722,96265379.0,29.359
7,2025-10-15 09:37:00,29.42,29.31,29.42,29.31,19507,57325600.0,29.361
8,2025-10-15 09:38:00,29.32,29.43,29.45,29.32,24912,73223331.0,29.364
9,2025-10-15 09:39:00,29.43,29.42,29.44,29.4,20618,60673994.0,29.37
10,2025-10-15 09:40:00,29.43,29.39,29.43,29.38,15686,46127142.0,29.372
11,2025-10-15 09:41:00,29.39,29.38,29.4,29.35,14992,44044989.0,29.372
12,2025-10-15 09:42:00,29.37,29.4,29.4,29.34,15750,46252704.0,29.372
13,2025-10-15 09:43:00,29.42,29.46,29.46,29.39,26551,78145219.0,29.377
14,2025-10-15 09:44:00,29.49,29.53,29.55,29.47,42575,125629154.0,29.392
15,2025-10-15 09:45:00,29.53,29.46,29.53,29.45,17493,51619096.0,29.397
16,2025-10-15 09:46:00,29.44,29.37,29.45,29.37,12742,37481264.0,29.397
17,2025-10-15 09:47:00,29.36,29.34,29.38,29.31,15290,44852770.0,29.395
18,2025-10-15 09:48:00,29.35,29.36,29.39,29.33,9985,29303685.0,29.394
19,2025-10-15 09:49:00,29.35,29.3,29.35,29.29,16169,47398337.0,29.391
20,2025-10-15 09:50:00,29.3,29.3,29.31,29.29,9851,28858863.0,29.389
21,2025-10-15 09:51:00,29.33,29.36,29.37,29.33,11050,32413302.0,29.388
22,2025-10-15 09:52:00,29.35,29.37,29.39,29.35,4982,14633883.0,29.388
23,2025-10-15 09:53:00,29.38,29.3,29.38,29.3,8423,24712211.0,29.387
24,2025-10-15 09:54:00,29.31,29.32,29.37,29.27,7582,22211706.0,29.385
25,2025-10-15 09:55:00,29.33,29.32,29.35,29.28,4499,13185775.0,29.385
26,2025-10-15 09:56:00,29.31,29.34,29.35,29.31,3378,9910662.0,29.384
27,2025-10-15 09:57:00,29.34,29.35,29.35,29.33,3662,10744916.0,29.384
28,2025-10-15 09:58:00,29.35,29.35,29.38,29.34,3966,11645760.0,29.384
29,2025-10-15 09:59:00,29.35,29.32,29.35,29.32,5340,15663442.0,29.383
30,2025-10-15 10:00:00,29.32,29.34,29.35,29.31,7022,20593165.0,29.383
31,2025-10-15 10:01:00,29.36,29.36,29.38,29.36,5203,15281873.0,29.382
32,2025-10-15 10:02:00,29.37,29.34,29.37,29.33,3449,10122071.0,29.382
33,2025-10-15 10:03:00,29.35,29.31,29.35,29.29,9230,27067375.0,29.381
34,2025-10-15 10:04:00,29.31,29.33,29.34,29.3,6168,18083919.0,29.38
35,2025-10-15 10:05:00,29.35,29.32,29.35,29.31,3794,11123150.0,29.38
36,2025-10-15 10:06:00,29.32,29.28,29.32,29.27,6854,20070492.0,29.379
37,2025-10-15 10:07:00,29.27,29.24,29.31,29.24,11472,33576702.0,29.377
38,2025-10-15 10:08:00,29.24,29.29,29.29,29.24,13132,38432056.0,29.374
39,2025-10-15 10:09:00,29.3,29.29,29.3,29.26,5538,16210435.0,29.373
