时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-09-24 09:30:00,0.0,73.51,73.51,73.51,1797,13209747.0,73.51
2025-09-24 09:31:00,0.0,73.34,73.61,73.31,5919,43486840.0,73.478
2025-09-24 09:32:00,0.0,73.28,73.34,73.22,1779,13037458.0,73.442
2025-09-24 09:33:00,0.0,73.18,73.28,73.14,2009,14707869.0,73.401
2025-09-24 09:34:00,0.0,73.1,73.18,73.01,3378,24695842.0,73.335
2025-09-24 09:35:00,0.0,73.04,73.15,73.03,2417,17659493.0,73.297
2025-09-24 09:36:00,0.0,73.01,73.06,72.95,3769,27519674.0,73.247
2025-09-24 09:37:00,0.0,73.02,73.06,72.98,3614,26392715.0,73.215
2025-09-24 09:38:00,0.0,73.1,73.14,73.01,2888,21097812.0,73.198
2025-09-24 09:39:00,0.0,72.99,73.08,72.98,2240,16356603.0,73.185
2025-09-24 09:40:00,0.0,73.0,73.05,73.0,1564,11419109.0,73.176
2025-09-24 09:41:00,0.0,73.0,73.01,72.98,3232,23591298.0,73.159
2025-09-24 09:42:00,0.0,73.02,73.08,73.0,1683,12291196.0,73.153
2025-09-24 09:43:00,0.0,73.07,73.07,73.0,2739,19996945.0,73.143
2025-09-24 09:44:00,0.0,73.08,73.08,73.03,979,7151984.0,73.141
2025-09-24 09:45:00,0.0,73.29,73.29,73.08,1203,8806395.0,73.143
2025-09-24 09:46:00,0.0,73.65,73.69,73.3,3362,24714746.0,73.171
2025-09-24 09:47:00,0.0,73.57,73.65,73.55,2772,20399477.0,73.195
2025-09-24 09:48:00,0.0,73.6,73.66,73.58,3145,23150217.0,73.221
2025-09-24 09:49:00,0.0,73.66,73.72,73.6,3007,22147839.0,73.245
2025-09-24 09:50:00,0.0,73.45,73.69,73.45,1673,12309096.0,73.255
2025-09-24 09:51:00,0.0,73.49,73.58,73.46,1086,7980096.0,73.26
2025-09-24 09:52:00,0.0,73.33,73.48,73.33,1301,9550540.0,73.263
2025-09-24 09:53:00,0.0,73.34,73.35,73.31,1269,9305682.0,73.265
2025-09-24 09:54:00,0.0,73.35,73.35,73.32,952,6981753.0,73.266
2025-09-24 09:55:00,0.0,73.44,73.44,73.36,607,4454982.0,73.267
2025-09-24 09:56:00,0.0,73.39,73.44,73.36,1024,7514877.0,73.269
2025-09-24 09:57:00,0.0,73.42,73.43,73.37,617,4529314.0,73.27
2025-09-24 09:58:00,0.0,73.34,73.43,73.34,1878,13783903.0,73.274
2025-09-24 09:59:00,0.0,73.39,73.42,73.34,508,3727915.0,73.275
2025-09-24 10:00:00,0.0,73.32,73.4,73.32,1237,9075022.0,73.277
2025-09-24 10:01:00,0.0,73.27,73.33,73.27,1380,10115536.0,73.277
2025-09-24 10:02:00,0.0,73.37,73.37,73.23,1067,7824276.0,73.278
2025-09-24 10:03:00,0.0,73.37,73.37,73.32,1005,7371210.0,73.279
2025-09-24 10:04:00,0.0,73.39,73.41,73.36,1049,7699193.0,73.281
2025-09-24 10:05:00,0.0,73.55,73.56,73.37,1307,9599726.0,73.284
2025-09-24 10:06:00,0.0,73.52,73.55,73.49,799,5875142.0,73.287
2025-09-24 10:07:00,0.0,73.55,73.55,73.44,1004,7379578.0,73.289
2025-09-24 10:08:00,0.0,73.76,73.77,73.56,3355,24717386.0,73.306
2025-09-24 10:09:00,0.0,73.63,73.79,73.63,2245,16551851.0,73.318
2025-09-24 10:10:00,0.0,73.71,73.71,73.63,2003,14754277.0,73.327
2025-09-24 10:11:00,0.0,73.73,73.75,73.68,1760,12971379.0,73.336
2025-09-24 10:12:00,0.0,73.69,73.75,73.65,2181,16076444.0,73.345
2025-09-24 10:13:00,0.0,73.63,73.69,73.62,879,6473667.0,73.348
2025-09-24 10:14:00,0.0,73.57,73.62,73.56,608,4473955.0,73.35
2025-09-24 10:15:00,0.0,73.61,73.63,73.58,910,6698386.0,73.353
2025-09-24 10:16:00,0.0,73.68,73.68,73.61,1275,9389667.0,73.357
2025-09-24 10:17:00,0.0,73.73,73.74,73.68,1817,13393861.0,73.364
2025-09-24 10:18:00,0.0,73.7,73.8,73.7,2194,16183089.0,73.374
2025-09-24 10:19:00,0.0,73.75,73.76,73.71,887,6540303.0,73.377
2025-09-24 10:20:00,0.0,73.68,73.75,73.68,1075,7925967.0,73.381
2025-09-24 10:21:00,0.0,73.69,73.72,73.68,688,5070432.0,73.384
2025-09-24 10:22:00,0.0,73.73,73.74,73.69,703,5181553.0,73.386
2025-09-24 10:23:00,0.0,73.7,73.74,73.7,987,7276116.0,73.389
