index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-10-17 09:30:00,29.66,29.66,29.66,29.66,7902,23438696.0,29.66
1,2025-10-17 09:31:00,29.66,29.71,29.71,29.62,17359,51502609.0,29.667
2,2025-10-17 09:32:00,29.72,29.8,29.81,29.72,19034,56649928.0,29.708
3,2025-10-17 09:33:00,29.77,29.74,29.79,29.73,13085,38945088.0,29.72
4,2025-10-17 09:34:00,29.74,29.74,29.78,29.74,12475,37120060.0,29.726
5,2025-10-17 09:35:00,29.75,29.79,29.84,29.75,18858,56165846.0,29.739
6,2025-10-17 09:36:00,29.78,29.8,29.8,29.76,19648,58517542.0,29.747
7,2025-10-17 09:37:00,29.82,29.89,29.9,29.81,25002,74643195.0,29.767
8,2025-10-17 09:38:00,29.9,29.86,29.92,29.86,15847,47357651.0,29.779
9,2025-10-17 09:39:00,29.86,29.87,29.9,29.86,19171,57281501.0,29.791
10,2025-10-17 09:40:00,29.86,29.91,29.93,29.86,33212,99288591.0,29.808
11,2025-10-17 09:41:00,29.91,29.78,29.91,29.77,21988,65596436.0,29.81
12,2025-10-17 09:42:00,29.77,29.81,29.81,29.76,10417,31023070.0,29.809
13,2025-10-17 09:43:00,29.81,29.79,29.81,29.78,11611,34596325.0,29.809
14,2025-10-17 09:44:00,29.78,29.82,29.83,29.78,9015,26866805.0,29.808
