index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-09-30 09:30:00,27.35,27.35,27.35,27.35,2310,6317850.0,27.35
1,2025-09-30 09:31:00,27.36,27.33,27.36,27.27,18434,50345389.0,27.316
2,2025-09-30 09:32:00,27.32,27.33,27.36,27.32,7578,20722190.0,27.323
3,2025-09-30 09:33:00,27.35,27.3,27.35,27.29,6076,16598958.0,27.323
4,2025-09-30 09:34:00,27.3,27.27,27.3,27.26,5976,16305168.0,27.317
5,2025-09-30 09:35:00,27.27,27.29,27.3,27.27,4230,11540740.0,27.314
6,2025-09-30 09:36:00,27.29,27.27,27.29,27.27,7374,20113939.0,27.308
7,2025-09-30 09:37:00,27.26,27.28,27.28,27.26,4984,13590970.0,27.305
8,2025-09-30 09:38:00,27.28,27.26,27.28,27.26,5041,13748768.0,27.302
9,2025-09-30 09:39:00,27.27,27.27,27.27,27.26,4991,13608997.0,27.3
10,2025-09-30 09:40:00,27.27,27.27,27.27,27.25,9852,26857615.0,27.295
11,2025-09-30 09:41:00,27.27,27.29,27.29,27.26,5761,15711359.0,27.293
12,2025-09-30 09:42:00,27.29,27.27,27.29,27.26,4091,11153890.0,27.292
13,2025-09-30 09:43:00,27.27,27.26,27.27,27.26,4844,13206381.0,27.29
14,2025-09-30 09:44:00,27.27,27.26,27.28,27.25,3434,9362503.0,27.289
15,2025-09-30 09:45:00,27.28,27.26,27.28,27.26,3455,9418857.0,27.288
16,2025-09-30 09:46:00,27.26,27.25,27.27,27.25,3687,10049158.0,27.287
17,2025-09-30 09:47:00,27.25,27.24,27.25,27.22,8501,23157332.0,27.284
18,2025-09-30 09:48:00,27.24,27.23,27.25,27.23,3090,8417369.0,27.282
19,2025-09-30 09:49:00,27.24,27.26,27.26,27.24,3848,10483188.0,27.281
20,2025-09-30 09:50:00,27.25,27.24,27.26,27.24,2014,5486756.0,27.281
21,2025-09-30 09:51:00,27.24,27.24,27.24,27.23,2785,7584936.0,27.28
22,2025-09-30 09:52:00,27.24,27.23,27.24,27.23,3359,9147784.0,27.278
23,2025-09-30 09:53:00,27.23,27.25,27.25,27.23,2742,7468680.0,27.277
24,2025-09-30 09:54:00,27.24,27.23,27.25,27.23,2488,6776638.0,27.277
25,2025-09-30 09:55:00,27.24,27.25,27.25,27.23,2920,7953968.0,27.276
26,2025-09-30 09:56:00,27.25,27.24,27.25,27.24,2522,6870608.0,27.275
27,2025-09-30 09:57:00,27.25,27.24,27.25,27.24,2335,6362200.0,27.275
28,2025-09-30 09:58:00,27.25,27.26,27.26,27.24,2976,8106462.0,27.274
29,2025-09-30 09:59:00,27.25,27.25,27.26,27.25,1993,5430985.0,27.274
30,2025-09-30 10:00:00,27.25,27.25,27.26,27.25,1836,5003332.0,27.273
31,2025-09-30 10:01:00,27.26,27.27,27.27,27.25,2193,5978305.0,27.273
32,2025-09-30 10:02:00,27.27,27.26,27.27,27.25,1760,4796932.0,27.273
33,2025-09-30 10:03:00,27.25,27.26,27.27,27.25,1658,4518916.0,27.273
34,2025-09-30 10:04:00,27.26,27.25,27.26,27.24,2440,6648524.0,27.272
35,2025-09-30 10:05:00,27.24,27.23,27.24,27.23,6086,16572570.0,27.271
36,2025-09-30 10:06:00,27.23,27.22,27.24,27.22,2603,7088086.0,27.27
37,2025-09-30 10:07:00,27.23,27.22,27.23,27.22,2027,5518715.0,27.27
38,2025-09-30 10:08:00,27.22,27.23,27.23,27.22,2040,5553582.0,27.269
39,2025-09-30 10:09:00,27.23,27.23,27.23,27.22,3249,8845145.0,27.268
40,2025-09-30 10:10:00,27.22,27.22,27.23,27.21,9634,26223456.0,27.266
41,2025-09-30 10:11:00,27.22,27.24,27.24,27.22,2372,6457632.0,27.265
42,2025-09-30 10:12:00,27.23,27.23,27.24,27.23,1369,3728048.0,27.265
43,2025-09-30 10:13:00,27.23,27.22,27.24,27.22,2474,6734877.0,27.264
44,2025-09-30 10:14:00,27.22,27.22,27.23,27.21,2753,7493979.0,27.264
45,2025-09-30 10:15:00,27.21,27.21,27.22,27.21,3087,8401724.0,27.263
46,2025-09-30 10:16:00,27.21,27.22,27.23,27.21,4336,11801184.0,27.262
47,2025-09-30 10:17:00,27.23,27.24,27.24,27.22,3224,8779732.0,27.261
48,2025-09-30 10:18:00,27.25,27.26,27.27,27.25,2169,5911790.0,27.261
49,2025-09-30 10:19:00,27.25,27.25,27.26,27.23,2103,5729555.0,27.261
50,2025-09-30 10:20:00,27.24,27.22,27.25,27.22,1328,3616605.0,27.261
51,2025-09-30 10:21:00,27.23,27.22,27.23,27.22,1588,4323150.0,27.261
52,2025-09-30 10:22:00,27.23,27.23,27.23,27.22,1681,4576589.0,27.26
53,2025-09-30 10:23:00,27.23,27.23,27.23,27.22,2283,6215838.0,27.26
54,2025-09-30 10:24:00,27.23,27.23,27.24,27.22,2028,5521708.0,27.26
55,2025-09-30 10:25:00,27.24,27.24,27.25,27.24,1686,4592807.0,27.26
56,2025-09-30 10:26:00,27.23,27.24,27.24,27.23,3020,8225078.0,27.259
57,2025-09-30 10:27:00,27.25,27.23,27.25,27.23,1678,4571450.0,27.259
58,2025-09-30 10:28:00,27.24,27.25,27.26,27.23,1603,4366380.0,27.259
59,2025-09-30 10:29:00,27.24,27.24,27.25,27.23,1929,5254369.0,27.259
60,2025-09-30 10:30:00,27.24,27.24,27.25,27.23,1656,4510903.0,27.259
61,2025-09-30 10:31:00,27.24,27.23,27.24,27.22,2099,5714761.0,27.258
62,2025-09-30 10:32:00,27.22,27.22,27.23,27.21,9235,25138048.0,27.257
63,2025-09-30 10:33:00,27.21,27.22,27.22,27.21,2524,6869186.0,27.256
64,2025-09-30 10:34:00,27.21,27.22,27.22,27.21,2240,6096491.0,27.256
65,2025-09-30 10:35:00,27.22,27.22,27.22,27.21,2357,6414630.0,27.256
66,2025-09-30 10:36:00,27.22,27.22,27.22,27.21,2285,6219186.0,27.255
67,2025-09-30 10:37:00,27.21,27.22,27.22,27.21,4085,11116576.0,27.255
68,2025-09-30 10:38:00,27.21,27.21,27.22,27.21,2048,5573131.0,27.254
69,2025-09-30 10:39:00,27.21,27.21,27.22,27.21,2289,6229480.0,27.254
70,2025-09-30 10:40:00,27.22,27.21,27.22,27.21,2664,7250600.0,27.254
71,2025-09-30 10:41:00,27.22,27.21,27.22,27.21,1727,4700277.0,27.253
72,2025-09-30 10:42:00,27.23,27.22,27.23,27.21,1957,5326693.0,27.253
73,2025-09-30 10:43:00,27.21,27.22,27.22,27.21,1304,3549075.0,27.253
74,2025-09-30 10:44:00,27.21,27.23,27.23,27.21,1890,5145070.0,27.253
75,2025-09-30 10:45:00,27.22,27.22,27.23,27.21,3226,8782005.0,27.252
76,2025-09-30 10:46:00,27.21,27.21,27.22,27.21,1341,3649495.0,27.252
77,2025-09-30 10:47:00,27.22,27.22,27.22,27.21,1126,3064367.0,27.252
78,2025-09-30 10:48:00,27.22,27.23,27.23,27.21,2865,7797289.0,27.252
79,2025-09-30 10:49:00,27.23,27.23,27.23,27.22,1422,3871698.0,27.251
80,2025-09-30 10:50:00,27.23,27.23,27.23,27.22,1076,2929516.0,27.251
81,2025-09-30 10:51:00,27.23,27.24,27.24,27.22,1597,4349141.0,27.251
82,2025-09-30 10:52:00,27.23,27.24,27.24,27.23,1487,4049842.0,27.251
