index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-09-30 09:30:00,73.7,73.7,73.7,73.7,4323,31860510.0,73.7
1,2025-09-30 09:31:00,73.62,73.41,73.71,73.38,8527,62663384.0,73.56
2,2025-09-30 09:32:00,73.42,73.39,73.42,73.31,4720,34633918.0,73.51
3,2025-09-30 09:33:00,73.33,73.29,73.36,73.21,5869,43009384.0,73.455
4,2025-09-30 09:34:00,73.3,73.18,73.3,73.11,5286,38688723.0,73.408
5,2025-09-30 09:35:00,73.18,73.15,73.23,73.15,4768,34892154.0,73.375
6,2025-09-30 09:36:00,73.11,73.19,73.25,73.06,6034,44130664.0,73.339
7,2025-09-30 09:37:00,73.18,73.21,73.22,73.16,2525,18481262.0,73.33
8,2025-09-30 09:38:00,73.23,73.15,73.24,73.12,3828,28012367.0,73.317
9,2025-09-30 09:39:00,73.14,73.07,73.18,73.07,5788,42321021.0,73.295
10,2025-09-30 09:40:00,73.06,73.04,73.06,73.0,9426,68834160.0,73.254
11,2025-09-30 09:41:00,72.96,73.01,73.04,72.81,13029,95055922.0,73.201
12,2025-09-30 09:42:00,73.0,73.0,73.03,72.98,4613,33672371.0,73.189
13,2025-09-30 09:43:00,73.0,72.96,73.02,72.96,4075,29742197.0,73.179
14,2025-09-30 09:44:00,72.95,72.94,72.95,72.9,3093,22555191.0,73.17
15,2025-09-30 09:45:00,72.94,72.92,72.94,72.91,2590,18885607.0,73.163
16,2025-09-30 09:46:00,72.93,72.96,73.01,72.93,3939,28734856.0,73.154
17,2025-09-30 09:47:00,72.96,72.98,73.0,72.96,1536,11209485.0,73.151
18,2025-09-30 09:48:00,73.0,72.99,73.01,72.96,2361,17230638.0,73.147
19,2025-09-30 09:49:00,72.98,72.95,72.98,72.95,1984,14474843.0,73.143
20,2025-09-30 09:50:00,72.95,72.93,72.95,72.9,3850,28071643.0,73.134
21,2025-09-30 09:51:00,72.94,72.88,72.96,72.88,3223,23497955.0,73.127
22,2025-09-30 09:52:00,72.87,72.9,72.9,72.83,5911,43066652.0,73.113
23,2025-09-30 09:53:00,72.91,72.97,72.97,72.8,5813,42348729.0,73.1
24,2025-09-30 09:54:00,72.97,72.99,72.99,72.97,1149,8384795.0,73.099
25,2025-09-30 09:55:00,72.99,72.98,73.01,72.98,1808,13197424.0,73.097
26,2025-09-30 09:56:00,72.96,72.97,72.97,72.95,1248,9105398.0,73.096
27,2025-09-30 09:57:00,72.97,73.02,73.02,72.96,976,7122831.0,73.095
28,2025-09-30 09:58:00,73.01,72.85,73.01,72.85,5587,40738538.0,73.087
29,2025-09-30 09:59:00,72.85,72.81,72.87,72.81,4326,31512475.0,73.079
