index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-10-10 09:30:00,72.45,72.45,72.45,72.45,1642,11896290.0,72.45
1,2025-10-10 09:31:00,72.4,72.62,72.68,72.1,10569,76460277.0,72.361
2,2025-10-10 09:32:00,72.63,72.65,72.8,72.63,6445,46848708.0,72.474
3,2025-10-10 09:33:00,72.65,72.74,72.74,72.65,4826,35084283.0,72.52
4,2025-10-10 09:34:00,72.74,72.74,72.75,72.6,3325,24168004.0,72.541
5,2025-10-10 09:35:00,72.73,72.59,72.73,72.59,3611,26238914.0,72.556
6,2025-10-10 09:36:00,72.6,72.52,72.61,72.49,2352,17064615.0,72.555
7,2025-10-10 09:37:00,72.65,72.78,72.78,72.61,3341,24286305.0,72.568
8,2025-10-10 09:38:00,72.77,72.82,72.86,72.76,3483,25358588.0,72.589
9,2025-10-10 09:39:00,72.82,72.8,72.82,72.76,3519,25612399.0,72.605
10,2025-10-10 09:40:00,72.78,72.82,72.86,72.76,3503,25504092.0,72.62
11,2025-10-10 09:41:00,72.84,72.93,73.05,72.79,9381,68409231.0,72.671
12,2025-10-10 09:42:00,72.9,72.85,72.94,72.79,3556,25908816.0,72.682
13,2025-10-10 09:43:00,72.86,72.93,73.0,72.86,6370,46475486.0,72.709
14,2025-10-10 09:44:00,72.98,73.06,73.07,72.89,5775,42155560.0,72.732
15,2025-10-10 09:45:00,73.06,73.15,73.2,73.05,5463,39953301.0,72.761
16,2025-10-10 09:46:00,73.13,73.27,73.28,73.12,7259,53123528.0,72.797
17,2025-10-10 09:47:00,73.28,73.46,73.46,73.27,8815,64662193.0,72.85
18,2025-10-10 09:48:00,73.51,73.46,73.57,73.46,11477,84374965.0,72.923
19,2025-10-10 09:49:00,73.52,73.51,73.54,73.47,7822,57499267.0,72.964
20,2025-10-10 09:50:00,73.52,73.56,73.64,73.5,11055,81334564.0,73.018
21,2025-10-10 09:51:00,73.54,73.57,73.59,73.51,3871,28474641.0,73.035
22,2025-10-10 09:52:00,73.57,73.6,73.6,73.52,7120,52374839.0,73.063
23,2025-10-10 09:53:00,73.63,73.38,73.63,73.38,6251,45965895.0,73.083
24,2025-10-10 09:54:00,73.37,73.45,73.53,73.37,3684,27061092.0,73.093
25,2025-10-10 09:55:00,73.46,73.29,73.46,73.29,2217,16263191.0,73.097
26,2025-10-10 09:56:00,73.29,73.17,73.29,73.16,2681,19626391.0,73.099
27,2025-10-10 09:57:00,73.19,73.2,73.24,73.18,2866,20981214.0,73.101
28,2025-10-10 09:58:00,73.19,73.09,73.19,73.08,3183,23265788.0,73.101
29,2025-10-10 09:59:00,73.08,73.11,73.12,73.08,1405,10270828.0,73.101
30,2025-10-10 10:00:00,73.12,73.13,73.18,73.11,1670,12213447.0,73.101
31,2025-10-10 10:01:00,73.13,73.11,73.15,73.08,2802,20485311.0,73.102
32,2025-10-10 10:02:00,73.14,73.13,73.18,73.11,1451,10613108.0,73.102
33,2025-10-10 10:03:00,73.1,73.17,73.19,73.1,1661,12147396.0,73.102
34,2025-10-10 10:04:00,73.17,73.17,73.18,73.15,1009,7382198.0,73.103
35,2025-10-10 10:05:00,73.16,73.1,73.17,73.1,1115,8153879.0,73.103
36,2025-10-10 10:06:00,73.11,73.15,73.15,73.08,1324,9682086.0,73.103
37,2025-10-10 10:07:00,73.14,73.19,73.25,73.14,1469,10752519.0,73.104
38,2025-10-10 10:08:00,73.12,73.24,73.25,73.11,2069,15142817.0,73.105
39,2025-10-10 10:09:00,73.24,73.31,73.32,73.24,1938,14197061.0,73.107
40,2025-10-10 10:10:00,73.32,73.56,73.56,73.27,4265,31328462.0,73.115
41,2025-10-10 10:11:00,73.54,73.55,73.57,73.5,2918,21459874.0,73.122
42,2025-10-10 10:12:00,73.56,73.5,73.56,73.49,7785,57227445.0,73.138
43,2025-10-10 10:13:00,73.52,73.51,73.54,73.49,2278,16746826.0,73.143
44,2025-10-10 10:14:00,73.54,73.6,73.62,73.53,5878,43252085.0,73.156
45,2025-10-10 10:15:00,73.61,73.53,73.61,73.53,1475,10853936.0,73.159
46,2025-10-10 10:16:00,73.52,73.5,73.52,73.45,1413,10383641.0,73.161
47,2025-10-10 10:17:00,73.49,73.51,73.51,73.47,2394,17594152.0,73.165
48,2025-10-10 10:18:00,73.52,73.56,73.56,73.52,1323,9727822.0,73.168
49,2025-10-10 10:19:00,73.56,73.58,73.62,73.56,3370,24801888.0,73.175
50,2025-10-10 10:20:00,73.6,73.69,73.7,73.59,6832,50323623.0,73.19
51,2025-10-10 10:21:00,73.7,73.62,73.73,73.62,3295,24283758.0,73.198
52,2025-10-10 10:22:00,73.64,73.54,73.64,73.51,2147,15790545.0,73.201
53,2025-10-10 10:23:00,73.53,73.56,73.59,73.53,1173,8628669.0,73.203
54,2025-10-10 10:24:00,73.53,73.48,73.53,73.48,1233,9062169.0,73.205
55,2025-10-10 10:25:00,73.46,73.44,73.46,73.41,1936,14218678.0,73.207
56,2025-10-10 10:26:00,73.44,73.45,73.5,73.42,1362,10004099.0,73.208
57,2025-10-10 10:27:00,73.46,73.49,73.52,73.46,1084,7967578.0,73.21
58,2025-10-10 10:28:00,73.5,73.44,73.5,73.44,733,5385983.0,73.211
59,2025-10-10 10:29:00,73.44,73.38,73.44,73.37,1349,9901377.0,73.212
60,2025-10-10 10:30:00,73.37,73.3,73.38,73.26,1242,9106742.0,73.212
61,2025-10-10 10:31:00,73.31,73.32,73.33,73.31,903,6620055.0,73.213
62,2025-10-10 10:32:00,73.31,73.28,73.31,73.27,1689,12379855.0,73.213
63,2025-10-10 10:33:00,73.28,73.4,73.4,73.25,1914,14029211.0,73.214
64,2025-10-10 10:34:00,73.4,73.37,73.41,73.37,1890,13871044.0,73.216
65,2025-10-10 10:35:00,73.33,73.32,73.36,73.32,1542,11305771.0,73.216
66,2025-10-10 10:36:00,73.3,73.35,73.36,73.3,698,5118716.0,73.217
67,2025-10-10 10:37:00,73.33,73.32,73.34,73.32,804,5895945.0,73.217
68,2025-10-10 10:38:00,73.33,73.27,73.34,73.26,995,7292745.0,73.217
69,2025-10-10 10:39:00,73.27,73.27,73.31,73.27,958,7020413.0,73.218
70,2025-10-10 10:40:00,73.26,73.29,73.29,73.26,1307,9576725.0,73.218
71,2025-10-10 10:41:00,73.3,73.35,73.35,73.3,534,3915292.0,73.218
72,2025-10-10 10:42:00,73.34,73.35,73.38,73.34,1086,7965862.0,73.219
73,2025-10-10 10:43:00,73.35,73.34,73.36,73.32,797,5845419.0,73.219
74,2025-10-10 10:44:00,73.35,73.37,73.38,73.33,758,5560490.0,73.22
75,2025-10-10 10:45:00,73.38,73.38,73.41,73.37,620,4549675.0,73.22
76,2025-10-10 10:46:00,73.38,73.36,73.38,73.36,592,4343361.0,73.22
77,2025-10-10 10:47:00,73.35,73.44,73.44,73.34,763,5601612.0,73.221
78,2025-10-10 10:48:00,73.42,73.38,73.43,73.38,855,6276103.0,73.221
79,2025-10-10 10:49:00,73.37,73.36,73.39,73.35,528,3873953.0,73.222
80,2025-10-10 10:50:00,73.36,73.41,73.42,73.36,924,6782267.0,73.222
81,2025-10-10 10:51:00,73.41,73.35,73.42,73.35,587,4307920.0,73.223
82,2025-10-10 10:52:00,73.36,73.36,73.37,73.32,1194,8759819.0,73.224
83,2025-10-10 10:53:00,73.35,73.3,73.37,73.3,657,4818498.0,73.224
84,2025-10-10 10:54:00,73.29,73.28,73.3,73.27,1179,8641773.0,73.224
85,2025-10-10 10:55:00,73.25,73.26,73.28,73.21,3007,22023205.0,73.224
86,2025-10-10 10:56:00,73.25,73.3,73.3,73.25,965,7071873.0,73.225
87,2025-10-10 10:57:00,73.27,73.37,73.38,73.27,791,5799986.0,73.225
88,2025-10-10 10:58:00,73.38,73.37,73.41,73.36,1110,8146589.0,73.226
89,2025-10-10 10:59:00,73.39,73.52,73.52,73.39,2169,15931373.0,73.227
90,2025-10-10 11:00:00,73.5,73.47,73.5,73.45,1009,7413943.0,73.228
91,2025-10-10 11:01:00,73.47,73.5,73.54,73.47,1850,13599641.0,73.23
92,2025-10-10 11:02:00,73.51,73.48,73.52,73.47,1099,8076824.0,73.232
93,2025-10-10 11:03:00,73.48,73.47,73.5,73.47,1389,10207176.0,73.233
94,2025-10-10 11:04:00,73.45,73.4,73.45,73.37,859,6306798.0,73.233
