index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-10-15 09:30:00,72.8,72.8,72.8,72.8,1966,14312407.0,72.8
1,2025-10-15 09:31:00,72.96,73.0,73.08,72.68,13374,97428891.0,72.844
2,2025-10-15 09:32:00,73.09,73.16,73.26,73.09,4925,36031908.0,72.921
3,2025-10-15 09:33:00,73.15,73.18,73.24,73.12,4998,36581185.0,72.975
4,2025-10-15 09:34:00,73.14,73.15,73.19,73.12,2701,19761966.0,72.993
5,2025-10-15 09:35:00,73.13,73.0,73.13,73.0,3012,22006017.0,73.0
6,2025-10-15 09:36:00,72.97,73.14,73.14,72.97,3797,27732060.0,73.003
7,2025-10-15 09:37:00,73.14,73.06,73.21,73.05,4652,34036106.0,73.023
8,2025-10-15 09:38:00,73.05,73.14,73.14,73.03,1926,14073497.0,73.025
9,2025-10-15 09:39:00,73.16,73.14,73.17,73.11,1752,12818458.0,73.03
10,2025-10-15 09:40:00,73.15,73.14,73.15,73.06,2439,17834654.0,73.035
11,2025-10-15 09:41:00,73.15,73.2,73.2,73.11,4509,32983469.0,73.045
12,2025-10-15 09:42:00,73.2,73.23,73.23,73.15,2626,19220463.0,73.053
13,2025-10-15 09:43:00,73.23,73.27,73.35,73.22,5381,39431188.0,73.074
14,2025-10-15 09:44:00,73.22,73.0,73.28,72.99,4807,35160872.0,73.079
15,2025-10-15 09:45:00,72.96,72.66,72.96,72.6,5042,36700020.0,73.058
16,2025-10-15 09:46:00,72.67,72.8,72.8,72.66,2941,21390892.0,73.044
17,2025-10-15 09:47:00,72.79,72.94,72.95,72.79,2073,15095935.0,73.038
18,2025-10-15 09:48:00,72.95,72.94,72.99,72.91,2477,18073320.0,73.035
19,2025-10-15 09:49:00,72.95,73.03,73.04,72.95,856,6249752.0,73.035
20,2025-10-15 09:50:00,73.09,73.26,73.26,73.06,2348,17179545.0,73.039
21,2025-10-15 09:51:00,73.26,73.15,73.32,73.15,2584,18935240.0,73.047
22,2025-10-15 09:52:00,73.16,73.21,73.22,73.15,1561,11422215.0,73.049
23,2025-10-15 09:53:00,73.22,73.28,73.34,73.22,2826,20714828.0,73.057
24,2025-10-15 09:54:00,73.29,73.16,73.29,73.16,1452,10632936.0,73.06
25,2025-10-15 09:55:00,73.17,73.2,73.23,73.17,1054,7714961.0,73.062
26,2025-10-15 09:56:00,73.2,73.28,73.3,73.2,1931,14148640.0,73.066
27,2025-10-15 09:57:00,73.29,73.32,73.32,73.28,1388,10173373.0,73.07
28,2025-10-15 09:58:00,73.31,73.31,73.32,73.3,1477,10827841.0,73.074
29,2025-10-15 09:59:00,73.31,73.23,73.33,73.23,1643,12042808.0,73.078
30,2025-10-15 10:00:00,73.25,73.25,73.28,73.21,1317,9645862.0,73.08
31,2025-10-15 10:01:00,73.22,73.34,73.37,73.22,5410,39666135.0,73.093
32,2025-10-15 10:02:00,73.35,73.27,73.35,73.26,1812,13283833.0,73.097
33,2025-10-15 10:03:00,73.31,73.27,73.31,73.27,1261,9241565.0,73.099
34,2025-10-15 10:04:00,73.27,73.34,73.34,73.27,1185,8687571.0,73.101
35,2025-10-15 10:05:00,73.33,73.3,73.38,73.3,2276,16695524.0,73.107
36,2025-10-15 10:06:00,73.29,73.15,73.3,73.15,1942,14218292.0,73.109
37,2025-10-15 10:07:00,73.16,73.15,73.18,73.14,1067,7806206.0,73.109
38,2025-10-15 10:08:00,73.16,73.21,73.22,73.16,1584,11594596.0,73.11
39,2025-10-15 10:09:00,73.22,73.27,73.3,73.22,1203,8812647.0,73.112
