index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-09-26 09:30:00,27.3,27.3,27.3,27.3,2708,7392840.0,27.3
1,2025-09-26 09:31:00,27.29,27.34,27.35,27.28,12684,34657500.0,27.32
2,2025-09-26 09:32:00,27.34,27.31,27.35,27.31,6058,16559738.0,27.324
3,2025-09-26 09:33:00,27.31,27.33,27.34,27.29,7499,20485292.0,27.322
4,2025-09-26 09:34:00,27.31,27.29,27.32,27.29,3132,8552570.0,27.321
5,2025-09-26 09:35:00,27.3,27.26,27.31,27.24,6208,16927236.0,27.312
6,2025-09-26 09:36:00,27.26,27.3,27.3,27.26,2729,7444376.0,27.31
7,2025-09-26 09:37:00,27.3,27.3,27.32,27.29,4055,11071352.0,27.31
8,2025-09-26 09:38:00,27.29,27.27,27.29,27.27,3272,8924919.0,27.307
9,2025-09-26 09:39:00,27.27,27.28,27.3,27.27,3553,9693707.0,27.306
10,2025-09-26 09:40:00,27.27,27.3,27.3,27.27,6034,16466782.0,27.304
11,2025-09-26 09:41:00,27.33,27.28,27.33,27.28,3299,9008907.0,27.304
12,2025-09-26 09:42:00,27.28,27.27,27.29,27.27,3590,9792215.0,27.303
13,2025-09-26 09:43:00,27.28,27.31,27.32,27.28,4172,11386670.0,27.302
14,2025-09-26 09:44:00,27.31,27.32,27.33,27.31,3555,9712356.0,27.303
15,2025-09-26 09:45:00,27.32,27.32,27.32,27.31,2378,6495528.0,27.303
16,2025-09-26 09:46:00,27.32,27.35,27.36,27.32,11111,30378321.0,27.308
17,2025-09-26 09:47:00,27.35,27.36,27.37,27.35,7549,20655054.0,27.313
18,2025-09-26 09:48:00,27.36,27.35,27.36,27.35,2787,7623414.0,27.314
19,2025-09-26 09:49:00,27.35,27.33,27.35,27.33,2300,6289241.0,27.314
20,2025-09-26 09:50:00,27.33,27.33,27.34,27.32,2352,6427689.0,27.315
21,2025-09-26 09:51:00,27.33,27.37,27.37,27.33,6352,17377304.0,27.317
22,2025-09-26 09:52:00,27.36,27.35,27.37,27.34,4560,12474478.0,27.319
23,2025-09-26 09:53:00,27.35,27.35,27.35,27.33,2660,7273176.0,27.319
24,2025-09-26 09:54:00,27.35,27.35,27.36,27.34,2880,7876288.0,27.32
25,2025-09-26 09:55:00,27.36,27.35,27.36,27.35,2205,6031869.0,27.321
26,2025-09-26 09:56:00,27.36,27.34,27.36,27.33,5318,14541553.0,27.322
27,2025-09-26 09:57:00,27.34,27.37,27.38,27.34,7472,20448039.0,27.324
28,2025-09-26 09:58:00,27.37,27.37,27.37,27.36,3174,8685496.0,27.325
29,2025-09-26 09:59:00,27.35,27.33,27.37,27.33,7040,19249973.0,27.326
30,2025-09-26 10:00:00,27.33,27.34,27.35,27.33,4217,11530481.0,27.327
31,2025-09-26 10:01:00,27.34,27.36,27.36,27.34,3377,9235858.0,27.327
32,2025-09-26 10:02:00,27.37,27.41,27.41,27.35,24558,67253351.0,27.335
33,2025-09-26 10:03:00,27.41,27.4,27.41,27.38,5641,15456445.0,27.337
34,2025-09-26 10:04:00,27.4,27.39,27.4,27.39,3955,10833951.0,27.338
35,2025-09-26 10:05:00,27.39,27.4,27.4,27.38,4160,11394770.0,27.34
36,2025-09-26 10:06:00,27.4,27.4,27.4,27.39,4097,11224767.0,27.341
37,2025-09-26 10:07:00,27.4,27.41,27.41,27.4,8304,22757464.0,27.344
38,2025-09-26 10:08:00,27.38,27.38,27.4,27.37,6807,18643482.0,27.345
39,2025-09-26 10:09:00,27.38,27.38,27.38,27.37,1661,4547061.0,27.345
40,2025-09-26 10:10:00,27.38,27.35,27.38,27.34,4597,12576753.0,27.346
41,2025-09-26 10:11:00,27.34,27.35,27.35,27.33,3284,8977479.0,27.345
42,2025-09-26 10:12:00,27.35,27.36,27.37,27.34,1097,3001412.0,27.345
43,2025-09-26 10:13:00,27.36,27.37,27.37,27.36,2343,6410659.0,27.346
44,2025-09-26 10:14:00,27.37,27.36,27.37,27.36,2074,5674445.0,27.346
45,2025-09-26 10:15:00,27.36,27.35,27.36,27.34,2746,7510389.0,27.346
46,2025-09-26 10:16:00,27.35,27.34,27.35,27.34,1543,4219094.0,27.346
47,2025-09-26 10:17:00,27.34,27.35,27.35,27.33,2889,7898985.0,27.346
48,2025-09-26 10:18:00,27.35,27.34,27.35,27.34,1888,5162501.0,27.346
49,2025-09-26 10:19:00,27.34,27.33,27.35,27.33,3103,8482963.0,27.346
50,2025-09-26 10:20:00,27.35,27.34,27.35,27.33,3032,8289955.0,27.346
51,2025-09-26 10:21:00,27.35,27.34,27.36,27.33,2367,6472456.0,27.346
52,2025-09-26 10:22:00,27.34,27.34,27.34,27.33,4252,11622372.0,27.345
53,2025-09-26 10:23:00,27.34,27.37,27.37,27.33,2803,7666191.0,27.345
54,2025-09-26 10:24:00,27.35,27.34,27.37,27.34,3603,9851107.0,27.345
55,2025-09-26 10:25:00,27.34,27.35,27.36,27.33,3327,9095103.0,27.345
56,2025-09-26 10:26:00,27.34,27.34,27.35,27.32,3646,9963627.0,27.345
57,2025-09-26 10:27:00,27.32,27.32,27.33,27.32,1808,4939878.0,27.345
58,2025-09-26 10:28:00,27.33,27.34,27.34,27.32,1987,5429957.0,27.345
59,2025-09-26 10:29:00,27.34,27.34,27.35,27.34,1811,4951372.0,27.345
60,2025-09-26 10:30:00,27.35,27.35,27.35,27.34,1410,3855065.0,27.345
61,2025-09-26 10:31:00,27.35,27.33,27.35,27.33,1436,3925084.0,27.345
62,2025-09-26 10:32:00,27.33,27.32,27.33,27.31,3361,9182529.0,27.344
63,2025-09-26 10:33:00,27.31,27.32,27.33,27.31,1579,4313325.0,27.344
64,2025-09-26 10:34:00,27.31,27.33,27.33,27.31,1580,4315953.0,27.344
65,2025-09-26 10:35:00,27.33,27.33,27.34,27.32,1082,2957140.0,27.344
66,2025-09-26 10:36:00,27.33,27.34,27.34,27.32,2164,5912746.0,27.344
67,2025-09-26 10:37:00,27.34,27.35,27.35,27.34,1719,4699773.0,27.344
68,2025-09-26 10:38:00,27.35,27.35,27.35,27.34,927,2534774.0,27.344
69,2025-09-26 10:39:00,27.35,27.35,27.35,27.34,507,1386387.0,27.344
70,2025-09-26 10:40:00,27.35,27.35,27.35,27.34,1524,4166918.0,27.344
71,2025-09-26 10:41:00,27.35,27.36,27.36,27.34,7471,20434091.0,27.344
72,2025-09-26 10:42:00,27.36,27.35,27.37,27.35,978,2675783.0,27.344
73,2025-09-26 10:43:00,27.35,27.36,27.36,27.35,971,2656121.0,27.344
74,2025-09-26 10:44:00,27.36,27.35,27.36,27.35,1747,4778217.0,27.344
75,2025-09-26 10:45:00,27.35,27.34,27.35,27.34,1210,3308359.0,27.344
76,2025-09-26 10:46:00,27.35,27.34,27.35,27.33,962,2630579.0,27.344
77,2025-09-26 10:47:00,27.34,27.34,27.34,27.33,599,1637456.0,27.344
78,2025-09-26 10:48:00,27.34,27.34,27.34,27.33,814,2225130.0,27.344
79,2025-09-26 10:49:00,27.34,27.35,27.35,27.33,2215,6055497.0,27.344
80,2025-09-26 10:50:00,27.35,27.34,27.35,27.33,938,2564484.0,27.344
81,2025-09-26 10:51:00,27.34,27.34,27.34,27.33,822,2246989.0,27.344
82,2025-09-26 10:52:00,27.34,27.33,27.34,27.33,869,2375411.0,27.344
83,2025-09-26 10:53:00,27.34,27.34,27.34,27.33,769,2102211.0,27.344
84,2025-09-26 10:54:00,27.34,27.34,27.35,27.34,750,2050920.0,27.344
85,2025-09-26 10:55:00,27.35,27.35,27.36,27.34,2048,5601268.0,27.344
86,2025-09-26 10:56:00,27.35,27.35,27.36,27.34,1197,3274210.0,27.344
87,2025-09-26 10:57:00,27.35,27.35,27.35,27.34,1032,2822047.0,27.344
88,2025-09-26 10:58:00,27.35,27.34,27.35,27.34,809,2212288.0,27.344
89,2025-09-26 10:59:00,27.35,27.35,27.35,27.34,1085,2967021.0,27.344
90,2025-09-26 11:00:00,27.34,27.35,27.35,27.34,888,2428296.0,27.344
91,2025-09-26 11:01:00,27.35,27.35,27.35,27.34,1134,3100877.0,27.344
92,2025-09-26 11:02:00,27.35,27.35,27.35,27.34,1065,2912383.0,27.344
93,2025-09-26 11:03:00,27.34,27.34,27.35,27.34,572,1564157.0,27.344
94,2025-09-26 11:04:00,27.35,27.34,27.35,27.33,3987,10899794.0,27.344
95,2025-09-26 11:05:00,27.34,27.34,27.34,27.33,1280,3498694.0,27.344
96,2025-09-26 11:06:00,27.34,27.36,27.36,27.34,1333,3645215.0,27.344
97,2025-09-26 11:07:00,27.36,27.36,27.37,27.36,2060,5636568.0,27.344
98,2025-09-26 11:08:00,27.37,27.36,27.37,27.35,1567,4287854.0,27.344
99,2025-09-26 11:09:00,27.36,27.36,27.37,27.36,1057,2891890.0,27.344
100,2025-09-26 11:10:00,27.36,27.35,27.37,27.35,1044,2856107.0,27.344
101,2025-09-26 11:11:00,27.37,27.36,27.37,27.35,788,2155632.0,27.344
102,2025-09-26 11:12:00,27.36,27.36,27.36,27.35,1465,4008103.0,27.344
103,2025-09-26 11:13:00,27.37,27.36,27.37,27.36,664,1816894.0,27.344
104,2025-09-26 11:14:00,27.36,27.37,27.37,27.36,899,2460233.0,27.344
105,2025-09-26 11:15:00,27.37,27.38,27.38,27.37,1687,4617936.0,27.345
106,2025-09-26 11:16:00,27.38,27.38,27.38,27.37,1043,2855205.0,27.345
