index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-09-26 09:30:00,7.35,7.35,7.35,7.35,11012,8093820.0,7.35
1,2025-09-26 09:31:00,7.35,7.37,7.38,7.34,37371,27508201.0,7.358
2,2025-09-26 09:32:00,7.38,7.34,7.38,7.34,29338,21587203.0,7.358
3,2025-09-26 09:33:00,7.34,7.35,7.36,7.33,25158,18470909.0,7.354
4,2025-09-26 09:34:00,7.36,7.33,7.36,7.33,31612,23219537.0,7.352
5,2025-09-26 09:35:00,7.34,7.33,7.34,7.32,27438,20114398.0,7.349
6,2025-09-26 09:36:00,7.33,7.32,7.34,7.32,44334,32491687.0,7.344
7,2025-09-26 09:37:00,7.33,7.32,7.33,7.32,26975,19755735.0,7.342
8,2025-09-26 09:38:00,7.32,7.32,7.32,7.3,76081,55625769.0,7.334
9,2025-09-26 09:39:00,7.32,7.31,7.32,7.31,19562,14304726.0,7.333
10,2025-09-26 09:40:00,7.32,7.32,7.32,7.31,41989,30713411.0,7.331
11,2025-09-26 09:41:00,7.32,7.33,7.34,7.32,39337,28813222.0,7.33
12,2025-09-26 09:42:00,7.34,7.34,7.34,7.33,15397,11299101.0,7.331
13,2025-09-26 09:43:00,7.34,7.33,7.35,7.33,30320,22251508.0,7.331
14,2025-09-26 09:44:00,7.34,7.32,7.34,7.32,21035,15417848.0,7.331
15,2025-09-26 09:45:00,7.33,7.32,7.33,7.32,11060,8102780.0,7.331
16,2025-09-26 09:46:00,7.33,7.34,7.34,7.33,21753,15947804.0,7.331
17,2025-09-26 09:47:00,7.34,7.34,7.35,7.33,19124,14041018.0,7.332
18,2025-09-26 09:48:00,7.35,7.34,7.35,7.34,9494,6973706.0,7.332
19,2025-09-26 09:49:00,7.34,7.34,7.35,7.34,7292,5354172.0,7.332
20,2025-09-26 09:50:00,7.35,7.34,7.35,7.34,6872,5046287.0,7.332
21,2025-09-26 09:51:00,7.35,7.36,7.36,7.34,28223,20746449.0,7.333
22,2025-09-26 09:52:00,7.35,7.35,7.36,7.35,7308,5375567.0,7.333
23,2025-09-26 09:53:00,7.35,7.36,7.36,7.35,4552,3348249.0,7.333
24,2025-09-26 09:54:00,7.35,7.37,7.37,7.35,24682,18166108.0,7.335
25,2025-09-26 09:55:00,7.37,7.37,7.37,7.36,15912,11716360.0,7.335
26,2025-09-26 09:56:00,7.37,7.36,7.37,7.35,15365,11305659.0,7.336
27,2025-09-26 09:57:00,7.36,7.36,7.37,7.35,29158,21461950.0,7.337
28,2025-09-26 09:58:00,7.37,7.37,7.37,7.36,5527,4070153.0,7.337
29,2025-09-26 09:59:00,7.37,7.35,7.37,7.34,36290,26692520.0,7.338
30,2025-09-26 10:00:00,7.34,7.35,7.35,7.34,6951,5103576.0,7.338
31,2025-09-26 10:01:00,7.34,7.35,7.35,7.34,12828,9429366.0,7.338
32,2025-09-26 10:02:00,7.35,7.33,7.35,7.33,8418,6177763.0,7.338
33,2025-09-26 10:03:00,7.34,7.34,7.35,7.33,4130,3030933.0,7.338
34,2025-09-26 10:04:00,7.35,7.34,7.35,7.34,3480,2554890.0,7.338
35,2025-09-26 10:05:00,7.34,7.33,7.35,7.33,6682,4903106.0,7.338
36,2025-09-26 10:06:00,7.34,7.34,7.34,7.33,10556,7747673.0,7.338
37,2025-09-26 10:07:00,7.35,7.34,7.35,7.34,2470,1814629.0,7.338
38,2025-09-26 10:08:00,7.34,7.34,7.35,7.33,12848,9430198.0,7.338
39,2025-09-26 10:09:00,7.34,7.34,7.35,7.33,5298,3888058.0,7.338
40,2025-09-26 10:10:00,7.33,7.32,7.34,7.32,23131,16954318.0,7.338
41,2025-09-26 10:11:00,7.32,7.33,7.34,7.32,11737,8605332.0,7.338
42,2025-09-26 10:12:00,7.34,7.34,7.35,7.33,17413,12782276.0,7.338
43,2025-09-26 10:13:00,7.35,7.36,7.36,7.34,14017,10309183.0,7.338
44,2025-09-26 10:14:00,7.36,7.36,7.37,7.35,23134,17026232.0,7.339
45,2025-09-26 10:15:00,7.36,7.35,7.36,7.35,8010,5889567.0,7.339
46,2025-09-26 10:16:00,7.35,7.36,7.36,7.35,5442,4003067.0,7.339
47,2025-09-26 10:17:00,7.36,7.35,7.36,7.35,4780,3515371.0,7.339
48,2025-09-26 10:18:00,7.35,7.35,7.36,7.35,6797,4999681.0,7.339
49,2025-09-26 10:19:00,7.36,7.36,7.36,7.35,9934,7306252.0,7.34
50,2025-09-26 10:20:00,7.36,7.35,7.36,7.34,13139,9659875.0,7.34
51,2025-09-26 10:21:00,7.35,7.35,7.36,7.35,16983,12479173.0,7.34
52,2025-09-26 10:22:00,7.35,7.35,7.35,7.34,7635,5610749.0,7.34
53,2025-09-26 10:23:00,7.36,7.35,7.36,7.34,8645,6353315.0,7.34
54,2025-09-26 10:24:00,7.34,7.35,7.35,7.34,5190,3812372.0,7.34
55,2025-09-26 10:25:00,7.34,7.35,7.35,7.34,8227,6041245.0,7.34
56,2025-09-26 10:26:00,7.34,7.35,7.35,7.34,7033,5165261.0,7.34
57,2025-09-26 10:27:00,7.34,7.34,7.35,7.34,3187,2340342.0,7.34
58,2025-09-26 10:28:00,7.35,7.35,7.35,7.34,12540,9214894.0,7.34
59,2025-09-26 10:29:00,7.35,7.36,7.36,7.35,3988,2932800.0,7.34
60,2025-09-26 10:30:00,7.35,7.35,7.36,7.35,6464,4753304.0,7.34
61,2025-09-26 10:31:00,7.36,7.35,7.36,7.35,2840,2088191.0,7.34
62,2025-09-26 10:32:00,7.36,7.35,7.36,7.35,3417,2512681.0,7.34
63,2025-09-26 10:33:00,7.36,7.35,7.36,7.35,4712,3463932.0,7.34
64,2025-09-26 10:34:00,7.36,7.35,7.36,7.35,9204,6765690.0,7.341
65,2025-09-26 10:35:00,7.36,7.35,7.36,7.35,2058,1513662.0,7.341
66,2025-09-26 10:36:00,7.36,7.35,7.36,7.35,2838,2086372.0,7.341
67,2025-09-26 10:37:00,7.36,7.36,7.37,7.36,24722,18196997.0,7.341
68,2025-09-26 10:38:00,7.37,7.36,7.37,7.36,3053,2247864.0,7.341
69,2025-09-26 10:39:00,7.37,7.36,7.37,7.36,1785,1314479.0,7.341
70,2025-09-26 10:40:00,7.37,7.36,7.37,7.36,1647,1212964.0,7.341
71,2025-09-26 10:41:00,7.37,7.37,7.37,7.36,3902,2874077.0,7.341
72,2025-09-26 10:42:00,7.37,7.36,7.37,7.36,2313,1703270.0,7.341
73,2025-09-26 10:43:00,7.37,7.36,7.37,7.36,3152,2320633.0,7.341
74,2025-09-26 10:44:00,7.37,7.36,7.37,7.35,6786,4994703.0,7.342
75,2025-09-26 10:45:00,7.35,7.35,7.36,7.35,6140,4517119.0,7.342
76,2025-09-26 10:46:00,7.36,7.35,7.36,7.35,2446,1799028.0,7.342
77,2025-09-26 10:47:00,7.36,7.35,7.36,7.35,2350,1727809.0,7.342
78,2025-09-26 10:48:00,7.36,7.36,7.36,7.34,13037,9582839.0,7.342
79,2025-09-26 10:49:00,7.36,7.36,7.36,7.35,2863,2105279.0,7.342
80,2025-09-26 10:50:00,7.36,7.34,7.36,7.34,6914,5080535.0,7.342
81,2025-09-26 10:51:00,7.35,7.34,7.35,7.34,5344,3925643.0,7.342
82,2025-09-26 10:52:00,7.35,7.35,7.35,7.34,6857,5038146.0,7.342
83,2025-09-26 10:53:00,7.36,7.36,7.36,7.35,2491,1831056.0,7.342
84,2025-09-26 10:54:00,7.36,7.35,7.36,7.35,3115,2289288.0,7.342
85,2025-09-26 10:55:00,7.36,7.35,7.36,7.35,4802,3530978.0,7.342
86,2025-09-26 10:56:00,7.36,7.35,7.36,7.35,2097,1541522.0,7.342
87,2025-09-26 10:57:00,7.36,7.35,7.36,7.35,3145,2312480.0,7.342
88,2025-09-26 10:58:00,7.35,7.35,7.36,7.35,3579,2632080.0,7.342
89,2025-09-26 10:59:00,7.35,7.35,7.35,7.34,2662,1955251.0,7.342
90,2025-09-26 11:00:00,7.35,7.34,7.35,7.34,2349,1724719.0,7.342
91,2025-09-26 11:01:00,7.35,7.35,7.35,7.34,1989,1461132.0,7.342
92,2025-09-26 11:02:00,7.35,7.34,7.35,7.34,1707,1253278.0,7.342
93,2025-09-26 11:03:00,7.35,7.34,7.35,7.34,4930,3619125.0,7.342
94,2025-09-26 11:04:00,7.34,7.35,7.35,7.34,4374,3211261.0,7.342
95,2025-09-26 11:05:00,7.34,7.35,7.35,7.34,21836,16028205.0,7.342
96,2025-09-26 11:06:00,7.35,7.34,7.35,7.34,2163,1587833.0,7.342
97,2025-09-26 11:07:00,7.35,7.35,7.35,7.34,7906,5810111.0,7.342
98,2025-09-26 11:08:00,7.35,7.34,7.35,7.34,2088,1533078.0,7.342
99,2025-09-26 11:09:00,7.35,7.36,7.36,7.35,18667,13720051.0,7.342
100,2025-09-26 11:10:00,7.36,7.35,7.36,7.34,7431,5461746.0,7.342
101,2025-09-26 11:11:00,7.34,7.35,7.35,7.34,2684,1971570.0,7.342
102,2025-09-26 11:12:00,7.34,7.34,7.35,7.34,1722,1264848.0,7.342
103,2025-09-26 11:13:00,7.35,7.34,7.35,7.34,2497,1835009.0,7.342
104,2025-09-26 11:14:00,7.35,7.35,7.35,7.34,2469,1814145.0,7.342
105,2025-09-26 11:15:00,7.35,7.35,7.35,7.34,1838,1350309.0,7.342
106,2025-09-26 11:16:00,7.35,7.35,7.35,7.34,3393,2493077.0,7.342
107,2025-09-26 11:17:00,7.35,7.35,7.36,7.35,2299,1690601.0,7.342
108,2025-09-26 11:18:00,7.36,7.36,7.36,7.35,3252,2391907.0,7.342
109,2025-09-26 11:19:00,7.36,7.35,7.36,7.35,1909,1403375.0,7.342
110,2025-09-26 11:20:00,7.36,7.35,7.36,7.35,2404,1768153.0,7.342
111,2025-09-26 11:21:00,7.36,7.35,7.36,7.35,3155,2320257.0,7.342
112,2025-09-26 11:22:00,7.36,7.35,7.36,7.35,2630,1934894.0,7.342
113,2025-09-26 11:23:00,7.36,7.36,7.36,7.35,3256,2394912.0,7.343
114,2025-09-26 11:24:00,7.36,7.36,7.36,7.35,4883,3592813.0,7.343
115,2025-09-26 11:25:00,7.36,7.36,7.36,7.35,2436,1791460.0,7.343
116,2025-09-26 11:26:00,7.36,7.36,7.36,7.35,2811,2066958.0,7.343
117,2025-09-26 11:27:00,7.36,7.36,7.36,7.35,2017,1484038.0,7.343
118,2025-09-26 11:28:00,7.36,7.37,7.37,7.36,19925,14667894.0,7.343
119,2025-09-26 11:29:00,7.37,7.37,7.37,7.36,1548,1140072.0,7.343
120,2025-09-26 11:30:00,7.37,7.36,7.37,7.36,2528,1861266.0,7.343
121,2025-09-26 13:01:00,7.37,7.38,7.38,7.36,54094,39878818.0,7.344
122,2025-09-26 13:02:00,7.37,7.37,7.38,7.37,7583,5589186.0,7.344
123,2025-09-26 13:03:00,7.37,7.37,7.38,7.37,8302,6118889.0,7.344
124,2025-09-26 13:04:00,7.38,7.37,7.38,7.37,4026,2968749.0,7.345
125,2025-09-26 13:05:00,7.38,7.37,7.38,7.37,3225,2378382.0,7.345
126,2025-09-26 13:06:00,7.38,7.37,7.38,7.37,3729,2750257.0,7.345
127,2025-09-26 13:07:00,7.38,7.38,7.38,7.37,10806,7969791.0,7.345
128,2025-09-26 13:08:00,7.38,7.36,7.38,7.36,8117,5981990.0,7.345
129,2025-09-26 13:09:00,7.37,7.37,7.37,7.36,3460,2548222.0,7.345
130,2025-09-26 13:10:00,7.37,7.37,7.37,7.36,10190,7503536.0,7.345
131,2025-09-26 13:11:00,7.37,7.37,7.37,7.36,4670,3438769.0,7.345
132,2025-09-26 13:12:00,7.37,7.37,7.37,7.36,2657,1957176.0,7.345
133,2025-09-26 13:13:00,7.37,7.37,7.37,7.36,4575,3369084.0,7.345
134,2025-09-26 13:14:00,7.37,7.37,7.37,7.36,6372,4692012.0,7.346
135,2025-09-26 13:15:00,7.37,7.37,7.37,7.36,3439,2533014.0,7.346
136,2025-09-26 13:16:00,7.37,7.37,7.37,7.36,3254,2396487.0,7.346
137,2025-09-26 13:17:00,7.37,7.37,7.37,7.36,6981,5139716.0,7.346
138,2025-09-26 13:18:00,7.36,7.37,7.37,7.36,4134,3043442.0,7.346
139,2025-09-26 13:19:00,7.37,7.37,7.37,7.36,3228,2376667.0,7.346
140,2025-09-26 13:20:00,7.37,7.37,7.37,7.36,1474,1086026.0,7.346
141,2025-09-26 13:21:00,7.37,7.37,7.37,7.36,2989,2200397.0,7.346
142,2025-09-26 13:22:00,7.37,7.37,7.37,7.36,13078,9637716.0,7.346
143,2025-09-26 13:23:00,7.37,7.38,7.38,7.37,12349,9103006.0,7.346
144,2025-09-26 13:24:00,7.37,7.38,7.38,7.37,4389,3237887.0,7.346
145,2025-09-26 13:25:00,7.37,7.37,7.38,7.36,5488,4044840.0,7.346
146,2025-09-26 13:26:00,7.37,7.36,7.37,7.36,2188,1612416.0,7.346
147,2025-09-26 13:27:00,7.37,7.37,7.37,7.36,1557,1147295.0,7.346
148,2025-09-26 13:28:00,7.36,7.37,7.37,7.36,5878,4331572.0,7.347
149,2025-09-26 13:29:00,7.37,7.37,7.38,7.37,10681,7872856.0,7.347
150,2025-09-26 13:30:00,7.37,7.37,7.37,7.36,2759,2033167.0,7.347
151,2025-09-26 13:31:00,7.37,7.37,7.38,7.37,6180,4556090.0,7.347
152,2025-09-26 13:32:00,7.38,7.38,7.38,7.37,5733,4227359.0,7.347
153,2025-09-26 13:33:00,7.37,7.38,7.38,7.37,4425,3265004.0,7.347
154,2025-09-26 13:34:00,7.38,7.38,7.38,7.37,4484,3307712.0,7.347
155,2025-09-26 13:35:00,7.38,7.39,7.39,7.38,46143,34061416.0,7.348
156,2025-09-26 13:36:00,7.38,7.39,7.39,7.38,4712,3480655.0,7.348
157,2025-09-26 13:37:00,7.39,7.39,7.39,7.38,7271,5372793.0,7.348
158,2025-09-26 13:38:00,7.39,7.39,7.4,7.38,37091,27412757.0,7.349
159,2025-09-26 13:39:00,7.39,7.39,7.4,7.38,12189,9009627.0,7.35
160,2025-09-26 13:40:00,7.39,7.4,7.4,7.39,11883,8784332.0,7.35
161,2025-09-26 13:41:00,7.39,7.4,7.4,7.39,16819,12444836.0,7.351
162,2025-09-26 13:42:00,7.4,7.4,7.4,7.39,12721,9412827.0,7.351
163,2025-09-26 13:43:00,7.4,7.41,7.41,7.4,36770,27223379.0,7.352
164,2025-09-26 13:44:00,7.41,7.41,7.41,7.4,14138,10475730.0,7.353
165,2025-09-26 13:45:00,7.4,7.41,7.41,7.4,9745,7220226.0,7.353
166,2025-09-26 13:46:00,7.41,7.41,7.41,7.4,12665,9382840.0,7.353
167,2025-09-26 13:47:00,7.4,7.41,7.41,7.4,7802,5779539.0,7.354
168,2025-09-26 13:48:00,7.4,7.41,7.41,7.4,6283,4653951.0,7.354
169,2025-09-26 13:49:00,7.4,7.41,7.41,7.4,6447,4773358.0,7.354
170,2025-09-26 13:50:00,7.4,7.39,7.4,7.38,32984,24393697.0,7.355
171,2025-09-26 13:51:00,7.39,7.39,7.39,7.38,1883,1389870.0,7.355
172,2025-09-26 13:52:00,7.38,7.39,7.39,7.38,2084,1539483.0,7.355
173,2025-09-26 13:53:00,7.38,7.39,7.39,7.38,2411,1779864.0,7.355
174,2025-09-26 13:54:00,7.39,7.38,7.39,7.38,6127,4524139.0,7.355
175,2025-09-26 13:55:00,7.39,7.39,7.39,7.38,3873,2861382.0,7.355
176,2025-09-26 13:56:00,7.39,7.39,7.39,7.38,6352,4692284.0,7.355
177,2025-09-26 13:57:00,7.38,7.39,7.39,7.38,7975,5892762.0,7.355
178,2025-09-26 13:58:00,7.39,7.39,7.39,7.38,3886,2870221.0,7.355
179,2025-09-26 13:59:00,7.39,7.4,7.4,7.39,13364,9878098.0,7.355
180,2025-09-26 14:00:00,7.4,7.4,7.4,7.39,8228,6087396.0,7.356
181,2025-09-26 14:01:00,7.39,7.4,7.4,7.39,6468,4782331.0,7.356
182,2025-09-26 14:02:00,7.39,7.39,7.4,7.39,6496,4804382.0,7.356
183,2025-09-26 14:03:00,7.4,7.4,7.4,7.39,2176,1609465.0,7.356
184,2025-09-26 14:04:00,7.39,7.4,7.4,7.39,3200,2367110.0,7.356
185,2025-09-26 14:05:00,7.39,7.39,7.4,7.39,4939,3654401.0,7.356
