时间,开盘,收盘,最高,最低,成交量,成交额,均价,涨跌幅
2025-10-24 09:30:00,74.89,74.89,74.89,74.89,1692,12671388.0,74.89,0.0
2025-10-24 09:31:00,74.86,74.7,74.86,74.61,4413,32975436.0,74.77,-0.2537054346374634
2025-10-24 09:32:00,74.72,74.82,74.84,74.68,3601,26932155.0,74.777,-0.09347042328750055
2025-10-24 09:33:00,74.82,74.63,74.82,74.6,3891,29070497.0,74.759,-0.34717585792496397
2025-10-24 09:34:00,74.63,74.55,74.63,74.47,4246,31648552.0,74.706,-0.4539991988249503
2025-10-24 09:35:00,74.55,74.66,74.66,74.47,3621,26991995.0,74.679,-0.30711710508746215
2025-10-24 09:36:00,74.66,74.79,74.86,74.66,2471,18473495.0,74.687,-0.13352917612498016
2025-10-24 09:37:00,74.7,74.86,74.95,74.7,3066,22947213.0,74.705,-0.04005875283750182
2025-10-24 09:38:00,74.87,74.91,74.91,74.78,2787,20855430.0,74.717,0.026705835224993812
2025-10-24 09:39:00,74.88,74.96,74.96,74.86,2292,17169145.0,74.73,0.09347042328748945
2025-10-24 09:40:00,74.93,74.8,74.95,74.8,5098,38171254.0,74.75,-0.12017625851249436
2025-10-24 09:41:00,74.79,74.57,74.79,74.56,1909,14252954.0,74.746,-0.4272933635999565
2025-10-24 09:42:00,74.54,74.64,74.67,74.54,1849,13795685.0,74.74,-0.33382294031245596
2025-10-24 09:43:00,74.64,74.54,74.66,74.54,2415,18017760.0,74.733,-0.4673521164374361
2025-10-24 09:44:00,74.54,74.51,74.54,74.46,5001,37256432.0,74.708,-0.5074108692749268
2025-10-24 09:45:00,74.49,74.56,74.56,74.46,3436,25596135.0,74.694,-0.4406462812124423
2025-10-24 09:46:00,74.56,74.62,74.66,74.56,1763,13152996.0,74.691,-0.3605287755374498
2025-10-24 09:47:00,74.6,74.77,74.8,74.6,1947,14548773.0,74.692,-0.16023501134998508
2025-10-24 09:48:00,74.77,74.84,74.89,74.77,2219,16608027.0,74.698,-0.06676458806248453
2025-10-24 09:49:00,74.83,74.8,74.83,74.77,1637,12245165.0,74.701,-0.12017625851249436
2025-10-24 09:50:00,74.81,74.83,74.88,74.81,1643,12296612.0,74.704,-0.08011750567499254
2025-10-24 09:51:00,74.83,74.91,74.93,74.81,2936,21980970.0,74.712,0.026705835224993812
2025-10-24 09:52:00,74.9,74.88,74.9,74.85,865,6477092.0,74.714,-0.013352917612508008
2025-10-24 09:53:00,74.88,74.81,74.95,74.8,1851,13864289.0,74.719,-0.10682334089998635
2025-10-24 09:54:00,74.83,74.86,74.99,74.81,3618,27098287.0,74.729,-0.04005875283750182
2025-10-24 09:55:00,74.86,74.9,74.92,74.86,1126,8435067.0,74.732,0.013352917612508008
2025-10-24 09:56:00,74.9,74.93,74.96,74.89,2076,15552962.0,74.737,0.05341167045000983
2025-10-24 09:57:00,74.91,74.88,74.94,74.83,1380,10333382.0,74.739,-0.013352917612508008
2025-10-24 09:58:00,74.88,74.82,74.89,74.8,2324,17390280.0,74.742,-0.09347042328750055
2025-10-24 09:59:00,74.8,74.81,74.86,74.8,732,5477489.0,74.743,-0.10682334089998635
2025-10-24 10:00:00,74.81,74.88,74.89,74.8,898,6720986.0,74.744,-0.013352917612508008
2025-10-24 10:01:00,74.88,74.81,74.88,74.79,772,5776496.0,74.745,-0.10682334089998635
2025-10-24 10:02:00,74.81,74.83,74.86,74.8,1268,9487304.0,74.746,-0.08011750567499254
2025-10-24 10:03:00,74.85,74.84,74.87,74.82,675,5052064.0,74.747,-0.06676458806248453
2025-10-24 10:04:00,74.84,74.88,74.9,74.82,2584,19344635.0,74.751,-0.013352917612508008
2025-10-24 10:05:00,74.9,74.92,74.92,74.89,931,6973539.0,74.752,0.04005875283750182
2025-10-24 10:06:00,74.96,74.99,74.99,74.93,2181,16351926.0,74.758,0.13352917612496906
2025-10-24 10:07:00,74.99,74.85,75.0,74.85,2364,17718402.0,74.763,-0.05341167044999873
2025-10-24 10:08:00,74.86,74.89,74.89,74.86,538,4028131.0,74.764,0.0
2025-10-24 10:09:00,74.88,74.78,74.9,74.75,1311,9809580.0,74.765,-0.14688209373747707
2025-10-24 10:10:00,74.76,74.73,74.77,74.7,1346,10061660.0,74.764,-0.2136466817999727
2025-10-24 10:11:00,74.72,74.71,74.73,74.7,971,7254144.0,74.764,-0.24035251702497762
2025-10-24 10:12:00,74.72,74.72,74.75,74.69,1020,7620467.0,74.763,-0.2269995994124696
2025-10-24 10:13:00,74.72,74.64,74.72,74.64,1333,9955129.0,74.762,-0.33382294031245596
2025-10-24 10:14:00,74.66,74.63,74.67,74.63,736,5494015.0,74.761,-0.34717585792496397
2025-10-24 10:15:00,74.64,74.55,74.64,74.52,1836,13692312.0,74.758,-0.4539991988249503
2025-10-24 10:16:00,74.56,74.53,74.57,74.53,1125,8386003.0,74.755,-0.48070503404994414
2025-10-24 10:17:00,74.53,74.57,74.58,74.53,669,4987928.0,74.754,-0.4272933635999565
2025-10-24 10:18:00,74.57,74.59,74.6,74.56,708,5280647.0,74.753,-0.4005875283749516
2025-10-24 10:19:00,74.59,74.56,74.6,74.56,690,5145938.0,74.752,-0.4406462812124423
