排名,投资组合ID,投资组合名称,总收益率,更新时间,累计抓涨停次数,调仓类型,调仓股票,标的代码,调仓收益率,最新收益日期,最新收益率
1,9800,题材埋伏狙击,793.15,07-09 22:15,累计抓涨停28次,SELL,***,300065,12.75,2025-07-08,7.9667
2,5503,趋势擒龙诀,424.76,07-09 22:15,累计抓涨停122次,SELL,***,601519,8.87,2025-07-08,4.272
3,17328,股海飞阳5号,204.68,07-09 22:15,累计抓涨停14次,SELL,****,300046,28.67,2025-07-08,2.0671
4,20759,波段题材组合,204.24,07-09 22:15,累计抓涨停6次,SELL,****,003003,18.53,2025-07-08,1.9384
5,20708,先锋题材,164.54,07-09 22:15,累计抓涨停12次,SELL,****,300563,5.17,2025-07-08,1.6624
6,20537,浴火重生,154.39,07-09 22:15,累计抓涨停5次,SELL,****,300600,147.98,2025-07-08,1.5699
7,9562,阳阳精选,98.83,07-09 22:15,累计抓涨停23次,SELL,****,603118,9.67,2025-07-08,0.9883
8,32311,活跃全仓,98.4,07-09 22:15,累计抓涨停6次,SELL,****,002365,7.9,2025-07-08,0.9121
9,24381,漫山红,96.16,07-09 22:15,累计抓涨停44次,SELL,****,300468,23.86,2025-07-08,0.9782
10,19846,稳中求赢,94.26,07-09 22:15,累计抓涨停12次,BUY,***,301586,8.75,2025-07-08,0.9265
11,21250,超短交易法则,92.93,07-09 22:15,累计抓涨停22次,BUY,****,600537,18.86,2025-07-08,0.9357
12,4820,龙头战法短线教学,92.86,07-09 22:15,累计抓涨停16次,SELL,****,000977,2.51,2025-07-08,0.9287
13,20374,什么是新质生产力,92.61,07-09 22:15,累计抓涨停38次,SELL,****,300568,15.32,2025-07-08,0.9385
14,10466,价值热点趋势,88.84,07-09 22:15,累计抓涨停21次,BUY,****,002130,4.96,2025-07-08,0.8762
15,30189,青山在钱无量,88.07,07-09 22:15,0次,SELL,****,301141,13.88,2025-07-08,0.8886
16,21748,沧澜奇遇,85.99,07-09 22:15,累计抓涨停7次,无,无,无,无,2025-07-08,0.8738
17,16678,一起向北,85.36,07-09 22:15,累计抓涨停6次,BUY,****,300873,0.25,2025-07-08,0.8651
18,20866,龙吟号,76.36,07-09 22:15,累计抓涨停26次,SELL,****,600744,49.8,2025-07-08,0.7688
19,14753,短中稳健复利,73.02,07-09 22:15,累计抓涨停10次,SELL,****,002866,4.54,2025-07-08,0.7418
20,18403,股通经略9号,72.26,07-09 22:15,累计抓涨停13次,SELL,****,300921,398.2,2025-07-08,0.7273
21,18470,波段龙头挖掘,70.88,07-09 22:15,累计抓涨停16次,BUY,****,300936,2.41,2025-07-08,0.7054
22,18926,芯片波段,68.52,07-09 22:15,累计抓涨停8次,SELL,****,603232,4.2,2025-07-08,0.6909
23,17666,聚焦龙虎榜,66.77,07-09 22:15,累计抓涨停11次,SELL,****,000920,22.78,2025-07-08,0.6494
24,31936,金财汇精英领航,63.01,07-09 22:15,0次,SELL,****,301058,5.33,2025-07-08,0.6065
25,19065,强势股操作,61.58,07-09 22:15,累计抓涨停39次,BUY,****,300004,2.6,2025-07-08,0.6348
26,19114,乘风超短,61.42,07-09 22:15,累计抓涨停28次,SELL,****,301389,25.81,2025-07-08,0.5974
27,31746,趋势成长精选,60.36,07-09 22:15,累计抓涨停10次,SELL,****,600876,15.23,2025-07-08,0.6045
28,18391,趋势擒牛10,59.52,07-09 22:15,累计抓涨停13次,BUY,****,301089,1.73,2025-07-08,0.6151
29,22808,悟空屠龙刀,59.15,07-09 22:15,累计抓涨停3次,SELL,***,300204,17.08,2025-07-08,0.5875
30,32225,龙头接力模式,50.97,07-09 22:15,累计抓涨停4次,SELL,****,300468,5.97,2025-07-08,0.4998
31,31266,中线波段K组,50.58,07-09 22:15,0次,SELL,****,600513,16.0,2025-07-08,0.5337
32,14409,趋势中军策略,49.68,07-09 22:15,累计抓涨停18次,SELL,****,300750,11.54,2025-07-08,0.4829
33,23249,回马枪低吸,42.44,07-09 22:15,累计抓涨停16次,SELL,****,301501,10.66,2025-07-08,0.3818
34,12152,热点潜伏,42.05,07-09 22:15,累计抓涨停83次,SELL,****,688757,7.38,2025-07-08,0.3986
35,20984,跟风强势狙击,38.54,07-09 22:15,累计抓涨停38次,SELL,****,301389,3.74,2025-07-08,0.4025
36,10754,短线龙头出击11,38.31,07-09 22:15,累计抓涨停24次,SELL,****,300401,0.39,2025-07-08,0.3966
37,19569,起爆点趋势,36.88,07-09 22:15,累计抓涨停37次,SELL,****,002074,36.09,2025-07-08,0.3632
38,32237,学量化抓主线,36.65,07-09 22:15,累计抓涨停9次,SELL,****,600105,2.68,2025-07-07,0.3635
39,31445,诸葛掘金,33.7,07-09 22:15,累计抓涨停14次,SELL,****,301217,98.96,2025-07-08,0.2441
40,21181,003号时代组合,32.45,07-09 22:15,累计抓涨停21次,BUY,****,300494,5.47,2025-07-08,0.3193
41,19461,策略致胜之剑,31.86,07-09 22:15,累计抓涨停10次,SELL,****,605277,71.82,2025-07-08,0.3121
42,32436,鼎鼎精选,31.69,07-09 22:15,累计抓涨停5次,SELL,****,600481,8.11,2025-07-08,0.3453
43,32270,上上策,29.8,07-09 22:15,0次,SELL,****,603185,18.36,2025-07-08,0.2847
44,23250,鸿运当头1号,28.23,07-09 22:15,累计抓涨停19次,SELL,****,002537,4.54,2025-07-08,0.2327
45,31737,中泰证券蔡昌权,27.81,07-09 22:15,累计抓涨停8次,SELL,****,603811,18.75,2025-07-07,0.2825
46,15429,资产轮动混合策略,27.11,07-09 22:15,累计抓涨停5次,SELL,****,300827,6.53,2025-07-08,0.2711
47,32160,买在主升浪,26.55,07-09 22:15,累计抓涨停29次,BUY,****,300537,6.47,2025-07-08,0.2634
48,21426,红牛精选,26.06,07-09 22:15,累计抓涨停49次,无,无,无,无,2025-07-08,0.2535
49,32375,1潜龙在渊,24.69,07-09 22:15,0次,BUY,****,300016,0.39,2025-07-08,0.2607
50,19974,狙击龙虎榜A计划,23.79,07-09 22:15,累计抓涨停9次,无,无,无,无,2025-07-08,0.1914
