股票名,当日盈亏/盈亏率,盈亏/盈亏率,成本/现价,持仓/可用
思进智能,35.70/1.125%,169.64/5.540%,0.596/0.629,5100/5100
工商银行,15.00/2.249%,133.56/24.320%,5.486/6.820,100/100
中国电信,15.00/2.171%,101.72/16.810%,6.044/7.060,100/100
国开债券ETF,54.00/0.170%,70.24/0.220%,105.560/105.794,300/300
国光股份,26.00/1.898%,45.07/3.320%,13.511/13.960,100/100
恒生ETF,26.40/0.972%,28.76/1.050%,1.234/1.247,2200/2200
鑫科材料,-44.00/-2.683%,14.93/0.940%,3.953/3.990,400/400
标普ETF,-232.90/-7.519%,13.76/0.480%,1.677/1.685,1700/1700
未找到,未找到/未找到,未找到/未找到,未找到/未找到,未找到
城投债ETF,1.30/0.126%,9.88/0.970%,10.247/10.346,100/100
新标准券,--/,0.00/0.000%,0.000/100.000,0/0
半导体ETF,-75.60/-2.750%,-20.83/-0.800%,0.998/0.990,2700/2700
国盛金控,-74.00/-5.233%,-61.90/-4.430%,14.021/13.400,100/100
恒生科技ETF基金,51.10/1.124%,-66.18/-1.410%,0.639/0.630,7300/7300
A500指数ETF,-22.40/-0.750%,-83.19/-2.730%,0.952/0.926,3200/3200
福莱特,-85.00/-4.276%,-164.29/-7.960%,20.676/19.030,100/100
长江电力,70.00/2.482%,-192.60/-6.260%,30.829/28.900,100/100
红旗连锁,-24.00/-2.264%,-254.72/-19.750%,6.455/5.180,200/200
紫光股份,-164.00/-6.115%,-370.72/-12.840%,28.891/25.180,100/100
房地产ETF基金,-23.40/-1.364%,-522.35/-23.590%,0.852/0.651,2600/2600
