排名,投资组合ID,投资组合名称,总收益率,更新时间,累计抓涨停次数,调仓类型,调仓股票,标的代码,调仓收益率,最新收益日期,最新收益率
1,21009,笑忘歌,230.9,09-24 20:45,累计抓涨停23次,SELL,****,300918,9.72,2025-09-23,2.2443
2,18828,跨越牛熊短线出击,225.04,09-24 20:45,累计抓涨停15次,SELL,****,002549,11.55,2025-09-23,2.2387
3,16668,领先遥遥,212.8,09-24 20:45,累计抓涨停12次,SELL,****,301123,98.75,2025-09-23,2.0079
4,10384,周期主线核心龙头,205.02,09-24 20:45,累计抓涨停97次,SELL,****,603516,30.86,2025-09-23,2.0284
5,14409,趋势中军策略,173.86,09-24 20:45,累计抓涨停25次,BUY,****,300308,155.71,2025-09-23,1.7068
6,15755,小盘成长波段,163.24,09-24 20:45,累计抓涨停17次,SELL,****,688717,0.0,2025-09-23,1.593
7,21828,中线专属,161.27,09-24 20:45,累计抓涨停9次,SELL,***,002850,15.06,2025-09-23,1.6061
8,9967,价值投机组合,143.24,09-24 20:45,累计抓涨停345次,SELL,****,603516,12.5,2025-09-23,1.394
9,29573,大道致简,139.01,09-24 20:45,累计抓涨停44次,BUY,****,300475,62.5,2025-09-23,1.2649
10,20799,欢乐2号组合,135.81,09-24 20:45,累计抓涨停7次,SELL,***,300638,0.0,2025-09-23,1.3714
11,21589,短线亮剑,134.16,09-24 20:45,累计抓涨停19次,SELL,***,603686,25.1,2025-09-23,1.4061
12,12515,K线寻宝日志,125.51,09-24 20:45,累计抓涨停22次,SELL,****,688041,120.33,2025-09-23,1.1784
13,20036,超短行业龙头思维,121.71,09-24 20:45,累计抓涨停110次,BUY,****,603583,33.78,2025-09-23,1.1736
14,12368,空中加油超短战法,118.68,09-24 20:45,累计抓涨停19次,SELL,****,000977,5.65,2025-09-23,1.1274
15,9550,狙击宝VIP,118.41,09-24 20:45,累计抓涨停32次,SELL,****,002460,410.6,2025-09-23,1.1457
16,19721,赢在当下,117.28,09-24 20:45,累计抓涨停21次,SELL,****,688120,48.9,2025-09-23,1.1379
17,32865,孙波短线快刀1号,116.78,09-24 20:45,累计抓涨停26次,SELL,****,605288,62.79,2025-09-23,1.1392
18,20888,趋势擒牛30,109.83,09-24 20:45,累计抓涨停4次,SELL,****,300528,51.71,2025-09-23,1.0761
19,32813,大势决定仓位,107.57,09-24 20:45,累计抓涨停8次,SELL,****,301421,14.1,2025-09-23,1.09
20,29609,仙人指路A5,107.03,09-24 20:45,累计抓涨停18次,SELL,****,000698,27.46,2025-09-23,0.9981
21,21059,股海擒龙88,103.91,09-24 20:45,累计抓涨停4次,SELL,****,300475,251.94,2025-09-23,0.9896
22,20011,富利冲锋号8,102.55,09-24 20:45,累计抓涨停14次,SELL,****,300680,324.37,2025-09-23,0.9874
23,21181,003号时代组合,101.17,09-24 20:45,累计抓涨停23次,SELL,****,002475,22.25,2025-09-22,0.8688
24,32993,麒麟10号,97.69,09-24 20:45,0次,SELL,****,300115,105.46,2025-09-23,0.8968
25,4990,龙头起爆核心组合,97.63,09-24 20:45,累计抓涨停18次,SELL,****,688521,9.44,2025-09-23,0.9375
26,7832,潜龙出海vip,95.75,09-24 20:45,累计抓涨停64次,SELL,****,301200,8.12,2025-09-23,0.9401
27,32212,启航突破,94.13,09-24 20:45,累计抓涨停13次,SELL,****,300620,44.78,2025-09-23,0.9828
28,22860,持股磨人爆发惊人,92.81,09-24 20:45,累计抓涨停6次,SELL,****,002960,14.62,2025-09-23,0.9133
29,22136,潜伏真龙,90.17,09-24 20:45,累计抓涨停19次,SELL,****,300450,13.65,2025-09-23,0.8724
30,6834,龙头点火,87.98,09-24 20:45,累计抓涨停60次,SELL,****,600619,5.85,2025-09-23,0.8761
31,30397,全球市场配置,83.53,09-24 20:45,0次,BUY,****,688981,16.75,2025-09-22,0.756
32,30790,股海掘金8,81.55,09-24 20:45,累计抓涨停9次,SELL,****,300308,140.87,2025-09-23,0.7807
33,29153,短线追龙430,77.39,09-24 20:45,累计抓涨停8次,SELL,****,688729,0.0,2025-09-23,0.745
34,18028,玥升热门短线波段,72.83,09-24 20:45,累计抓涨停14次,SELL,****,300115,771.6,2025-09-23,0.6767
35,3263,价值超短,72.8,09-24 20:45,累计抓涨停49次,SELL,****,002115,15.25,2025-09-22,0.6992
36,32742,金羿仓,66.62,09-24 20:45,累计抓涨停4次,BUY,****,300467,18.25,2025-09-23,0.6289
37,15832,日进千金VIP,65.65,09-24 20:45,累计抓涨停28次,SELL,****,002460,51.35,2025-09-23,0.6278
38,19895,超短线牛股,65.08,09-24 20:45,累计抓涨停9次,SELL,****,688017,25.08,2025-09-23,0.6083
39,18617,低估稳健成长,64.76,09-24 20:45,累计抓涨停18次,SELL,****,600269,1.49,2025-09-23,0.5758
40,32445,弈短淘金,62.92,09-24 20:45,累计抓涨停7次,BUY,***,002402,44.33,2025-09-23,0.6304
41,14025,探潜寻龙,62.25,09-24 20:45,累计抓涨停6次,BUY,****,688789,8.13,2025-09-23,0.5691
42,19211,科技之春,59.12,09-24 20:45,累计抓涨停140次,BUY,****,300476,131.67,2025-09-23,0.5729
43,32778,智投策略,55.29,09-24 20:45,累计抓涨停15次,SELL,****,601138,31.7,2025-09-23,0.4901
44,31382,波段拥抱未来,39.14,09-24 20:45,累计抓涨停11次,SELL,***,603893,100.56,2025-09-23,0.3888
45,32680,买在起涨点123,37.4,09-24 20:45,累计抓涨停9次,SELL,****,301042,6.41,2025-09-23,0.3547
46,33111,东分短线6622,35.59,09-24 20:45,累计抓涨停3次,SELL,****,600162,13.9,2025-09-23,0.3335
47,32873,牛奔奔,29.25,09-24 20:45,累计抓涨停4次,SELL,****,300354,4.09,2025-09-22,0.3205
48,33058,财华横溢,26.42,09-24 20:45,累计抓涨停8次,SELL,****,600601,25.36,2025-09-23,0.2151
49,21207,情绪周期大师,24.16,09-24 20:45,累计抓涨停63次,SELL,****,300959,13.04,2025-09-23,0.2268
50,22193,趋势擒牛208号,20.42,09-24 20:45,累计抓涨停16次,SELL,****,002475,63.7,2025-09-23,0.1899
