日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,002549,11.55,11.47,11.63,11.43,35526,40885034.49,1.73,-0.61,-0.07,0.57
2023-06-14,002549,11.48,11.16,11.54,11.14,77636,87163989.3,3.49,-2.7,-0.31,1.25
2023-06-15,002549,11.13,11.31,11.35,11.03,54865,61540278.08,2.87,1.34,0.15,0.88
2023-06-16,002549,11.29,11.35,11.41,11.25,37861,42933287.04,1.41,0.35,0.04,0.61
2023-06-19,002549,11.34,11.52,11.78,11.34,80970,93879255.54,3.88,1.5,0.17,1.3
2023-06-20,002549,11.5,11.52,11.63,11.38,39395,45300055.42,2.17,0.0,0.0,0.63
2023-06-21,002549,11.44,11.22,11.59,11.2,52377,59327745.81,3.39,-2.6,-0.3,0.84
2023-06-26,002549,11.16,10.96,11.23,10.94,59072,65267891.0,2.58,-2.32,-0.26,0.95
2023-06-27,002549,10.96,11.49,11.59,10.96,92749,105640015.94,5.75,4.84,0.53,1.49
2023-06-28,002549,11.46,11.3,11.5,11.09,54062,60830715.54,3.57,-1.65,-0.19,0.87
2023-06-29,002549,11.33,11.29,11.45,11.2,38649,43826328.11,2.21,-0.09,-0.01,0.62
2023-06-30,002549,11.27,11.5,11.63,11.23,76591,88204711.82,3.54,1.86,0.21,1.23
2023-07-03,002549,11.48,11.58,11.73,11.47,53698,62403318.0,2.26,0.7,0.08,0.87
2023-07-04,002549,11.53,11.62,11.68,11.48,46991,54534400.65,1.73,0.35,0.04,0.76
2023-07-05,002549,11.66,11.52,11.66,11.48,39553,45621350.04,1.55,-0.86,-0.1,0.64
2023-07-06,002549,11.52,11.46,11.62,11.4,36196,41541447.12,1.91,-0.52,-0.06,0.58
2023-07-07,002549,11.46,11.35,11.46,11.32,39914,45428570.32,1.22,-0.96,-0.11,0.64
2023-07-10,002549,11.35,11.24,11.55,11.21,52934,60103824.38,3.0,-0.97,-0.11,0.85
2023-07-11,002549,11.22,11.39,11.46,11.18,75051,84795755.06,2.49,1.33,0.15,1.21
2023-07-12,002549,11.38,10.82,11.38,10.78,190002,207921535.55,5.27,-5.0,-0.57,3.06
2023-07-13,002549,10.8,11.21,11.35,10.76,137935,153303037.12,5.45,3.6,0.39,2.22
2023-07-14,002549,11.26,11.0,11.28,11.0,73808,81847920.0,2.5,-1.87,-0.21,1.19
2023-07-17,002549,11.13,10.88,11.13,10.78,57435,62387434.8,3.18,-1.09,-0.12,0.93
2023-07-18,002549,10.88,10.97,10.98,10.56,98552,106153272.86,3.86,0.83,0.09,1.59
2023-07-19,002549,10.93,10.81,10.97,10.78,38016,41263031.4,1.73,-1.46,-0.16,0.61
2023-07-20,002549,10.85,10.88,11.13,10.82,90568,99583811.84,2.87,0.65,0.07,1.46
2023-07-21,002549,11.02,11.97,11.97,10.93,343673,402689273.88,9.56,10.02,1.09,5.54
2023-07-24,002549,11.75,11.61,11.96,11.58,284385,332063922.46,3.17,-3.01,-0.36,4.58
2023-07-25,002549,11.88,11.79,11.93,11.62,158287,186179317.25,2.67,1.55,0.18,2.55
2023-07-26,002549,11.72,11.78,11.88,11.69,114944,135265441.6,1.61,-0.08,-0.01,1.85
2023-07-27,002549,11.74,11.5,11.81,11.45,101261,117192970.98,3.06,-2.38,-0.28,1.63
2023-07-28,002549,11.41,11.44,11.49,11.1,101152,114487066.64,3.39,-0.52,-0.06,1.63
2023-07-31,002549,11.43,11.56,11.59,11.4,92536,106508164.21,1.66,1.05,0.12,1.49
2023-08-01,002549,11.58,11.46,11.66,11.38,78527,90177044.04,2.42,-0.87,-0.1,1.27
2023-08-02,002549,11.43,11.8,12.09,11.33,203036,238568196.24,6.63,2.97,0.34,3.27
2023-08-03,002549,11.81,12.18,12.48,11.63,285057,342554559.86,7.2,3.22,0.38,4.59
2023-08-04,002549,11.97,11.92,12.15,11.86,177851,212662435.96,2.38,-2.13,-0.26,2.87
2023-08-07,002549,11.93,11.73,11.97,11.71,86319,101712038.39,2.18,-1.59,-0.19,1.39
2023-08-08,002549,11.72,11.85,11.9,11.64,106769,125991609.74,2.22,1.02,0.12,1.72
2023-08-09,002549,11.78,11.5,11.85,11.48,93130,108050194.76,3.12,-2.95,-0.35,1.5
2023-08-10,002549,11.5,11.6,11.69,11.5,61785,71637473.58,1.65,0.87,0.1,1.0
2023-08-11,002549,11.58,11.16,11.58,11.16,85169,96454525.02,3.62,-3.79,-0.44,1.37
2023-08-14,002549,11.16,11.24,11.26,10.91,62644,69531083.56,3.14,0.72,0.08,1.01
2023-08-15,002549,11.22,11.12,11.28,10.99,55475,61477604.02,2.58,-1.07,-0.12,0.89
2023-08-16,002549,11.12,11.03,11.17,11.0,30799,34130282.69,1.53,-0.81,-0.09,0.5
2023-08-17,002549,10.99,11.08,11.11,10.88,36303,39994900.55,2.09,0.45,0.05,0.58
2023-08-18,002549,11.08,10.93,11.24,10.92,52046,57670651.14,2.89,-1.35,-0.15,0.84
2023-08-21,002549,10.85,10.62,11.01,10.59,58245,62829058.0,3.84,-2.84,-0.31,0.94
2023-08-22,002549,10.62,10.31,10.69,10.1,95650,98510344.17,5.56,-2.92,-0.31,1.54
2023-08-23,002549,10.27,10.01,10.28,9.98,54325,54818481.39,2.91,-2.91,-0.3,0.88
2023-08-24,002549,10.02,10.0,10.13,9.86,41409,41384448.28,2.7,-0.1,-0.01,0.67
2023-08-25,002549,9.97,9.81,10.12,9.72,55858,55486784.0,4.0,-1.9,-0.19,0.9
2023-08-28,002549,10.4,9.76,10.4,9.73,73580,74117240.3,6.83,-0.51,-0.05,1.19
2023-08-29,002549,9.78,10.15,10.24,9.77,83221,83849321.2,4.82,4.0,0.39,1.34
2023-08-30,002549,10.12,10.19,10.29,10.08,59690,60801930.9,2.07,0.39,0.04,0.96
2023-08-31,002549,10.19,10.08,10.21,10.04,38171,38599661.0,1.67,-1.08,-0.11,0.61
2023-09-01,002549,10.1,10.08,10.18,10.05,34468,34836751.67,1.29,0.0,0.0,0.56
2023-09-04,002549,10.15,10.43,10.45,10.1,72583,74739951.85,3.47,3.47,0.35,1.17
2023-09-05,002549,10.42,10.41,10.53,10.33,50086,52242202.52,1.92,-0.19,-0.02,0.81
2023-09-06,002549,10.35,10.88,11.1,10.3,127120,136822441.6,7.68,4.51,0.47,2.05
2023-09-07,002549,10.86,10.89,11.15,10.75,172482,189823454.22,3.68,0.09,0.01,2.78
2023-09-08,002549,11.11,11.3,11.98,11.09,354360,410662531.78,8.17,3.76,0.41,5.71
2023-09-11,002549,11.16,10.88,11.27,10.88,246972,271698703.32,3.45,-3.72,-0.42,3.98
2023-09-12,002549,11.0,11.11,11.19,10.75,172985,190352864.74,4.04,2.11,0.23,2.79
2023-09-13,002549,11.0,11.38,11.5,10.95,222015,250030023.27,4.95,2.43,0.27,3.58
2023-09-14,002549,11.2,11.17,11.21,10.85,140266,154518267.88,3.16,-1.85,-0.21,2.26
2023-09-15,002549,11.1,11.92,12.29,10.95,476185,564174719.25,12.0,6.71,0.75,7.67
2023-09-18,002549,11.61,11.98,12.45,11.5,478504,571856359.01,7.97,0.5,0.06,7.71
2023-09-19,002549,11.8,11.43,11.95,11.43,255074,296095254.11,4.34,-4.59,-0.55,4.11
2023-09-20,002549,11.46,11.15,11.5,11.13,154915,174386638.85,3.24,-2.45,-0.28,2.5
2023-09-21,002549,11.15,11.0,11.27,10.95,101045,112032572.0,2.87,-1.35,-0.15,1.63
2023-09-22,002549,10.89,10.95,11.0,10.59,153022,165538259.2,3.73,-0.45,-0.05,2.47
2023-09-25,002549,10.87,11.01,11.26,10.8,134234,148104408.87,4.2,0.55,0.06,2.16
2023-09-26,002549,10.9,10.6,10.92,10.59,122546,130805254.59,3.0,-3.72,-0.41,1.97
2023-09-27,002549,10.55,10.53,10.68,10.47,71686,75802333.47,1.98,-0.66,-0.07,1.15
2023-09-28,002549,10.54,10.68,10.83,10.54,83236,88863308.77,2.75,1.42,0.15,1.34
2023-10-09,002549,10.69,10.61,10.79,10.59,67619,72262203.36,1.87,-0.66,-0.07,1.09
2023-10-10,002549,10.66,10.63,10.8,10.57,65687,70055929.62,2.17,0.19,0.02,1.06
2023-10-11,002549,10.62,10.78,10.93,10.56,80071,86152477.28,3.48,1.41,0.15,1.29
2023-10-12,002549,10.91,10.81,10.92,10.67,74699,80420409.21,2.32,0.28,0.03,1.2
2023-10-13,002549,10.72,11.43,11.8,10.65,253489,287659366.06,10.64,5.74,0.62,4.08
2023-10-16,002549,11.27,11.39,11.48,11.21,114876,130262290.14,2.36,-0.35,-0.04,1.85
2023-10-17,002549,11.28,11.32,11.37,11.13,91409,102598227.62,2.11,-0.61,-0.07,1.47
2023-10-18,002549,11.2,10.86,11.31,10.84,92656,101935632.04,4.15,-4.06,-0.46,1.49
2023-10-19,002549,10.76,11.38,11.75,10.67,212579,240756571.9,9.94,4.79,0.52,3.42
2023-10-20,002549,11.19,10.93,11.22,10.91,131883,145867256.81,2.72,-3.95,-0.45,2.12
2023-10-23,002549,10.83,10.34,10.87,10.25,104121,109289300.37,5.67,-5.4,-0.59,1.68
2023-10-24,002549,10.34,10.73,10.81,10.3,94466,100357111.41,4.93,3.77,0.39,1.52
2023-10-25,002549,10.85,10.68,10.9,10.61,69089,74267748.18,2.7,-0.47,-0.05,1.11
2023-10-26,002549,10.61,10.56,10.67,10.39,60688,63752805.86,2.62,-1.12,-0.12,0.98
2023-10-27,002549,10.56,11.03,11.29,10.38,139555,152087543.93,8.62,4.45,0.47,2.25
2023-10-30,002549,10.86,11.09,11.19,10.75,102861,113395783.65,3.99,0.54,0.06,1.66
2023-10-31,002549,11.15,11.15,11.26,10.93,91338,101489710.4,2.98,0.54,0.06,1.47
2023-11-01,002549,11.1,11.1,11.23,11.03,62472,69651775.4,1.79,-0.45,-0.05,1.01
2023-11-02,002549,11.05,10.78,11.17,10.76,76945,83899134.66,3.69,-2.88,-0.32,1.24
2023-11-03,002549,10.85,10.93,11.0,10.78,61562,67057637.0,2.04,1.39,0.15,0.99
2023-11-06,002549,10.98,11.18,11.18,10.98,75074,83374520.12,1.83,2.29,0.25,1.21
2023-11-07,002549,11.23,11.21,11.32,11.07,85364,95570363.65,2.24,0.27,0.03,1.38
2023-11-08,002549,11.15,11.31,11.43,11.13,93954,105821042.19,2.68,0.89,0.1,1.51
2023-11-09,002549,11.35,11.24,11.5,11.2,87919,99599267.3,2.65,-0.62,-0.07,1.42
2023-11-10,002549,11.17,11.2,11.37,11.12,63003,70914557.54,2.22,-0.36,-0.04,1.02
2023-11-13,002549,11.21,11.21,11.33,11.09,68145,76114189.73,2.14,0.09,0.01,1.1
2023-11-14,002549,11.17,11.29,11.33,11.06,75042,84507329.37,2.41,0.71,0.08,1.21
2023-11-15,002549,11.41,11.49,11.67,11.33,119007,136463300.9,3.01,1.77,0.2,1.92
2023-11-16,002549,11.42,11.33,11.45,11.24,80636,91361542.0,1.83,-1.39,-0.16,1.3
2023-11-17,002549,11.25,11.37,11.43,11.22,49461,56143696.44,1.85,0.35,0.04,0.8
2023-11-20,002549,11.37,11.58,11.65,11.29,123151,141829060.87,3.17,1.85,0.21,1.98
2023-11-21,002549,11.55,11.69,12.12,11.51,250750,296892858.39,5.27,0.95,0.11,4.04
2023-11-22,002549,11.72,11.81,12.31,11.72,208415,249866707.15,5.05,1.03,0.12,3.36
2023-11-23,002549,11.81,11.7,11.92,11.41,112825,130981440.28,4.32,-0.93,-0.11,1.82
2023-11-24,002549,11.7,11.31,11.7,11.27,106544,121629038.25,3.68,-3.33,-0.39,1.72
2023-11-27,002549,11.23,11.2,11.3,11.0,72756,81124467.14,2.65,-0.97,-0.11,1.17
2023-11-28,002549,11.12,11.14,11.23,11.02,59579,66277606.38,1.88,-0.54,-0.06,0.96
2023-11-29,002549,11.07,11.1,11.19,11.06,43826,48774699.16,1.17,-0.36,-0.04,0.71
2023-11-30,002549,11.11,10.87,11.14,10.83,64239,70158169.57,2.79,-2.07,-0.23,1.03
2023-12-01,002549,10.83,10.9,10.95,10.76,43288,47026396.53,1.75,0.28,0.03,0.7
2023-12-04,002549,10.88,10.89,10.97,10.87,40374,44071530.4,0.92,-0.09,-0.01,0.65
2023-12-05,002549,10.9,10.6,10.92,10.57,44932,48106510.61,3.21,-2.66,-0.29,0.72
2023-12-06,002549,10.52,10.68,10.78,10.52,28535,30512141.1,2.45,0.75,0.08,0.46
2023-12-07,002549,10.6,10.71,10.74,10.52,31998,34045422.15,2.06,0.28,0.03,0.52
2023-12-08,002549,10.7,10.54,10.83,10.45,55914,59533455.78,3.55,-1.59,-0.17,0.9
2023-12-11,002549,10.51,10.52,10.62,10.38,72492,75912057.3,2.28,-0.19,-0.02,1.17
2023-12-12,002549,10.5,10.38,10.51,10.34,48427,50261711.92,1.62,-1.33,-0.14,0.78
2023-12-13,002549,10.37,10.31,10.45,10.28,32143,33314387.2,1.64,-0.67,-0.07,0.52
2023-12-14,002549,10.35,10.23,10.42,10.21,28706,29605417.0,2.04,-0.78,-0.08,0.46
2023-12-15,002549,10.27,10.24,10.33,10.16,27564,28211232.28,1.66,0.1,0.01,0.44
2023-12-18,002549,10.19,10.02,10.21,10.0,30353,30606818.56,2.05,-2.15,-0.22,0.49
2023-12-19,002549,10.02,10.0,10.08,9.92,26964,26940087.54,1.6,-0.2,-0.02,0.43
2023-12-20,002549,10.02,9.84,10.12,9.84,30099,29963476.8,2.8,-1.6,-0.16,0.48
2023-12-21,002549,9.82,9.89,9.94,9.66,32421,31792104.82,2.85,0.51,0.05,0.52
2023-12-22,002549,9.87,9.67,9.88,9.4,67881,65192004.16,4.85,-2.22,-0.22,1.09
2023-12-25,002549,9.68,9.63,9.75,9.57,24370,23544668.2,1.86,-0.41,-0.04,0.39
2023-12-26,002549,9.65,9.36,9.66,9.33,35895,33964390.8,3.43,-2.8,-0.27,0.58
2023-12-27,002549,9.38,9.4,9.45,9.24,34940,32674961.0,2.24,0.43,0.04,0.56
2023-12-28,002549,9.35,9.63,9.71,9.33,52392,50239950.02,4.04,2.45,0.23,0.84
2023-12-29,002549,9.64,9.78,9.79,9.62,35752,34715013.26,1.77,1.56,0.15,0.58
2024-01-02,002549,9.8,9.67,9.81,9.66,30886,30081845.24,1.53,-1.12,-0.11,0.5
2024-01-03,002549,9.63,9.66,9.73,9.57,33970,32777141.0,1.65,-0.1,-0.01,0.55
2024-01-04,002549,9.63,9.47,9.65,9.46,26299,25014471.36,1.97,-1.97,-0.19,0.42
2024-01-05,002549,9.45,9.3,9.54,9.25,32154,30126114.2,3.06,-1.8,-0.17,0.52
2024-01-08,002549,9.33,8.99,9.33,8.99,46144,42067684.02,3.66,-3.33,-0.31,0.74
2024-01-09,002549,8.96,8.92,9.15,8.87,42310,38017492.1,3.11,-0.78,-0.07,0.68
2024-01-10,002549,8.88,8.77,8.97,8.69,40284,35510181.25,3.14,-1.68,-0.15,0.65
2024-01-11,002549,8.79,8.95,8.99,8.69,34234,30392639.63,3.42,2.05,0.18,0.55
2024-01-12,002549,8.97,8.91,9.09,8.9,32124,28833192.0,2.12,-0.45,-0.04,0.52
2024-01-15,002549,8.92,8.86,8.96,8.78,23070,20474041.0,2.02,-0.56,-0.05,0.37
2024-01-16,002549,8.83,8.82,8.91,8.71,27294,24021609.45,2.26,-0.45,-0.04,0.44
2024-01-17,002549,8.82,8.56,8.82,8.56,27788,24186971.36,2.95,-2.95,-0.26,0.45
2024-01-18,002549,8.56,8.57,8.6,8.25,45716,38417995.8,4.09,0.12,0.01,0.74
2024-01-19,002549,8.57,8.43,8.68,8.43,23505,20072329.6,2.92,-1.63,-0.14,0.38
2024-01-22,002549,8.45,7.86,8.46,7.81,45903,37173145.0,7.71,-6.76,-0.57,0.74
2024-01-23,002549,7.85,7.95,7.96,7.71,36867,28988302.92,3.18,1.15,0.09,0.59
2024-01-24,002549,7.99,8.03,8.13,7.75,39949,31832669.89,4.78,1.01,0.08,0.64
2024-01-25,002549,8.1,8.29,8.3,7.99,50531,41302179.6,3.86,3.24,0.26,0.81
2024-01-26,002549,8.3,8.2,8.4,8.18,37625,31183202.0,2.65,-1.09,-0.09,0.61
2024-01-29,002549,8.15,7.6,8.2,7.56,140807,109322489.59,7.8,-7.32,-0.6,2.03
2024-01-30,002549,7.42,7.16,7.67,7.1,155984,114644288.95,7.5,-5.79,-0.44,2.25
2024-01-31,002549,7.12,6.81,7.27,6.77,114895,80143338.09,6.98,-4.89,-0.35,1.66
