日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,002820,11.35,11.17,11.41,11.13,80147,89922561.8,2.46,-1.67,-0.19,4.0
2023-06-14,002820,11.2,11.4,11.49,11.1,121207,137477913.8,3.49,2.06,0.23,6.05
2023-06-15,002820,11.37,11.09,11.38,10.97,103287,114741504.2,3.6,-2.72,-0.31,5.16
2023-06-16,002820,11.12,11.13,11.27,11.1,84820,94971743.24,1.53,0.36,0.04,4.23
2023-06-19,002820,11.1,11.05,11.26,11.04,59350,66056053.6,1.98,-0.72,-0.08,2.96
2023-06-20,002820,11.02,10.81,11.05,10.8,64047,69742370.0,2.26,-2.17,-0.24,3.2
2023-06-21,002820,10.79,10.61,10.9,10.6,54347,58252670.6,2.78,-1.85,-0.2,2.71
2023-06-26,002820,10.64,10.41,10.74,10.4,44286,46569665.0,3.2,-1.89,-0.2,2.21
2023-06-27,002820,10.5,10.88,10.88,10.44,66776,71898183.4,4.23,4.51,0.47,3.33
2023-06-28,002820,10.8,10.89,10.96,10.5,61886,66677044.0,4.23,0.09,0.01,3.09
2023-06-29,002820,10.94,11.09,11.3,10.88,70225,78302642.8,3.86,1.84,0.2,3.51
2023-06-30,002820,11.09,11.34,11.52,11.01,78147,88707838.16,4.6,2.25,0.25,3.9
2023-07-03,002820,11.35,11.76,11.89,11.27,108677,126915619.81,5.47,3.7,0.42,5.42
2023-07-04,002820,11.64,11.6,11.68,11.44,75508,87228856.2,2.04,-1.36,-0.16,3.77
2023-07-05,002820,11.58,11.43,11.6,11.28,69581,79293564.89,2.76,-1.47,-0.17,3.47
2023-07-06,002820,11.26,11.27,11.46,11.23,39046,44205867.0,2.01,-1.4,-0.16,1.95
2023-07-07,002820,11.27,11.26,11.49,11.24,41195,46700430.0,2.22,-0.09,-0.01,2.06
2023-07-10,002820,11.26,11.35,11.6,11.25,47190,53618518.0,3.11,0.8,0.09,2.36
2023-07-11,002820,11.41,11.28,11.65,11.21,41569,47164433.0,3.88,-0.62,-0.07,2.07
2023-07-12,002820,11.24,10.99,11.24,10.96,45441,50383882.0,2.48,-2.57,-0.29,2.27
2023-07-13,002820,11.15,11.07,11.18,10.87,59007,64984515.0,2.82,0.73,0.08,2.95
2023-07-14,002820,11.04,10.9,11.12,10.87,49711,54281399.6,2.26,-1.54,-0.17,2.48
2023-07-17,002820,10.9,10.96,11.0,10.77,39738,43390790.84,2.11,0.55,0.06,1.98
2023-07-18,002820,11.0,11.02,11.09,10.79,42628,46748575.0,2.74,0.55,0.06,2.13
2023-07-19,002820,11.0,11.01,11.25,10.93,49572,54901136.6,2.9,-0.09,-0.01,2.47
2023-07-20,002820,11.06,11.72,11.96,11.06,212818,245742482.57,8.17,6.45,0.71,10.62
2023-07-21,002820,11.55,12.35,12.68,11.4,365995,442542925.08,10.92,5.38,0.63,18.27
2023-07-24,002820,11.97,11.6,11.98,11.4,265386,307325466.88,4.7,-6.07,-0.75,13.25
2023-07-25,002820,11.6,11.65,11.82,11.45,226016,262920933.28,3.19,0.43,0.05,11.28
2023-07-26,002820,11.66,11.54,11.69,11.25,169662,194079365.4,3.78,-0.94,-0.11,8.47
2023-07-27,002820,11.47,11.67,12.15,11.33,189469,222857360.4,7.11,1.13,0.13,9.46
2023-07-28,002820,11.53,11.9,11.96,11.41,181978,214771150.2,4.71,1.97,0.23,9.08
2023-07-31,002820,12.04,12.19,12.29,11.78,264874,320448715.56,4.29,2.44,0.29,13.22
2023-08-01,002820,12.27,11.83,12.27,11.79,170229,203623719.6,3.94,-2.95,-0.36,8.5
2023-08-02,002820,11.83,11.62,11.92,11.59,118802,139269715.0,2.79,-1.78,-0.21,5.93
2023-08-03,002820,11.66,12.26,12.47,11.58,292258,354720147.2,7.66,5.51,0.64,14.59
2023-08-04,002820,12.08,11.73,12.14,11.7,225480,267539560.8,3.59,-4.32,-0.53,11.26
2023-08-07,002820,11.73,11.88,12.41,11.53,203393,243657086.8,7.5,1.28,0.15,10.15
2023-08-08,002820,11.9,11.5,11.96,11.42,176647,204765077.6,4.55,-3.2,-0.38,8.82
2023-08-09,002820,11.53,11.36,12.05,11.34,133385,154894893.04,6.17,-1.22,-0.14,6.66
2023-08-10,002820,11.34,11.24,11.4,10.92,134389,149402475.56,4.23,-1.06,-0.12,6.71
2023-08-11,002820,11.29,10.94,11.32,10.93,90302,100014732.96,3.47,-2.67,-0.3,4.51
2023-08-14,002820,10.81,11.07,11.19,10.75,84839,93752464.03,4.02,1.19,0.13,4.23
2023-08-15,002820,11.07,10.96,11.14,10.88,54898,60293580.96,2.35,-0.99,-0.11,2.74
