日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,600053,12.71,12.9,12.9,12.71,6194,7956219.0,1.49,1.1,0.14,0.14
2023-06-14,600053,12.85,12.9,12.96,12.85,6531,8414354.0,0.85,0.0,0.0,0.15
2023-06-15,600053,12.98,12.83,12.98,12.66,10898,13933460.0,2.48,-0.54,-0.07,0.25
2023-06-16,600053,12.82,13.34,13.9,12.81,50348,67383055.0,8.5,3.98,0.51,1.16
2023-06-19,600053,13.26,13.14,13.27,13.02,26753,35073774.0,1.87,-1.5,-0.2,0.62
2023-06-20,600053,13.0,12.76,13.0,12.71,17712,22631399.0,2.21,-2.89,-0.38,0.41
2023-06-21,600053,12.66,12.27,12.72,12.24,23849,29662388.0,3.76,-3.84,-0.49,0.55
2023-06-26,600053,12.27,11.99,12.27,11.98,14416,17430411.0,2.36,-2.28,-0.28,0.33
2023-06-27,600053,11.99,12.23,12.27,11.99,9564,11647778.0,2.34,2.0,0.24,0.22
2023-06-28,600053,12.26,12.25,12.28,12.02,10545,12814291.0,2.13,0.16,0.02,0.24
2023-06-29,600053,12.25,12.25,12.33,12.15,11065,13541932.0,1.47,0.0,0.0,0.26
2023-06-30,600053,12.24,12.37,12.39,12.16,10053,12381792.0,1.88,0.98,0.12,0.23
2023-07-03,600053,12.37,12.9,13.47,12.36,42313,54774765.0,8.97,4.28,0.53,0.98
2023-07-04,600053,12.87,12.86,12.92,12.65,21709,27770375.0,2.09,-0.31,-0.04,0.5
2023-07-05,600053,12.86,12.82,12.99,12.74,12483,16072497.0,1.94,-0.31,-0.04,0.29
2023-07-06,600053,12.99,12.76,12.99,12.68,12747,16327799.0,2.42,-0.47,-0.06,0.29
2023-07-07,600053,12.85,13.0,13.05,12.69,12810,16531164.0,2.82,1.88,0.24,0.3
2023-07-10,600053,13.3,13.19,13.58,12.98,25205,33290976.0,4.62,1.46,0.19,0.58
2023-07-11,600053,13.1,13.16,13.26,13.01,13707,18031005.0,1.9,-0.23,-0.03,0.32
2023-07-12,600053,13.03,12.96,13.24,12.9,10686,13948242.0,2.58,-1.52,-0.2,0.25
2023-07-13,600053,12.96,13.14,13.15,12.96,8906,11665412.0,1.47,1.39,0.18,0.21
2023-07-14,600053,13.14,13.38,13.43,13.08,18637,24804798.0,2.66,1.83,0.24,0.43
2023-07-17,600053,13.37,13.19,13.37,13.05,12068,15867093.0,2.39,-1.42,-0.19,0.28
2023-07-18,600053,13.18,13.16,13.21,13.08,8857,11640014.0,0.99,-0.23,-0.03,0.2
2023-07-19,600053,13.13,13.25,13.34,13.13,6773,8968752.0,1.6,0.68,0.09,0.16
2023-07-20,600053,13.22,13.11,13.3,13.1,6878,9074873.0,1.51,-1.06,-0.14,0.16
2023-07-21,600053,13.11,13.18,13.24,13.11,8670,11422580.0,0.99,0.53,0.07,0.2
2023-07-24,600053,13.18,13.08,13.2,13.04,6430,8430818.0,1.21,-0.76,-0.1,0.15
2023-07-25,600053,13.28,13.64,13.9,13.24,45250,61506745.0,5.05,4.28,0.56,1.04
2023-07-26,600053,13.49,13.55,13.65,13.46,22260,30136099.0,1.39,-0.66,-0.09,0.51
2023-07-27,600053,13.55,13.41,13.7,13.39,19551,26530257.0,2.29,-1.03,-0.14,0.45
2023-07-28,600053,13.35,13.97,14.06,13.31,42958,59481940.0,5.59,4.18,0.56,0.99
2023-07-31,600053,14.22,14.12,14.32,14.0,43376,61461263.0,2.29,1.07,0.15,1.0
2023-08-01,600053,14.15,14.0,14.23,13.97,23055,32449530.0,1.84,-0.85,-0.12,0.53
2023-08-02,600053,13.95,14.08,14.16,13.93,17208,24191143.0,1.64,0.57,0.08,0.4
2023-08-03,600053,14.08,14.28,14.3,13.9,21591,30565974.0,2.84,1.42,0.2,0.5
2023-08-04,600053,14.5,14.53,14.86,14.38,58486,85558433.0,3.36,1.75,0.25,1.35
2023-08-07,600053,14.4,14.37,14.48,14.22,33571,48205144.0,1.79,-1.1,-0.16,0.77
2023-08-08,600053,14.3,14.26,14.44,14.12,26974,38490216.0,2.23,-0.77,-0.11,0.62
2023-08-09,600053,14.21,14.17,14.36,14.05,18403,26114824.0,2.17,-0.63,-0.09,0.42
2023-08-10,600053,14.6,14.39,14.6,14.15,20168,28884779.0,3.18,1.55,0.22,0.47
2023-08-11,600053,14.36,14.0,14.39,13.94,22279,31410566.0,3.13,-2.71,-0.39,0.51
2023-08-14,600053,13.94,13.79,14.02,13.72,12952,17877356.0,2.14,-1.5,-0.21,0.3
2023-08-15,600053,13.75,13.78,13.97,13.65,11763,16229040.0,2.32,-0.07,-0.01,0.27
2023-08-16,600053,13.79,13.87,14.16,13.66,13739,19162771.0,3.63,0.65,0.09,0.32
2023-08-17,600053,13.8,13.93,14.09,13.69,12087,16724090.0,2.88,0.43,0.06,0.28
2023-08-18,600053,13.93,13.65,14.1,13.64,9318,12892582.0,3.3,-2.01,-0.28,0.21
2023-08-21,600053,13.52,13.39,13.8,13.37,18913,25586816.0,3.15,-1.9,-0.26,0.44
2023-08-22,600053,13.38,13.3,13.49,13.03,19423,25720792.0,3.44,-0.67,-0.09,0.45
2023-08-23,600053,13.33,13.22,13.44,13.07,14294,18968109.0,2.78,-0.6,-0.08,0.33
2023-08-24,600053,13.17,13.17,13.4,13.11,16718,22124455.0,2.19,-0.38,-0.05,0.39
2023-08-25,600053,13.11,13.27,13.6,13.0,26740,35713947.0,4.56,0.76,0.1,0.62
2023-08-28,600053,13.81,13.79,14.41,13.6,61557,86661324.0,6.1,3.92,0.52,1.42
2023-08-29,600053,13.82,14.05,14.27,13.73,46238,64819949.0,3.92,1.89,0.26,1.07
2023-08-30,600053,14.1,14.04,14.17,13.89,26311,36923052.0,1.99,-0.07,-0.01,0.61
2023-08-31,600053,13.9,13.63,14.08,13.62,23929,33043003.0,3.28,-2.92,-0.41,0.55
2023-09-01,600053,13.67,13.49,13.72,13.26,21646,29135224.0,3.37,-1.03,-0.14,0.5
2023-09-04,600053,13.57,13.27,13.59,13.02,24990,32988314.0,4.23,-1.63,-0.22,0.58
2023-09-05,600053,13.25,13.07,13.26,13.02,16700,21870803.0,1.81,-1.51,-0.2,0.39
2023-09-06,600053,13.01,13.02,13.09,12.93,11499,14966011.0,1.22,-0.38,-0.05,0.27
2023-09-07,600053,13.03,13.02,13.32,12.97,24528,32251963.0,2.69,0.0,0.0,0.57
2023-09-08,600053,12.91,13.16,13.29,12.83,16541,21669243.0,3.53,1.08,0.14,0.38
2023-09-11,600053,13.07,13.44,13.54,13.07,20663,27634811.0,3.57,2.13,0.28,0.48
2023-09-12,600053,13.4,13.23,13.43,13.17,14299,18919575.0,1.93,-1.56,-0.21,0.33
2023-09-13,600053,13.24,13.17,13.28,13.07,11073,14587169.0,1.59,-0.45,-0.06,0.26
2023-09-14,600053,13.16,13.16,13.25,13.03,10508,13791448.0,1.67,-0.08,-0.01,0.24
2023-09-15,600053,13.15,13.36,13.36,13.13,14659,19468833.0,1.75,1.52,0.2,0.34
2023-09-18,600053,13.27,13.23,13.27,13.03,11499,15139513.0,1.8,-0.97,-0.13,0.27
2023-09-19,600053,13.2,13.27,13.3,13.17,12542,16611923.0,0.98,0.3,0.04,0.29
2023-09-20,600053,13.27,13.19,13.3,13.13,11816,15585514.0,1.28,-0.6,-0.08,0.27
2023-09-21,600053,13.19,13.09,13.22,13.09,7439,9774403.0,0.99,-0.76,-0.1,0.17
2023-09-22,600053,13.1,13.45,13.47,13.07,17327,23076219.0,3.06,2.75,0.36,0.4
2023-09-25,600053,13.6,13.19,13.6,13.13,14476,19145329.0,3.49,-1.93,-0.26,0.33
2023-09-26,600053,13.18,12.97,13.43,12.93,17756,23299747.0,3.79,-1.67,-0.22,0.41
2023-09-27,600053,13.05,13.16,13.38,13.02,13796,18196977.0,2.78,1.46,0.19,0.32
2023-09-28,600053,13.13,13.25,13.34,13.08,15841,20993998.0,1.98,0.68,0.09,0.37
2023-10-09,600053,13.26,12.93,13.26,12.84,21810,28266091.0,3.17,-2.42,-0.32,0.5
2023-10-10,600053,12.93,12.88,13.05,12.8,10226,13230195.0,1.93,-0.39,-0.05,0.24
2023-10-11,600053,12.88,12.9,13.04,12.81,9150,11820269.0,1.79,0.16,0.02,0.21
2023-10-12,600053,12.92,13.03,13.14,12.92,12370,16141280.0,1.71,1.01,0.13,0.29
2023-10-13,600053,12.97,12.98,13.16,12.79,11403,14861735.0,2.84,-0.38,-0.05,0.26
2023-10-16,600053,12.92,12.94,13.06,12.83,14089,18204793.0,1.77,-0.31,-0.04,0.32
2023-10-17,600053,13.04,13.22,13.25,12.86,18423,24174691.0,3.01,2.16,0.28,0.42
2023-10-18,600053,13.22,12.88,13.22,12.84,14548,18902312.0,2.87,-2.57,-0.34,0.34
2023-10-19,600053,12.87,12.82,13.05,12.64,16989,21923108.0,3.18,-0.47,-0.06,0.39
2023-10-20,600053,12.67,12.82,12.98,12.67,9932,12776039.0,2.42,0.0,0.0,0.23
2023-10-23,600053,12.78,12.46,12.78,12.29,15215,19097358.0,3.82,-2.81,-0.36,0.35
2023-10-24,600053,12.46,12.93,12.95,12.42,13440,17141065.0,4.25,3.77,0.47,0.31
2023-10-25,600053,12.88,13.14,13.2,12.81,16912,22195605.0,3.02,1.62,0.21,0.39
2023-10-26,600053,13.21,13.02,13.21,12.91,9952,12943668.0,2.28,-0.91,-0.12,0.23
2023-10-27,600053,13.01,13.0,13.06,12.84,12151,15728433.0,1.69,-0.15,-0.02,0.28
2023-10-30,600053,13.01,12.06,13.01,11.74,70152,83738295.0,9.77,-7.23,-0.94,1.62
2023-10-31,600053,11.9,12.12,12.14,11.82,29645,35543476.0,2.65,0.5,0.06,0.68
2023-11-01,600053,12.21,12.14,12.38,12.1,21387,26084183.0,2.31,0.17,0.02,0.49
2023-11-02,600053,12.1,12.33,12.4,12.09,25888,31781073.0,2.55,1.57,0.19,0.6
2023-11-03,600053,12.25,12.46,12.57,12.25,18738,23359694.0,2.6,1.05,0.13,0.43
2023-11-06,600053,12.61,12.96,13.04,12.51,30237,38678049.0,4.25,4.01,0.5,0.7
2023-11-07,600053,12.94,13.16,13.19,12.92,24501,32076658.0,2.08,1.54,0.2,0.57
2023-11-08,600053,13.13,13.02,13.26,12.98,18344,24039243.0,2.13,-1.06,-0.14,0.42
2023-11-09,600053,12.97,12.78,13.08,12.76,17456,22449003.0,2.46,-1.84,-0.24,0.4
2023-11-10,600053,12.78,12.64,12.86,12.63,12440,15778503.0,1.8,-1.1,-0.14,0.29
2023-11-13,600053,12.71,12.68,12.76,12.58,11754,14880837.0,1.42,0.32,0.04,0.27
2023-11-14,600053,12.73,12.95,13.01,12.69,14779,19037401.0,2.52,2.13,0.27,0.34
2023-11-15,600053,12.97,13.02,13.23,12.97,15042,19723336.0,2.01,0.54,0.07,0.35
2023-11-16,600053,13.15,12.89,13.15,12.87,10261,13298613.0,2.15,-1.0,-0.13,0.24
2023-11-17,600053,12.89,13.02,13.04,12.83,10506,13607250.0,1.63,1.01,0.13,0.24
2023-11-20,600053,13.05,13.01,13.09,12.9,9921,12869029.0,1.46,-0.08,-0.01,0.23
2023-11-21,600053,12.92,14.31,14.31,12.92,57623,81022230.0,10.68,9.99,1.3,1.33
2023-11-22,600053,15.73,15.74,15.74,15.66,58411,91922372.0,0.56,9.99,1.43,1.35
2023-11-23,600053,17.31,17.31,17.31,15.91,332827,564649849.0,8.89,9.97,1.57,7.68
2023-11-24,600053,17.27,19.04,19.04,16.73,364075,674635425.0,13.34,9.99,1.73,8.4
2023-11-27,600053,19.61,18.18,20.9,17.14,469017,892249056.0,19.75,-4.52,-0.86,10.82
2023-11-28,600053,16.36,16.36,18.0,16.36,357727,592038202.0,9.02,-10.01,-1.82,8.25
2023-11-29,600053,15.82,15.28,16.59,15.15,259678,407080622.0,8.8,-6.6,-1.08,5.99
2023-11-30,600053,15.1,14.96,15.45,14.74,174474,261508656.0,4.65,-2.09,-0.32,4.02
2023-12-01,600053,14.96,15.31,15.34,14.84,164244,248550838.0,3.34,2.34,0.35,3.79
2023-12-04,600053,15.15,15.4,15.6,15.13,148898,228491776.0,3.07,0.59,0.09,3.43
2023-12-05,600053,15.43,16.72,16.94,15.21,351326,571915666.0,11.23,8.57,1.32,8.1
