日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,001234,21.29,21.46,21.72,21.26,5281,11348526.8,2.15,0.28,0.06,1.82
2023-06-14,001234,21.36,21.57,21.75,21.36,4827,10397508.3,1.82,0.51,0.11,1.66
2023-06-15,001234,21.57,21.38,21.6,21.25,4761,10169993.09,1.62,-0.88,-0.19,1.64
2023-06-16,001234,21.4,21.53,21.66,21.24,5288,11385616.71,1.96,0.7,0.15,1.82
2023-06-19,001234,21.48,21.15,21.48,20.94,9798,20682373.5,2.51,-1.76,-0.38,3.37
2023-06-20,001234,21.15,20.9,21.44,20.82,6668,13950872.74,2.93,-1.18,-0.25,2.29
2023-06-21,001234,20.81,21.25,21.48,20.71,10347,21898610.68,3.68,1.67,0.35,3.56
2023-06-26,001234,20.69,21.6,21.77,20.1,31534,66840887.4,7.86,1.65,0.35,10.85
2023-06-27,001234,21.59,21.76,21.81,21.45,19187,41592985.47,1.67,0.74,0.16,6.6
2023-06-28,001234,21.7,22.29,22.52,21.6,24194,53269672.47,4.23,2.44,0.53,8.32
2023-06-29,001234,22.17,22.66,22.77,22.01,19565,44087410.88,3.41,1.66,0.37,6.73
2023-06-30,001234,22.63,22.8,23.12,22.41,16717,38306515.0,3.13,0.62,0.14,5.75
2023-07-03,001234,22.9,24.83,24.98,22.7,66291,159548850.2,10.0,8.9,2.03,22.81
2023-07-04,001234,24.6,25.08,25.18,24.5,35809,89367262.77,2.74,1.01,0.25,12.32
2023-07-05,001234,25.08,24.97,25.38,24.89,23557,59089242.1,1.95,-0.44,-0.11,8.1
2023-07-06,001234,24.86,25.07,25.25,24.58,23841,59531936.72,2.68,0.4,0.1,8.2
2023-07-07,001234,25.01,25.69,25.9,24.86,30111,76702079.84,4.15,2.47,0.62,10.36
2023-07-10,001234,25.9,25.9,26.0,25.1,31540,81133196.44,3.5,0.82,0.21,10.85
2023-07-11,001234,25.78,26.6,26.6,25.78,26584,69581424.42,3.17,2.7,0.7,9.15
2023-07-12,001234,26.6,27.22,27.35,26.55,38422,103871286.8,3.01,2.33,0.62,13.22
2023-07-13,001234,27.2,27.6,27.6,27.05,34608,94483764.53,2.02,1.4,0.38,11.91
2023-07-14,001234,27.66,27.66,28.31,27.22,35324,97342342.84,3.95,0.22,0.06,12.15
2023-07-17,001234,27.5,26.7,27.9,26.69,38183,103064664.4,4.37,-3.47,-0.96,13.14
2023-07-18,001234,26.68,26.34,26.68,26.1,29789,78330848.07,2.17,-1.35,-0.36,10.25
2023-07-19,001234,26.55,27.1,28.08,26.36,95425,257045696.24,6.53,2.89,0.76,32.83
2023-07-20,001234,26.99,26.21,26.99,25.87,45899,121064550.31,4.13,-3.28,-0.89,15.79
2023-07-21,001234,26.21,26.24,26.67,26.13,30106,79049422.28,2.06,0.11,0.03,10.36
2023-07-24,001234,25.8,25.83,26.14,25.15,28195,72197365.61,3.77,-1.56,-0.41,9.7
2023-07-25,001234,26.33,25.97,26.33,25.72,17620,45762456.52,2.36,0.54,0.14,6.06
2023-07-26,001234,26.06,27.0,27.52,26.02,26016,70065875.4,5.78,3.97,1.03,8.95
2023-07-27,001234,27.36,28.95,29.19,26.75,44321,126284039.65,9.04,7.22,1.95,15.25
2023-07-28,001234,28.61,30.09,30.17,28.58,42000,124514166.64,5.49,3.94,1.14,14.45
2023-07-31,001234,30.15,33.1,33.1,30.15,59081,187367182.66,9.8,10.0,3.01,20.33
2023-08-01,001234,33.75,35.8,36.39,32.86,68500,239603649.01,10.66,8.16,2.7,23.57
