日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,605188,8.6,8.98,9.3,8.58,275176,244709593.0,8.01,-0.11,-0.01,45.57
2023-06-14,605188,8.94,9.88,9.88,8.72,248909,235240533.0,12.92,10.02,0.9,41.22
2023-06-15,605188,10.1,10.24,10.87,9.62,437890,446679421.0,12.65,3.64,0.36,72.52
2023-06-16,605188,9.6,9.45,9.9,9.21,258781,247113979.0,6.74,-7.71,-0.79,42.86
2023-06-19,605188,9.45,9.08,9.55,8.96,204889,187187628.0,6.24,-3.92,-0.37,33.93
2023-06-20,605188,9.0,9.29,9.36,8.75,215082,194899556.0,6.72,2.31,0.21,35.62
2023-06-21,605188,9.11,8.9,9.37,8.9,147599,135114394.0,5.06,-4.2,-0.39,24.45
2023-06-26,605188,8.8,8.43,8.82,8.33,130691,111214141.0,5.51,-5.28,-0.47,21.64
2023-06-27,605188,8.51,8.73,8.8,8.51,116001,100696753.0,3.44,3.56,0.3,19.21
2023-06-28,605188,8.75,8.65,8.82,8.48,76628,66064750.0,3.89,-0.92,-0.08,12.69
2023-06-29,605188,8.76,8.59,8.76,8.55,62545,53942553.0,2.43,-0.69,-0.06,10.36
2023-06-30,605188,8.64,8.62,8.79,8.58,70111,60756543.0,2.44,0.35,0.03,11.61
2023-07-03,605188,8.62,9.0,9.0,8.55,153130,134879770.0,5.22,4.41,0.38,25.36
2023-07-04,605188,8.9,8.92,8.99,8.81,112567,99875049.0,2.0,-0.89,-0.08,18.64
2023-07-05,605188,8.85,8.66,8.87,8.65,80021,69818458.0,2.47,-2.91,-0.26,13.25
2023-07-06,605188,8.62,8.66,8.76,8.57,58681,50732669.0,2.19,0.0,0.0,9.72
2023-07-07,605188,8.62,8.94,9.2,8.57,149032,133212161.0,7.27,3.23,0.28,24.68
2023-07-10,605188,8.93,9.55,9.59,8.82,257283,239205969.0,8.61,6.82,0.61,42.61
2023-07-11,605188,9.36,9.3,9.37,9.1,146455,135329230.0,2.83,-2.62,-0.25,24.26
2023-07-12,605188,9.3,9.42,9.73,9.12,156156,146097554.0,6.56,1.29,0.12,25.86
2023-07-13,605188,9.36,9.26,9.51,9.13,101786,94038374.0,4.03,-1.7,-0.16,16.86
2023-07-14,605188,9.13,8.67,9.17,8.66,135992,119502381.0,5.51,-6.37,-0.59,22.52
2023-07-17,605188,8.66,8.8,8.81,8.36,90346,78361584.0,5.19,1.5,0.13,14.96
2023-07-18,605188,8.8,9.02,9.09,8.62,114068,101647420.0,5.34,2.5,0.22,18.89
2023-07-19,605188,8.82,9.31,9.5,8.82,205672,192067276.0,7.54,3.22,0.29,34.06
2023-07-20,605188,9.29,10.24,10.24,9.29,243699,246026072.0,10.2,9.99,0.93,40.36
2023-07-21,605188,11.26,11.26,11.26,11.26,43351,48813226.0,0.0,9.96,1.02,7.18
2023-07-24,605188,10.13,10.13,11.23,10.13,409433,427995638.0,9.77,-10.04,-1.13,67.81
2023-07-25,605188,9.79,11.14,11.14,9.79,411111,445736991.0,13.33,9.97,1.01,68.09
2023-07-26,605188,10.1,12.25,12.25,10.03,465247,507179071.0,19.93,9.96,1.11,77.05
2023-07-27,605188,11.4,11.58,13.15,11.29,473426,563279786.0,15.18,-5.47,-0.67,78.41
2023-07-28,605188,11.45,11.24,12.06,10.87,376292,436180716.0,10.28,-2.94,-0.34,7.59
2023-07-31,605188,11.08,12.36,12.36,10.62,397349,460914853.0,15.48,9.96,1.12,8.02
2023-08-01,605188,12.0,11.67,12.86,11.45,369605,446656520.0,11.41,-5.58,-0.69,7.46
2023-08-02,605188,11.6,12.14,12.66,11.35,342601,413290334.0,11.23,4.03,0.47,6.91
2023-08-03,605188,11.78,12.18,12.36,11.31,310326,368924508.0,8.65,0.33,0.04,6.26
2023-08-04,605188,12.0,11.62,12.3,11.61,239103,284565407.0,5.67,-4.6,-0.56,4.82
2023-08-07,605188,11.22,10.95,11.33,10.93,214417,237722737.0,3.44,-5.77,-0.67,4.33
2023-08-08,605188,11.0,10.55,11.05,10.46,168214,179718291.0,5.39,-3.65,-0.4,3.39
2023-08-09,605188,10.64,10.34,10.66,10.31,107469,112220532.0,3.32,-1.99,-0.21,2.17
2023-08-10,605188,10.31,10.28,10.43,10.19,107698,111062590.0,2.32,-0.58,-0.06,2.17
2023-08-11,605188,10.25,9.96,10.29,9.9,94093,94773087.0,3.79,-3.11,-0.32,1.9
2023-08-14,605188,9.78,10.03,10.17,9.72,103680,104024660.0,4.52,0.7,0.07,2.09
2023-08-15,605188,10.05,10.29,10.59,9.98,160964,165564994.0,6.08,2.59,0.26,3.25
2023-08-16,605188,10.1,9.91,10.18,9.85,114520,114025342.0,3.21,-3.69,-0.38,2.31
2023-08-17,605188,9.95,10.17,10.18,9.9,112271,113055353.0,2.83,2.62,0.26,2.27
2023-08-18,605188,10.05,9.74,10.15,9.72,85133,84167350.0,4.23,-4.23,-0.43,1.72
2023-08-21,605188,9.85,9.73,9.92,9.72,51091,50192249.0,2.05,-0.1,-0.01,1.03
2023-08-22,605188,9.72,9.75,9.8,9.5,82038,79194306.0,3.08,0.21,0.02,1.66
2023-08-23,605188,9.66,9.38,9.75,9.35,61487,58288255.0,4.1,-3.79,-0.37,1.24
2023-08-24,605188,9.44,9.4,9.51,9.3,46288,43542699.0,2.24,0.21,0.02,0.93
2023-08-25,605188,9.46,9.13,9.46,9.07,53487,49072888.0,4.15,-2.87,-0.27,1.08
2023-08-28,605188,9.5,9.36,9.66,9.3,81377,77209118.0,3.94,2.52,0.23,1.64
2023-08-29,605188,9.41,9.62,9.65,9.28,61309,58368552.0,3.95,2.78,0.26,1.24
2023-08-30,605188,9.7,9.5,9.75,9.39,56712,53990761.0,3.74,-1.25,-0.12,1.14
2023-08-31,605188,9.49,9.33,9.5,9.3,38923,36462672.0,2.11,-1.79,-0.17,0.79
2023-09-01,605188,9.44,10.26,10.26,9.44,76943,77721365.0,8.79,9.97,0.93,1.55
2023-09-04,605188,10.5,10.11,10.5,10.05,214694,218705892.0,4.39,-1.46,-0.15,4.33
2023-09-05,605188,10.02,10.29,10.29,9.86,183721,186025582.0,4.25,1.78,0.18,3.71
2023-09-06,605188,10.09,9.86,10.25,9.81,136668,136385185.0,4.28,-4.18,-0.43,2.76
2023-09-07,605188,9.83,10.22,10.48,9.62,228875,230644669.0,8.72,3.65,0.36,4.62
2023-09-08,605188,9.89,9.26,9.9,9.2,189096,179121066.0,6.85,-9.39,-0.96,3.82
2023-09-11,605188,9.09,9.25,9.26,8.77,113176,102253817.0,5.29,-0.11,-0.01,2.28
2023-09-12,605188,9.16,9.05,9.24,9.05,67488,61460927.0,2.05,-2.16,-0.2,1.36
2023-09-13,605188,9.05,8.92,9.15,8.85,74141,66700695.0,3.31,-1.44,-0.13,1.5
2023-09-14,605188,8.86,8.66,8.9,8.66,73635,64392695.0,2.69,-2.91,-0.26,1.49
2023-09-15,605188,8.66,8.7,8.83,8.66,44370,38747199.0,1.96,0.46,0.04,0.9
2023-09-18,605188,8.69,9.1,9.17,8.62,103997,93535877.0,6.32,4.6,0.4,2.1
2023-09-19,605188,9.0,8.91,9.18,8.9,60702,54712071.0,3.08,-2.09,-0.19,1.22
2023-09-20,605188,8.73,8.85,9.07,8.73,49378,44073882.0,3.82,-0.67,-0.06,1.0
2023-09-21,605188,8.79,8.78,8.92,8.74,45929,40472603.0,2.03,-0.79,-0.07,0.93
2023-09-22,605188,8.72,8.9,8.91,8.71,46034,40704698.0,2.28,1.37,0.12,0.93
2023-09-25,605188,8.95,8.95,9.15,8.85,57751,51784561.0,3.37,0.56,0.05,1.17
2023-09-26,605188,8.85,9.03,9.15,8.85,63096,57080724.0,3.35,0.89,0.08,1.27
2023-09-27,605188,8.93,9.01,9.19,8.87,59712,54139028.0,3.54,-0.22,-0.02,1.2
2023-09-28,605188,9.12,9.0,9.17,8.97,46612,42176249.0,2.22,-0.11,-0.01,0.94
2023-10-09,605188,9.0,8.64,9.05,8.59,53113,46168419.0,5.11,-4.0,-0.36,1.07
2023-10-10,605188,8.64,8.61,8.84,8.6,40515,35238788.0,2.78,-0.35,-0.03,0.82
2023-10-11,605188,8.59,8.53,8.67,8.51,40773,35011382.0,1.86,-0.93,-0.08,0.82
2023-10-12,605188,8.53,8.54,8.65,8.51,29168,24929049.0,1.64,0.12,0.01,0.59
2023-10-13,605188,8.5,8.36,8.56,8.33,39775,33414831.0,2.69,-2.11,-0.18,0.8
2023-10-16,605188,8.39,8.29,8.4,8.25,34323,28529374.0,1.79,-0.84,-0.07,0.69
2023-10-17,605188,8.28,8.46,8.48,8.25,41192,34460484.0,2.77,2.05,0.17,0.83
2023-10-18,605188,8.5,8.74,8.83,8.35,77346,66763668.0,5.67,3.31,0.28,1.56
2023-10-19,605188,8.74,9.19,9.25,8.57,171337,154581603.0,7.78,5.15,0.45,3.46
2023-10-20,605188,9.25,9.14,9.28,8.95,118617,108425409.0,3.59,-0.54,-0.05,2.39
2023-10-23,605188,9.08,9.11,9.24,9.04,70607,64550675.0,2.19,-0.33,-0.03,1.42
2023-10-24,605188,9.17,9.28,9.35,9.01,73733,67892585.0,3.73,1.87,0.17,1.49
2023-10-25,605188,9.28,9.42,9.6,9.22,77964,73692980.0,4.09,1.51,0.14,1.57
2023-10-26,605188,9.42,9.44,9.48,9.27,63697,59687293.0,2.23,0.21,0.02,1.29
2023-10-27,605188,9.48,9.34,9.48,9.32,42947,40260173.0,1.69,-1.06,-0.1,0.87
2023-10-30,605188,9.22,9.45,9.57,9.22,54650,51699210.0,3.75,1.18,0.11,1.1
2023-10-31,605188,9.45,9.5,9.69,9.42,51798,49386059.0,2.86,0.53,0.05,1.05
2023-11-01,605188,9.56,9.79,9.81,9.45,58270,56423871.0,3.79,3.05,0.29,1.18
2023-11-02,605188,9.72,9.7,9.8,9.66,49468,48086375.0,1.43,-0.92,-0.09,1.0
2023-11-03,605188,9.72,9.83,9.89,9.65,48257,47216130.0,2.47,1.34,0.13,0.97
2023-11-06,605188,9.87,9.99,10.02,9.76,58978,58213596.0,2.64,1.63,0.16,1.19
2023-11-07,605188,10.06,10.41,10.57,10.0,89863,92678719.0,5.71,4.2,0.42,1.81
2023-11-08,605188,10.4,10.39,10.55,10.2,80261,83601478.0,3.36,-0.19,-0.02,1.62
2023-11-09,605188,10.36,10.24,10.38,10.07,57586,58810058.0,2.98,-1.44,-0.15,1.16
2023-11-10,605188,10.2,10.53,10.58,10.16,67450,70505094.0,4.1,2.83,0.29,1.36
2023-11-13,605188,10.56,10.75,10.81,10.55,51105,54722282.0,2.47,2.09,0.22,1.03
2023-11-14,605188,10.78,10.79,10.89,10.67,53793,57794325.0,2.05,0.37,0.04,1.09
2023-11-15,605188,10.8,10.83,10.95,10.69,49783,53890237.0,2.41,0.37,0.04,1.0
2023-11-16,605188,10.84,10.97,11.03,10.83,49178,53978751.0,1.85,1.29,0.14,0.99
2023-11-17,605188,10.98,10.97,11.01,10.8,53121,58062760.0,1.91,0.0,0.0,1.07
2023-11-20,605188,10.96,10.6,11.05,10.51,82032,87914554.0,4.92,-3.37,-0.37,1.66
2023-11-21,605188,10.52,11.32,11.34,10.4,144889,159885474.0,8.87,6.79,0.72,2.92
2023-11-22,605188,11.22,11.92,12.35,11.17,134158,157457652.0,10.42,5.3,0.6,2.71
2023-11-23,605188,11.83,12.13,12.17,11.67,88219,105643790.0,4.19,1.76,0.21,1.78
2023-11-24,605188,12.13,12.07,12.3,11.95,72328,87376911.0,2.89,-0.49,-0.06,1.46
2023-11-27,605188,12.02,11.65,12.02,11.55,69786,81574001.0,3.89,-3.48,-0.42,1.41
2023-11-28,605188,11.59,11.63,11.75,11.2,93481,107317120.0,4.72,-0.17,-0.02,1.89
2023-11-29,605188,11.6,11.74,12.03,11.6,84137,99508985.0,3.7,0.95,0.11,1.7
2023-11-30,605188,11.7,11.6,11.82,11.51,53710,62448811.0,2.64,-1.19,-0.14,1.08
2023-12-01,605188,11.6,11.58,11.67,11.48,37965,43948953.0,1.64,-0.17,-0.02,0.77
2023-12-04,605188,11.54,11.47,11.62,11.4,42062,48395064.0,1.9,-0.95,-0.11,0.85
2023-12-05,605188,11.47,11.35,11.6,11.34,30769,35149093.0,2.27,-1.05,-0.12,0.62
2023-12-06,605188,11.28,10.22,11.42,10.22,110181,118289284.0,10.57,-9.96,-1.13,2.22
2023-12-07,605188,10.0,9.2,10.21,9.2,215738,202412650.0,9.88,-9.98,-1.02,4.35
2023-12-08,605188,8.88,8.77,9.17,8.7,152541,135873267.0,5.11,-4.67,-0.43,3.08
2023-12-11,605188,8.79,8.85,8.96,8.75,113436,100364288.0,2.39,0.91,0.08,2.29
2023-12-12,605188,8.8,8.95,9.01,8.77,79027,70440604.0,2.71,1.13,0.1,1.59
2023-12-13,605188,8.95,8.94,9.17,8.92,84945,76834746.0,2.79,-0.11,-0.01,1.71
2023-12-14,605188,8.94,8.92,9.07,8.89,49824,44596275.0,2.01,-0.22,-0.02,1.01
2023-12-15,605188,8.92,9.01,9.05,8.88,51590,46310333.0,1.91,1.01,0.09,1.04
2023-12-18,605188,9.01,8.9,9.01,8.83,40103,35723419.0,2.0,-1.22,-0.11,0.81
2023-12-19,605188,8.84,8.87,8.94,8.78,31452,27816626.0,1.8,-0.34,-0.03,0.63
2023-12-20,605188,8.82,8.66,8.87,8.65,34321,29966338.0,2.48,-2.37,-0.21,0.69
2023-12-21,605188,8.63,8.68,8.73,8.49,37657,32471249.0,2.77,0.23,0.02,0.76
2023-12-22,605188,8.67,8.5,8.74,8.49,31674,27169650.0,2.88,-2.07,-0.18,0.64
2023-12-25,605188,8.54,8.33,8.54,8.26,42744,35725232.0,3.29,-2.0,-0.17,0.86
2023-12-26,605188,8.36,8.22,8.45,8.2,23044,19092915.0,3.0,-1.32,-0.11,0.46
2023-12-27,605188,8.22,8.37,8.4,8.17,32570,26983805.0,2.8,1.82,0.15,0.66
2023-12-28,605188,8.32,8.45,8.52,8.22,33226,27956569.0,3.58,0.96,0.08,0.67
2023-12-29,605188,8.46,8.51,8.6,8.33,60164,50642870.0,3.2,0.71,0.06,1.21
2024-01-02,605188,8.5,9.36,9.36,8.42,116889,106633527.0,11.05,9.99,0.85,2.36
2024-01-03,605188,9.33,9.03,9.42,8.97,207647,189696523.0,4.81,-3.53,-0.33,4.19
2024-01-04,605188,9.04,9.04,9.08,8.9,84798,76460347.0,1.99,0.11,0.01,1.71
2024-01-05,605188,9.08,8.81,9.18,8.78,68099,60901696.0,4.42,-2.54,-0.23,1.37
2024-01-08,605188,8.79,8.77,9.05,8.63,83621,74064925.0,4.77,-0.45,-0.04,1.69
2024-01-09,605188,8.88,8.91,9.05,8.78,103723,92163274.0,3.08,1.6,0.14,2.09
2024-01-10,605188,8.96,9.35,9.35,8.79,235242,214809451.0,6.29,4.94,0.44,4.75
2024-01-11,605188,9.16,9.21,9.3,9.01,159497,145884244.0,3.1,-1.5,-0.14,3.22
2024-01-12,605188,9.38,8.94,9.66,8.9,228634,212687421.0,8.25,-2.93,-0.27,4.61
2024-01-15,605188,8.76,9.83,9.83,8.61,257524,246611393.0,13.65,9.96,0.89,5.2
2024-01-16,605188,9.96,9.7,10.55,9.61,357983,359378405.0,9.56,-1.32,-0.13,7.22
2024-01-17,605188,9.76,9.24,9.92,9.17,199612,189174254.0,7.73,-4.74,-0.46,4.03
2024-01-18,605188,9.16,9.0,9.23,8.58,161013,142164438.0,7.03,-2.6,-0.24,3.25
2024-01-19,605188,9.04,8.65,9.06,8.63,123794,108788671.0,4.78,-3.89,-0.35,2.5
2024-01-22,605188,8.54,7.79,8.63,7.79,127690,103635693.0,9.71,-9.94,-0.86,2.58
