日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,688291,30.54,30.62,31.14,30.45,11705,36030248.0,2.22,-1.32,-0.41,4.79
2023-06-14,688291,30.62,30.12,30.62,29.89,11086,33456269.0,2.38,-1.63,-0.5,4.53
2023-06-15,688291,30.29,31.0,32.3,30.05,22951,71897300.0,7.47,2.92,0.88,9.39
2023-06-16,688291,31.2,30.76,31.2,30.47,13128,40277266.0,2.35,-0.77,-0.24,5.37
2023-06-19,688291,30.88,31.95,32.11,30.33,20873,65709863.0,5.79,3.87,1.19,8.54
2023-06-20,688291,32.02,32.27,32.45,31.3,20527,65484491.0,3.6,1.0,0.32,8.39
2023-06-21,688291,32.1,33.3,35.71,32.0,42870,146110170.0,11.5,3.19,1.03,17.53
2023-06-26,688291,33.15,30.28,34.12,30.18,40385,127590564.0,11.83,-9.07,-3.02,16.51
2023-06-27,688291,30.2,29.98,31.05,29.82,23614,71380739.0,4.06,-0.99,-0.3,9.66
2023-06-28,688291,30.15,29.35,30.15,28.07,21296,61780970.0,6.94,-2.1,-0.63,8.71
2023-06-29,688291,29.54,31.2,31.98,29.54,29619,91863193.0,8.31,6.3,1.85,12.11
2023-06-30,688291,31.2,31.66,31.87,30.72,16856,52828345.0,3.69,1.47,0.46,6.78
2023-07-03,688291,32.13,30.49,32.13,30.21,16185,49798677.0,6.06,-3.7,-1.17,6.51
2023-07-04,688291,30.36,30.72,31.17,30.27,11154,34306524.0,2.95,0.75,0.23,4.49
2023-07-05,688291,30.78,29.88,30.78,29.86,9543,28815120.0,2.99,-2.73,-0.84,3.84
2023-07-06,688291,30.07,30.66,30.98,29.6,12689,38797039.0,4.62,2.61,0.78,5.1
2023-07-07,688291,30.32,29.66,30.66,29.48,12093,36124808.0,3.85,-3.26,-1.0,4.86
2023-07-10,688291,29.91,28.81,30.08,28.6,13581,39218366.0,4.99,-2.87,-0.85,5.46
2023-07-11,688291,28.96,29.21,29.47,28.67,9910,28909746.0,2.78,1.39,0.4,3.99
2023-07-12,688291,29.52,31.45,32.88,29.15,37060,115950004.0,12.77,7.67,2.24,14.91
2023-07-13,688291,31.5,32.96,33.3,30.71,34885,113285666.0,8.24,4.8,1.51,14.03
2023-07-14,688291,33.0,34.21,35.48,32.89,35313,121142440.0,7.86,3.79,1.25,14.2
2023-07-17,688291,36.6,41.05,41.05,36.6,45870,183047934.0,13.01,19.99,6.84,18.45
2023-07-18,688291,45.36,38.1,45.95,37.38,104532,421563446.0,20.88,-7.19,-2.95,42.04
2023-07-19,688291,37.08,37.41,39.1,36.8,71249,268090391.0,6.04,-1.81,-0.69,28.66
2023-07-20,688291,37.25,35.05,37.38,34.99,55271,198452618.0,6.39,-6.31,-2.36,22.23
2023-07-21,688291,35.07,33.6,36.63,33.55,40751,141384826.0,8.79,-4.14,-1.45,16.39
2023-07-24,688291,33.06,32.94,34.38,32.92,26460,88739128.0,4.35,-1.96,-0.66,10.64
2023-07-25,688291,33.5,32.67,33.5,32.54,27096,89217822.0,2.91,-0.82,-0.27,10.9
2023-07-26,688291,32.61,31.72,32.78,31.62,19365,61954644.0,3.55,-2.91,-0.95,7.79
2023-07-27,688291,31.69,31.29,31.84,31.11,15158,47655462.0,2.3,-1.36,-0.43,6.1
2023-07-28,688291,31.34,31.04,31.47,30.8,13730,42736301.0,2.14,-0.8,-0.25,5.52
2023-07-31,688291,31.14,31.35,31.74,30.91,16876,52857651.0,2.67,1.0,0.31,6.79
2023-08-01,688291,31.7,31.88,31.92,30.71,23703,74333661.0,3.86,1.69,0.53,9.53
