日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,300433,11.8,11.87,11.93,11.62,249909,294814253.0,2.63,0.59,0.07,0.5
2023-06-14,300433,11.88,11.75,11.9,11.7,144505,170122114.0,1.68,-1.01,-0.12,0.29
2023-06-15,300433,11.75,11.7,11.77,11.63,153634,179433696.0,1.19,-0.43,-0.05,0.31
2023-06-16,300433,11.75,11.87,11.87,11.66,200759,236767339.0,1.79,1.45,0.17,0.4
2023-06-19,300433,11.88,11.94,12.06,11.78,212306,253418312.0,2.36,0.59,0.07,0.43
2023-06-20,300433,11.92,11.94,12.16,11.9,225995,271202413.0,2.18,0.0,0.0,0.46
2023-06-21,300433,11.9,11.72,11.99,11.69,169627,199932430.0,2.51,-1.84,-0.22,0.34
2023-06-26,300433,11.68,11.51,11.76,11.49,164888,191150573.0,2.3,-1.79,-0.21,0.33
2023-06-27,300433,11.53,11.69,11.75,11.48,115282,134102881.0,2.35,1.56,0.18,0.23
2023-06-28,300433,11.79,11.54,11.79,11.38,136886,157587194.0,3.51,-1.28,-0.15,0.28
2023-06-29,300433,11.5,11.72,11.84,11.48,182392,212971599.0,3.12,1.56,0.18,0.37
2023-06-30,300433,11.7,11.76,11.83,11.65,174858,205413919.0,1.54,0.34,0.04,0.35
2023-07-03,300433,11.8,11.91,12.09,11.78,269371,322195424.0,2.64,1.28,0.15,0.54
2023-07-04,300433,11.85,12.25,12.45,11.82,360324,439908429.0,5.29,2.85,0.34,0.73
2023-07-05,300433,12.2,12.18,12.37,12.13,207660,253685456.0,1.96,-0.57,-0.07,0.42
2023-07-06,300433,12.19,12.24,12.4,12.13,168758,207023191.0,2.22,0.49,0.06,0.34
2023-07-07,300433,12.2,12.11,12.26,11.97,164288,198795657.0,2.37,-1.06,-0.13,0.33
2023-07-10,300433,12.12,12.03,12.19,11.98,153473,185310790.0,1.73,-0.66,-0.08,0.31
2023-07-11,300433,12.04,12.27,12.28,12.02,154705,188876396.0,2.16,2.0,0.24,0.31
2023-07-12,300433,12.25,12.09,12.36,12.05,137232,167258896.0,2.53,-1.47,-0.18,0.28
2023-07-13,300433,12.1,12.34,12.37,12.06,203738,250748773.0,2.56,2.07,0.25,0.41
2023-07-14,300433,12.39,12.32,12.42,12.26,127701,157387655.0,1.3,-0.16,-0.02,0.26
2023-07-17,300433,12.31,12.38,12.49,12.23,129476,159985773.0,2.11,0.49,0.06,0.26
2023-07-18,300433,12.43,12.36,12.52,12.31,149469,185374371.0,1.7,-0.16,-0.02,0.3
2023-07-19,300433,12.32,12.29,12.41,12.18,150895,185065020.0,1.86,-0.57,-0.07,0.3
2023-07-20,300433,12.33,12.07,12.38,12.04,159187,193663945.0,2.77,-1.79,-0.22,0.32
2023-07-21,300433,12.08,11.98,12.14,11.95,112015,134753561.0,1.57,-0.75,-0.09,0.23
2023-07-24,300433,12.01,12.02,12.19,11.99,96058,116015992.0,1.67,0.33,0.04,0.19
2023-07-25,300433,12.14,12.24,12.27,12.07,122378,149213074.0,1.66,1.83,0.22,0.25
2023-07-26,300433,12.2,12.07,12.23,12.03,131868,159525215.0,1.63,-1.39,-0.17,0.27
2023-07-27,300433,12.02,11.87,12.14,11.86,147608,176920428.0,2.32,-1.66,-0.2,0.3
2023-07-28,300433,11.83,12.15,12.18,11.81,169769,204376192.0,3.12,2.36,0.28,0.34
2023-07-31,300433,12.25,12.36,12.37,12.09,195427,240533843.0,2.3,1.73,0.21,0.39
2023-08-01,300433,12.35,12.33,12.46,12.28,179199,221621527.0,1.46,-0.24,-0.03,0.36
2023-08-02,300433,12.28,12.42,12.42,12.25,115844,143051114.0,1.38,0.73,0.09,0.23
2023-08-03,300433,12.35,12.47,12.48,12.34,136225,169178443.0,1.13,0.4,0.05,0.27
2023-08-04,300433,12.5,12.49,12.71,12.43,198204,248691865.0,2.25,0.16,0.02,0.4
2023-08-07,300433,12.42,12.47,12.54,12.4,112270,139924507.0,1.12,-0.16,-0.02,0.23
2023-08-08,300433,12.41,12.47,12.65,12.4,154600,193513856.0,2.0,0.0,0.0,0.31
2023-08-09,300433,12.47,12.26,12.51,12.23,117512,144975202.0,2.25,-1.68,-0.21,0.24
2023-08-10,300433,12.3,12.35,12.38,12.25,110707,136604165.0,1.06,0.73,0.09,0.22
2023-08-11,300433,12.39,12.05,12.39,12.05,97819,119264325.0,2.75,-2.43,-0.3,0.2
2023-08-14,300433,12.04,12.05,12.12,11.83,156555,187572181.0,2.41,0.0,0.0,0.32
2023-08-15,300433,12.08,11.85,12.15,11.76,159528,190382997.0,3.24,-1.66,-0.2,0.32
2023-08-16,300433,11.8,11.65,11.91,11.6,118434,139101742.0,2.62,-1.69,-0.2,0.24
2023-08-17,300433,11.61,11.6,11.64,11.42,176213,203128316.0,1.89,-0.43,-0.05,0.36
2023-08-18,300433,11.59,11.36,11.64,11.36,148212,169949625.0,2.41,-2.07,-0.24,0.3
2023-08-21,300433,11.78,11.55,12.39,11.55,629864,753810972.0,7.39,1.67,0.19,1.27
