日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,601869,34.8,35.21,35.77,34.5,31025,108853248.0,3.63,0.77,0.27,0.76
2023-06-14,601869,35.35,35.78,36.05,34.79,38015,135077942.0,3.58,1.62,0.57,0.94
2023-06-15,601869,36.05,36.7,37.97,36.05,90454,334790568.0,5.37,2.57,0.92,2.23
2023-06-16,601869,36.01,37.69,37.8,35.58,72574,268507831.0,6.05,2.7,0.99,1.79
2023-06-19,601869,38.33,38.5,38.83,37.54,94342,360458628.0,3.42,2.15,0.81,2.32
2023-06-20,601869,38.0,37.59,38.12,37.15,59967,225156525.0,2.52,-2.36,-0.91,1.48
2023-06-21,601869,37.31,36.8,37.5,36.76,39450,146188223.0,1.97,-2.1,-0.79,0.97
2023-06-26,601869,37.15,36.71,37.9,36.51,58748,218189980.0,3.78,-0.24,-0.09,1.45
2023-06-27,601869,37.24,36.37,37.24,35.72,43018,155753149.0,4.14,-0.93,-0.34,1.06
2023-06-28,601869,36.25,35.83,36.35,35.2,31273,111484295.0,3.16,-1.48,-0.54,0.77
2023-06-29,601869,35.62,35.97,36.18,35.5,23095,82972723.0,1.9,0.39,0.14,0.57
2023-06-30,601869,35.96,37.01,37.35,35.8,38443,141606692.0,4.31,2.89,1.04,0.95
2023-07-03,601869,37.0,36.84,37.31,36.52,31266,115300816.0,2.13,-0.46,-0.17,0.77
2023-07-04,601869,37.5,36.84,38.79,36.81,60026,225843140.0,5.37,0.0,0.0,1.48
2023-07-05,601869,36.99,36.06,37.22,35.84,38334,139848818.0,3.75,-2.12,-0.78,0.94
2023-07-06,601869,36.07,36.05,36.93,35.79,30685,111630346.0,3.16,-0.03,-0.01,0.76
2023-07-07,601869,35.9,35.5,35.94,35.15,26902,95616406.0,2.19,-1.53,-0.55,0.66
2023-07-10,601869,35.65,35.78,35.88,35.42,17154,61127000.0,1.3,0.79,0.28,0.42
2023-07-11,601869,36.52,36.55,37.5,36.32,40187,147538821.0,3.3,2.15,0.77,0.99
2023-07-12,601869,36.25,35.02,36.57,35.02,38660,138169041.0,4.24,-4.19,-1.53,0.95
2023-07-13,601869,35.05,35.24,35.35,34.85,18578,65297346.0,1.43,0.63,0.22,0.46
