日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-06-13,000011,9.63,9.62,9.77,9.54,26948,26040338.62,2.39,-0.1,-0.01,0.51
2023-06-14,000011,9.59,9.55,9.68,9.54,23440,22480433.11,1.46,-0.73,-0.07,0.45
2023-06-15,000011,9.6,9.62,9.64,9.55,22819,21892975.59,0.94,0.73,0.07,0.43
2023-06-16,000011,9.61,9.67,9.75,9.58,27726,26826922.08,1.77,0.52,0.05,0.53
2023-06-19,000011,9.64,9.45,9.73,9.45,44465,42271573.46,2.9,-2.28,-0.22,0.84
2023-06-20,000011,9.48,9.31,9.5,9.31,32334,30262670.0,2.01,-1.48,-0.14,0.61
2023-06-21,000011,9.32,9.21,9.39,9.21,29909,27747750.87,1.93,-1.07,-0.1,0.57
2023-06-26,000011,9.2,9.13,9.22,9.12,20862,19112132.7,1.09,-0.87,-0.08,0.4
2023-06-27,000011,9.14,9.36,9.39,9.14,24388,22699155.34,2.74,2.52,0.23,0.46
2023-06-28,000011,9.33,9.3,9.38,9.22,15561,14444439.4,1.71,-0.64,-0.06,0.3
2023-06-29,000011,9.25,9.19,9.31,9.18,18134,16710389.9,1.4,-1.18,-0.11,0.34
2023-06-30,000011,9.21,9.29,9.35,9.2,13582,12626141.04,1.63,1.09,0.1,0.26
2023-07-03,000011,9.34,9.4,9.46,9.28,17848,16745048.08,1.94,1.18,0.11,0.34
2023-07-04,000011,9.41,9.41,9.42,9.31,15967,14954347.86,1.17,0.11,0.01,0.3
2023-07-05,000011,9.42,9.43,9.46,9.37,13199,12434292.58,0.96,0.21,0.02,0.25
2023-07-06,000011,9.44,9.47,9.51,9.36,20704,19553118.0,1.59,0.42,0.04,0.39
2023-07-07,000011,9.47,9.55,9.56,9.44,32833,31264321.0,1.27,0.84,0.08,0.62
2023-07-10,000011,9.18,9.23,9.41,9.13,54269,50201385.78,2.93,-3.35,-0.32,1.03
2023-07-11,000011,9.35,9.23,9.35,9.17,24730,22817409.29,1.95,0.0,0.0,0.47
2023-07-12,000011,9.24,9.1,9.26,9.09,23557,21528947.1,1.84,-1.41,-0.13,0.45
2023-07-13,000011,9.13,9.15,9.2,9.1,17585,16079594.1,1.1,0.55,0.05,0.33
2023-07-14,000011,9.16,9.17,9.22,9.13,15267,13998420.52,0.98,0.22,0.02,0.29
