时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-09-29 09:30:00,27.43,27.43,27.43,27.43,4184,11476712.0,27.43
2025-09-29 09:31:00,27.42,27.35,27.42,27.35,18831,51562089.0,27.39
2025-09-29 09:32:00,27.35,27.37,27.39,27.32,10355,28316824.0,27.377
2025-09-29 09:33:00,27.38,27.34,27.38,27.33,8602,23530019.0,27.372
2025-09-29 09:34:00,27.35,27.3,27.35,27.3,12917,35295995.0,27.361
2025-09-29 09:35:00,27.31,27.3,27.32,27.3,8410,22966169.0,27.354
2025-09-29 09:36:00,27.3,27.3,27.32,27.29,8160,22279077.0,27.348
2025-09-29 09:37:00,27.3,27.28,27.3,27.27,8294,22632466.0,27.342
2025-09-29 09:38:00,27.27,27.29,27.3,27.27,8913,24316495.0,27.336
2025-09-29 09:39:00,27.29,27.28,27.3,27.28,4159,11348978.0,27.334
2025-09-29 09:40:00,27.29,27.31,27.31,27.28,3616,9871965.0,27.332
2025-09-29 09:41:00,27.31,27.33,27.34,27.3,3035,8292644.0,27.332
2025-09-29 09:42:00,27.34,27.33,27.34,27.33,3783,10339551.0,27.332
2025-09-29 09:43:00,27.34,27.33,27.34,27.33,2819,7705476.0,27.332
2025-09-29 09:44:00,27.33,27.33,27.35,27.32,3167,8657464.0,27.332
2025-09-29 09:45:00,27.32,27.35,27.37,27.32,4102,11216746.0,27.333
2025-09-29 09:46:00,27.35,27.38,27.38,27.35,2131,5833692.0,27.334
2025-09-29 09:47:00,27.38,27.34,27.39,27.34,3685,10085526.0,27.335
2025-09-29 09:48:00,27.36,27.35,27.36,27.34,2103,5750464.0,27.335
2025-09-29 09:49:00,27.35,27.31,27.35,27.29,9389,25637851.0,27.333
2025-09-29 09:50:00,27.3,27.3,27.3,27.28,11005,30028792.0,27.329
2025-09-29 09:51:00,27.3,27.31,27.33,27.3,2587,7067183.0,27.329
2025-09-29 09:52:00,27.31,27.32,27.33,27.31,3155,8621036.0,27.329
2025-09-29 09:53:00,27.32,27.35,27.37,27.32,2270,6207140.0,27.329
2025-09-29 09:54:00,27.36,27.32,27.36,27.32,1938,5297995.0,27.329
2025-09-29 09:55:00,27.32,27.33,27.33,27.31,2466,6737126.0,27.329
2025-09-29 09:56:00,27.34,27.32,27.34,27.31,2752,7520461.0,27.329
2025-09-29 09:57:00,27.33,27.31,27.33,27.31,2527,6903030.0,27.329
2025-09-29 09:58:00,27.32,27.3,27.32,27.3,4773,13032001.0,27.328
2025-09-29 09:59:00,27.3,27.29,27.3,27.29,4212,11497705.0,27.327
2025-09-29 10:00:00,27.3,27.29,27.3,27.29,7842,21401539.0,27.326
2025-09-29 10:01:00,27.29,27.3,27.3,27.28,2457,6704885.0,27.325
2025-09-29 10:02:00,27.3,27.29,27.3,27.28,3630,9904854.0,27.324
2025-09-29 10:03:00,27.29,27.27,27.29,27.27,30087,82068512.0,27.318
2025-09-29 10:04:00,27.28,27.28,27.28,27.27,3521,9603505.0,27.317
2025-09-29 10:05:00,27.28,27.28,27.28,27.27,2698,7359278.0,27.317
2025-09-29 10:06:00,27.28,27.28,27.28,27.27,3792,10342190.0,27.316
2025-09-29 10:07:00,27.28,27.27,27.29,27.26,9299,25359407.0,27.314
2025-09-29 10:08:00,27.27,27.27,27.27,27.26,7423,20236135.0,27.312
2025-09-29 10:09:00,27.27,27.27,27.27,27.26,5147,14031363.0,27.311
2025-09-29 10:10:00,27.27,27.26,27.27,27.25,5242,14288403.0,27.31
2025-09-29 10:11:00,27.26,27.25,27.26,27.24,13562,36954137.0,27.307
2025-09-29 10:12:00,27.25,27.25,27.25,27.24,5408,14732309.0,27.306
2025-09-29 10:13:00,27.25,27.23,27.25,27.23,5173,14090490.0,27.304
2025-09-29 10:14:00,27.24,27.24,27.24,27.23,3307,9006445.0,27.304
2025-09-29 10:15:00,27.24,27.25,27.25,27.24,2439,6644932.0,27.303
2025-09-29 10:16:00,27.25,27.24,27.26,27.24,4444,12108278.0,27.302
2025-09-29 10:17:00,27.24,27.22,27.24,27.22,8232,22413483.0,27.3
2025-09-29 10:18:00,27.22,27.23,27.23,27.22,5108,13904785.0,27.299
2025-09-29 10:19:00,27.23,27.22,27.23,27.21,4775,12996229.0,27.297
2025-09-29 10:20:00,27.23,27.22,27.23,27.21,2255,6137592.0,27.297
2025-09-29 10:21:00,27.21,27.23,27.23,27.21,3259,8870565.0,27.296
2025-09-29 10:22:00,27.22,27.22,27.22,27.21,3875,10545105.0,27.295
2025-09-29 10:23:00,27.22,27.22,27.22,27.21,3336,9078774.0,27.294
2025-09-29 10:24:00,27.22,27.21,27.22,27.21,2827,7692887.0,27.293
2025-09-29 10:25:00,27.22,27.22,27.22,27.21,3769,10256626.0,27.292
2025-09-29 10:26:00,27.22,27.21,27.22,27.2,16466,44800593.0,27.288
2025-09-29 10:27:00,27.21,27.2,27.21,27.2,5143,13991247.0,27.287
2025-09-29 10:28:00,27.21,27.22,27.22,27.2,2929,7969197.0,27.286
2025-09-29 10:29:00,27.22,27.21,27.22,27.21,2034,5534992.0,27.286
2025-09-29 10:30:00,27.22,27.22,27.22,27.21,1863,5070081.0,27.286
2025-09-29 10:31:00,27.22,27.21,27.22,27.21,3748,10198485.0,27.285
2025-09-29 10:32:00,27.21,27.21,27.22,27.2,2742,7459159.0,27.284
2025-09-29 10:33:00,27.21,27.21,27.21,27.2,4727,12858726.0,27.283
2025-09-29 10:34:00,27.2,27.21,27.21,27.2,2050,5576932.0,27.283
2025-09-29 10:35:00,27.2,27.21,27.21,27.2,2785,7576034.0,27.282
2025-09-29 10:36:00,27.21,27.21,27.21,27.2,1800,4896924.0,27.282
2025-09-29 10:37:00,27.2,27.2,27.21,27.2,12957,35245023.0,27.279
2025-09-29 10:38:00,27.2,27.21,27.21,27.2,3450,9384551.0,27.278
2025-09-29 10:39:00,27.21,27.2,27.21,27.19,2652,7213080.0,27.278
2025-09-29 10:40:00,27.2,27.21,27.21,27.2,1684,4581017.0,27.277
2025-09-29 10:41:00,27.2,27.21,27.21,27.2,1883,5122295.0,27.277
2025-09-29 10:42:00,27.21,27.2,27.21,27.2,2702,7349945.0,27.277
2025-09-29 10:43:00,27.2,27.2,27.21,27.2,3278,8915950.0,27.276
2025-09-29 10:44:00,27.2,27.22,27.22,27.2,2056,5594522.0,27.276
2025-09-29 10:45:00,27.22,27.23,27.23,27.21,1664,4528787.0,27.275
2025-09-29 10:46:00,27.23,27.24,27.24,27.23,2829,7704148.0,27.275
2025-09-29 10:47:00,27.24,27.23,27.24,27.22,3566,9710082.0,27.275
2025-09-29 10:48:00,27.23,27.22,27.23,27.22,1512,4116259.0,27.274
2025-09-29 10:49:00,27.23,27.23,27.24,27.22,2520,6860887.0,27.274
2025-09-29 10:50:00,27.23,27.24,27.24,27.23,1117,3042143.0,27.274
2025-09-29 10:51:00,27.24,27.24,27.24,27.24,1663,4529543.0,27.274
2025-09-29 10:52:00,27.25,27.25,27.25,27.24,1340,3650559.0,27.274
2025-09-29 10:53:00,27.25,27.24,27.25,27.24,2000,5449193.0,27.274
2025-09-29 10:54:00,27.25,27.23,27.25,27.23,5913,16107447.0,27.273
2025-09-29 10:55:00,27.23,27.24,27.24,27.23,749,2039760.0,27.273
2025-09-29 10:56:00,27.24,27.22,27.24,27.22,2703,7358605.0,27.273
2025-09-29 10:57:00,27.21,27.23,27.23,27.21,1437,3911638.0,27.273
2025-09-29 10:58:00,27.24,27.23,27.24,27.22,1229,3346317.0,27.273
2025-09-29 10:59:00,27.22,27.21,27.23,27.21,1634,4447426.0,27.272
2025-09-29 11:00:00,27.22,27.21,27.23,27.21,1942,5285522.0,27.272
2025-09-29 11:01:00,27.22,27.22,27.23,27.21,1715,4667385.0,27.272
2025-09-29 11:02:00,27.22,27.21,27.23,27.21,1671,4547446.0,27.272
2025-09-29 11:03:00,27.21,27.23,27.23,27.21,1857,5054596.0,27.271
2025-09-29 11:04:00,27.24,27.22,27.24,27.22,1958,5330129.0,27.271
2025-09-29 11:05:00,27.23,27.23,27.23,27.21,1961,5337296.0,27.271
2025-09-29 11:06:00,27.22,27.23,27.23,27.22,1299,3536214.0,27.271
2025-09-29 11:07:00,27.23,27.22,27.23,27.21,1194,3251204.0,27.271
2025-09-29 11:08:00,27.21,27.22,27.22,27.21,1075,2925578.0,27.271
2025-09-29 11:09:00,27.22,27.22,27.23,27.21,1450,3946485.0,27.27
2025-09-29 11:10:00,27.22,27.22,27.22,27.21,1135,3088654.0,27.27
2025-09-29 11:11:00,27.21,27.22,27.23,27.21,1922,5231246.0,27.27
2025-09-29 11:12:00,27.23,27.22,27.23,27.21,1224,3331723.0,27.27
2025-09-29 11:13:00,27.23,27.22,27.23,27.22,986,2684050.0,27.27
2025-09-29 11:14:00,27.22,27.22,27.23,27.22,1987,5408617.0,27.27
2025-09-29 11:15:00,27.22,27.22,27.23,27.21,1004,2732828.0,27.269
2025-09-29 11:16:00,27.23,27.22,27.23,27.21,4090,11129642.0,27.269
2025-09-29 11:17:00,27.22,27.22,27.23,27.21,1138,3097468.0,27.269
2025-09-29 11:18:00,27.23,27.21,27.23,27.21,1479,4025084.0,27.269
2025-09-29 11:19:00,27.21,27.22,27.22,27.21,814,2214802.0,27.268
2025-09-29 11:20:00,27.22,27.22,27.22,27.2,1306,3554181.0,27.268
2025-09-29 11:21:00,27.21,27.21,27.22,27.2,1884,5126353.0,27.268
2025-09-29 11:22:00,27.21,27.22,27.22,27.21,1642,4467714.0,27.268
2025-09-29 11:23:00,27.21,27.21,27.22,27.21,1289,3507708.0,27.268
2025-09-29 11:24:00,27.22,27.22,27.22,27.21,1165,3170554.0,27.268
2025-09-29 11:25:00,27.22,27.21,27.22,27.21,1838,5001696.0,27.267
2025-09-29 11:26:00,27.21,27.21,27.22,27.21,3339,9085937.0,27.267
2025-09-29 11:27:00,27.21,27.22,27.22,27.21,1710,4653230.0,27.267
2025-09-29 11:28:00,27.21,27.21,27.22,27.21,1452,3951140.0,27.267
2025-09-29 11:29:00,27.21,27.21,27.22,27.21,4700,12788982.0,27.266
2025-09-29 11:30:00,27.21,27.21,27.22,27.21,2399,6528142.0,27.266
2025-09-29 13:01:00,27.21,27.21,27.23,27.21,5478,14908134.0,27.265
2025-09-29 13:02:00,27.21,27.22,27.22,27.21,4692,12767163.0,27.265
2025-09-29 13:03:00,27.21,27.22,27.22,27.21,1348,3668077.0,27.265
2025-09-29 13:04:00,27.21,27.2,27.22,27.2,1817,4943176.0,27.264
2025-09-29 13:05:00,27.2,27.2,27.22,27.2,3304,8988472.0,27.264
2025-09-29 13:06:00,27.21,27.21,27.21,27.2,2204,5995483.0,27.264
2025-09-29 13:07:00,27.21,27.21,27.21,27.2,1536,4179103.0,27.264
2025-09-29 13:08:00,27.21,27.21,27.22,27.2,1819,4948564.0,27.263
2025-09-29 13:09:00,27.2,27.21,27.21,27.2,1640,4461933.0,27.263
2025-09-29 13:10:00,27.2,27.21,27.21,27.2,1076,2927075.0,27.263
2025-09-29 13:11:00,27.21,27.21,27.21,27.2,2883,7843229.0,27.263
2025-09-29 13:12:00,27.21,27.2,27.21,27.2,2221,6042655.0,27.262
2025-09-29 13:13:00,27.2,27.21,27.21,27.2,1245,3386940.0,27.262
2025-09-29 13:14:00,27.21,27.21,27.21,27.2,2389,6499158.0,27.262
2025-09-29 13:15:00,27.21,27.21,27.21,27.2,1578,4293142.0,27.262
2025-09-29 13:16:00,27.2,27.21,27.22,27.2,1949,5303009.0,27.262
2025-09-29 13:17:00,27.21,27.23,27.23,27.21,5171,14076085.0,27.261
2025-09-29 13:18:00,27.22,27.24,27.24,27.22,2093,5698324.0,27.261
2025-09-29 13:19:00,27.24,27.23,27.24,27.22,1591,4331984.0,27.261
2025-09-29 13:20:00,27.22,27.23,27.24,27.22,1195,3253571.0,27.261
2025-09-29 13:21:00,27.22,27.22,27.23,27.22,970,2640746.0,27.261
2025-09-29 13:22:00,27.22,27.22,27.23,27.22,1742,4742124.0,27.261
2025-09-29 13:23:00,27.22,27.23,27.23,27.21,1396,3799846.0,27.261
2025-09-29 13:24:00,27.23,27.23,27.23,27.22,1246,3392030.0,27.261
2025-09-29 13:25:00,27.22,27.22,27.23,27.21,1663,4526161.0,27.26
2025-09-29 13:26:00,27.22,27.22,27.23,27.21,1411,3840678.0,27.26
2025-09-29 13:27:00,27.22,27.22,27.23,27.22,1292,3517364.0,27.26
2025-09-29 13:28:00,27.23,27.23,27.23,27.22,2214,6027835.0,27.26
2025-09-29 13:29:00,27.22,27.22,27.23,27.22,1875,5104121.0,27.26
2025-09-29 13:30:00,27.22,27.24,27.24,27.22,2914,7935240.0,27.26
2025-09-29 13:31:00,27.24,27.26,27.26,27.24,2503,6819511.0,27.26
2025-09-29 13:32:00,27.26,27.27,27.27,27.25,2945,8027717.0,27.26
2025-09-29 13:33:00,27.26,27.28,27.28,27.26,2173,5925920.0,27.26
2025-09-29 13:34:00,27.28,27.3,27.3,27.28,4019,10966356.0,27.26
2025-09-29 13:35:00,27.3,27.29,27.3,27.29,4669,12743906.0,27.26
2025-09-29 13:36:00,27.28,27.3,27.3,27.27,3162,8625563.0,27.26
2025-09-29 13:37:00,27.3,27.3,27.3,27.29,1962,5355703.0,27.261
2025-09-29 13:38:00,27.29,27.3,27.31,27.29,2168,5918767.0,27.261
2025-09-29 13:39:00,27.31,27.31,27.33,27.3,3596,9822577.0,27.261
2025-09-29 13:40:00,27.32,27.33,27.33,27.31,1821,4975659.0,27.261
2025-09-29 13:41:00,27.33,27.35,27.35,27.33,4268,11667243.0,27.262
2025-09-29 13:42:00,27.35,27.37,27.38,27.35,6896,18871081.0,27.263
2025-09-29 13:43:00,27.37,27.39,27.39,27.37,5532,15146212.0,27.264
2025-09-29 13:44:00,27.38,27.36,27.39,27.36,5321,14566758.0,27.265
2025-09-29 13:45:00,27.37,27.37,27.39,27.37,4270,11690331.0,27.266
2025-09-29 13:46:00,27.37,27.39,27.39,27.37,3969,10868588.0,27.267
2025-09-29 13:47:00,27.39,27.41,27.42,27.39,16290,44643818.0,27.27
2025-09-29 13:48:00,27.42,27.43,27.43,27.42,5324,14600751.0,27.272
2025-09-29 13:49:00,27.42,27.39,27.44,27.39,4501,12341702.0,27.273
2025-09-29 13:50:00,27.39,27.4,27.41,27.38,6330,17347094.0,27.274
2025-09-29 13:51:00,27.4,27.4,27.41,27.39,4226,11580637.0,27.275
2025-09-29 13:52:00,27.4,27.39,27.41,27.38,4339,11887603.0,27.276
2025-09-29 13:53:00,27.38,27.39,27.41,27.38,4408,12078457.0,27.276
2025-09-29 13:54:00,27.39,27.4,27.4,27.39,4727,12951284.0,27.277
2025-09-29 13:55:00,27.4,27.43,27.43,27.39,6855,18796359.0,27.279
2025-09-29 13:56:00,27.43,27.44,27.44,27.43,5029,13797255.0,27.28
2025-09-29 13:57:00,27.44,27.44,27.44,27.42,3876,10633910.0,27.281
2025-09-29 13:58:00,27.44,27.44,27.45,27.43,4589,12591678.0,27.282
2025-09-29 13:59:00,27.44,27.48,27.48,27.43,13694,37602219.0,27.285
2025-09-29 14:00:00,27.47,27.47,27.48,27.46,6259,17194681.0,27.287
