报告期,日期,盈利能力评分,行业排名,百分比排名,评价摘要
2014年报,2014-12-31,4.23076925,5/26,80.77,“包装印刷”行业内排名5/26，综合盈利能力优秀。其近3年净资产收益率平均为26.32%，净利率平均为18.24%，相关财务总体表现位于行业头部。
2015年报,2015-12-31,3.97058825,8/34,76.47,“包装印刷”行业内排名8/34，综合盈利能力良好。其近4年净资产收益率平均为23.35%，毛利率平均为39.03%，相关财务总体表现高于行业平均水平。
2016一季报,2016-03-31,3.52941175,11/34,67.65,“包装印刷”行业内排名11/34，综合盈利能力良好。其近5年净资产收益率平均为23.35%，营业利润率平均为22.77%，相关财务总体表现高于行业平均水平。
2016中报,2016-06-30,3.2894737,14/38,63.16,“包装印刷”行业内排名14/38，综合盈利能力良好。其近5年净资产收益率平均为23.35%，营业利润率平均为22.43%，相关财务总体表现高于行业平均水平。
2016三季报,2016-09-30,3.84615385,10/39,74.36,“包装印刷”行业内排名10/39，综合盈利能力良好。其近5年净资产收益率平均为21.77%，毛利率平均为38.80%，相关财务总体表现高于行业平均水平。
2016年报,2016-12-31,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为21.78%，净利率平均为17.69%，相关财务总体表现高于行业平均水平。
2017一季报,2017-03-31,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为19.32%，毛利率平均为39.56%，相关财务总体表现高于行业平均水平。
2017中报,2017-06-30,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为19.43%，毛利率平均为39.42%，相关财务总体表现高于行业平均水平。
2017三季报,2017-09-30,3.9473684,9/38,76.32,“包装印刷”行业内排名9/38，综合盈利能力良好。其近5年净资产收益率平均为19.75%，净利率平均为18.50%，相关财务总体表现高于行业平均水平。
2017年报,2017-12-31,3.7179487,11/39,71.79,“包装印刷”行业内排名11/39，综合盈利能力良好。其近5年净资产收益率平均为19.10%，净利率平均为18.08%，相关财务总体表现高于行业平均水平。
