"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 14 22:02:59 CST 2025","Mon Apr 14 22:02:59 CST 2025","13","","test_case","Test_getMsg","","","test_getMsgSum1[1-2-{""msg"": ""Success"", ""code"": 0, ""data"": {""transferSum"": 0}}]",""
"failed","Mon Apr 14 21:35:16 CST 2025","Mon Apr 14 21:35:16 CST 2025","14","","test_case","Test_getMsg","","","test_getMsgSum1[1-1-{'msg': 'Success', 'code': 0, 'data': {'alarmSum': 0}}]",""
"failed","Mon Apr 14 22:53:52 CST 2025","Mon Apr 14 22:53:54 CST 2025","2039","","test_case","Test_agency","","","test_createAgency[\u6d4b\u8bd5\u5f20\u4e09-13512345671]",""
"passed","Mon Apr 14 22:02:59 CST 2025","Mon Apr 14 22:02:59 CST 2025","7","","test_case","Test_getMsg","","","test_getMsgSum1[3-1-{""msg"": ""Success"", ""code"": 0, ""data"": {""alarmSum"": 0}}]",""
"failed","Mon Apr 14 22:52:20 CST 2025","Mon Apr 14 22:52:22 CST 2025","2038","","test_case","Test_agency","","","test_createAgency[\u6d4b\u8bd5\u5f20\u4e09-13512345678]",""
"failed","Mon Apr 14 21:35:16 CST 2025","Mon Apr 14 21:35:16 CST 2025","7","","test_case","Test_getMsg","","","test_getMsgSum1[3-1-{'msg': 'Success', 'code': 0, 'data': {'alarmSum': 0}}]",""
"passed","Mon Apr 14 22:54:32 CST 2025","Mon Apr 14 22:54:34 CST 2025","2035","","test_case","Test_agency","","","test_createAgency[\u6d4b\u8bd5\u674e\u56db-13912345673]",""
"passed","Mon Apr 14 22:02:59 CST 2025","Mon Apr 14 22:02:59 CST 2025","25","","test_case","Test_getMsg","","","test_getMsgSum1[1-1-{""msg"": ""Success"", ""code"": 0, ""data"": {""alarmSum"": 0}}]",""
"failed","Mon Apr 14 21:35:16 CST 2025","Mon Apr 14 21:35:16 CST 2025","12","","test_case","Test_getMsg","","","test_getMsgSum1[1-2-{'msg': 'Success', 'code': 0, 'data': {'transferSum': 0}}]",""
"passed","Mon Apr 14 22:54:30 CST 2025","Mon Apr 14 22:54:32 CST 2025","2044","","test_case","Test_agency","","","test_createAgency[\u6d4b\u8bd5\u5f20\u4e09-13512345672]",""
"failed","Mon Apr 14 21:26:42 CST 2025","Mon Apr 14 21:26:42 CST 2025","5","","test_case","Test_getMsg","","","test_getMsgSum1[agencyID-colFlag-\u9884\u671f\u7ed3\u679c]",""
