股票名称,价格变化百分比之和,财务指标,新增持股比例,持股数量,持股市值,可交易持股比例,连续持股季度数,总持股比例,所属行业
郑州煤电,22.044728,4569045100.0,46.1921,6061304.0,22184372.64,0.5,1,0.5,煤炭开采加工
贝斯美,-17.217147,3618651600.0,37.3144,3869752.0,46359628.96,1.07,1,1.07,农化制品
供销大集,12.865497,40613485000.0,36.3631,103993691.0,222546498.74,0.68,1,0.54,零售
安凯客车,27.435897,3776641400.0,36.3612,10051610.0,52569920.3,1.37,1,1.07,汽车整车
康尼机电,4.727273,5408128400.0,32.6725,7712137.0,45501608.3,0.92,1,0.84,轨交设备
嘉益股份,17.592269,11271644100.0,30.1007,808619.0,84565375.02,0.84,1,0.78,家居用品
芯联集成-U,12.977099,19825780000.0,25.7845,34321522.0,145180038.06,0.78,1,0.49,半导体
建霖家居,-8.018868,5344021600.0,21.4389,11114531.0,142377142.11,2.48,1,2.48,家居用品
首药控股-U,2.125341,1565916100.0,19.355,343796.0,13191452.52,0.62,1,0.23,化学制药
云南旅游,8.577406,4700428000.0,18.4081,5777565.0,34087633.5,0.61,1,0.57,旅游及酒店
儒竞科技,6.124722,2722006000.0,17.3886,294475.0,18163218.0,0.6,1,0.31,通用设备
东安动力,8.790181,4902664500.0,16.7583,3649666.0,37628056.46,0.78,1,0.77,汽车零部件
四方精创,108.859223,7710651400.0,15.0391,3724818.0,50136050.28,0.7,1,0.7,软件开发
好太太,-5.595409,5279573400.0,14.9253,1586954.0,22899746.22,0.4,1,0.39,家居用品
能特科技,5.349794,5641273500.0,14.7587,15230027.0,41121072.9,0.65,1,0.58,化学制药
福元医药,19.837758,3035020000.0,14.5853,9446923.0,160408752.54,4.6,1,1.97,化学制药
创业黑马,8.271605,3739917600.0,13.766,1264056.0,35937112.08,0.89,1,0.76,教育
三湘印象,-6.788512,4026109100.0,13.0261,6680386.0,26521132.42,0.57,1,0.57,房地产
沐邦高科,17.084746,8876642000.0,12.8569,3946708.0,72066888.08,0.91,1,0.91,光伏设备
恒林股份,-17.101732,4021818500.0,12.3396,884681.0,32910133.2,0.64,1,0.64,家居用品
