股票名,当日盈亏/盈亏率,盈亏/盈亏率,成本/现价,持仓/可用
恒生科技ETF,66.30/2.110%,169.64/5.540%,0.596/0.629,5100/5100
工商银行,-2.00/-0.304%,106.57/19.390%,5.486/6.550,100/100
标普ETF,-15.30/-0.515%,105.55/3.700%,1.677/1.739,1700/1700
半导体ETF,37.80/1.386%,70.96/2.610%,0.998/1.024,2700/2700
中国电信,-18.00/-2.620%,64.74/10.690%,6.044/6.690,100/100
爱仕达,39.00/2.200%,61.79/3.520%,17.504/18.120,100/100
国开债券ETF,18.30/0.058%,57.04/0.180%,105.560/105.750,300/300
华西能源,-12.00/-1.036%,23.23/2.060%,3.743/3.820,300/300
恒生ETF,8.80/0.323%,19.96/0.730%,1.234/1.243,2200/2200
城投债ETF,-0.20/-0.019%,8.88/0.870%,10.247/10.336,100/100
东百集团,1.00/0.123%,0.45/0.020%,8.118/8.120,100/0
国盛金控,-2.00/-0.147%,-42.92/-3.070%,14.021/13.590,100/100
鑫科材料,68.00/4.670%,-57.02/-3.620%,3.953/3.810,400/400
A500指数ETF,6.40/0.215%,-63.99/-2.100%,0.952/0.932,3200/3200
恒生科技ETF基金,80.30/1.783%,-80.78/-1.720%,0.639/0.628,7300/7300
福莱特,-52.00/-2.565%,-92.34/-4.480%,20.676/19.750,100/100
长江电力,19.00/0.656%,-187.61/-6.050%,31.039/29.160,100/100
未找到,未找到/未找到,未找到/未找到,未找到/未找到,未找到
红旗连锁,-2.00/-0.182%,-194.75/-15.100%,6.455/5.480,200/200
紫光股份,83.00/3.241%,-244.79/-8.480%,28.891/26.440,100/100
房地产ETF基金,20.80/1.194%,-452.15/-20.420%,0.852/0.678,2600/2600
