序号,股东名称,股东类型,协同股东名称,协同股东类型,协同次数,个股详情
1,全国社保基金四一三组合,社保,香港中央结算有限公司,其他,75,"601668|中国建筑|2024-09-30,600048|保利发展|2024-09-30,600066|宇通客车|2023-06-30,601179|中国西电|2024-09-30,001979|招商蛇口|2024-10-25,601128|常熟银行|2024-09-30,600820|隧道股份|2024-09-30,002508|老板电器|2024-09-30,601958|金钼股份|2024-03-31,000528|柳工|2024-03-31"
2,全国社保基金一一四组合,社保,香港中央结算有限公司,其他,71,"601899|紫金矿业|2023-03-31,600219|南山铝业|2024-09-30,600031|三一重工|2024-09-30,300124|汇川技术|2024-09-30,000338|潍柴动力|2024-06-30,600176|中国巨石|2024-09-30,002563|森马服饰|2023-06-30,000069|华侨城A|2024-03-31,601808|中海油服|2022-12-31,002028|思源电气|2024-06-30"
3,全国社保基金五零二组合,社保,香港中央结算有限公司,其他,63,"600989|宝丰能源|2022-12-31,002056|横店东磁|2023-03-31,601238|广汽集团|2022-12-31,002531|天顺风能|2023-03-31,600845|宝信软件|2023-12-31,600125|铁龙物流|2024-06-30,300232|洲明科技|2023-06-30,603218|日月股份|2023-06-30,600737|中粮糖业|2024-03-31,300206|理邦仪器|2023-06-30"
4,全国社保基金一一八组合,社保,香港中央结算有限公司,其他,57,"300059|东方财富|2022-12-31,603993|洛阳钼业|2023-12-31,601600|中国铝业|2024-09-30,000630|铜陵有色|2024-03-31,601377|兴业证券|2024-09-30,000932|华菱钢铁|2022-12-31,000807|云铝股份|2024-09-30,600958|东方证券|2024-03-31,600988|赤峰黄金|2024-09-30,002532|天山铝业|2024-09-30"
5,全国社保基金一一六组合,社保,香港中央结算有限公司,其他,57,"600023|浙能电力|2024-03-31,601699|潞安环能|2023-09-30,002080|中材科技|2023-03-31,000951|中国重汽|2023-09-30,600153|建发股份|2023-03-31,002244|滨江集团|2023-03-31,600415|小商品城|2023-12-31,600642|申能股份|2024-09-30,000921|海信家电|2024-09-30,600487|亨通光电|2023-03-31"
6,广发基金管理有限公司-社保基金四二零组合,社保,香港中央结算有限公司,其他,54,"601168|西部矿业|2024-09-30,002439|启明星辰|2024-03-31,300207|欣旺达|2024-09-30,601918|新集能源|2024-06-30,002837|英维克|2024-09-30,600373|中文传媒|2024-06-30,600428|中远海特|2024-06-30,300002|神州泰岳|2024-09-30,002384|东山精密|2024-06-30,601966|玲珑轮胎|2024-03-31"
7,全国社保基金一零一组合,社保,香港中央结算有限公司,其他,54,"000001|平安银行|2023-09-30,000338|潍柴动力|2024-06-30,600176|中国巨石|2024-09-30,600066|宇通客车|2024-09-30,600968|海油发展|2024-09-30,002648|卫星化学|2024-09-30,601088|中国神华|2024-09-30,600886|国投电力|2024-09-30,600096|云天化|2024-09-30,600741|华域汽车|2024-09-30"
8,全国社保基金六零二组合,社保,香港中央结算有限公司,其他,51,"002747|埃斯顿|2023-03-31,601100|恒立液压|2024-09-30,600096|云天化|2024-09-30,002463|沪电股份|2023-06-30,300002|神州泰岳|2023-03-31,601958|金钼股份|2024-06-30,601881|中国银河|2023-09-30,000400|许继电气|2024-09-30,600383|金地集团|2024-09-30,300251|光线传媒|2024-03-31"
9,全国社保基金四零六组合,社保,香港中央结算有限公司,其他,50,"300012|华测检测|2024-03-31,600885|宏发股份|2024-09-30,002064|华峰化学|2024-10-28,000415|渤海租赁|2024-09-30,601058|赛轮轮胎|2024-09-30,002508|老板电器|2024-09-30,002690|美亚光电|2024-03-31,002372|伟星新材|2024-09-30,002154|报喜鸟|2024-06-30,601918|新集能源|2024-09-30"
10,全国社保基金五零三组合,社保,香港中央结算有限公司,其他,49,"601985|中国核电|2024-03-31,000786|北新建材|2024-06-30,000629|钒钛股份|2024-09-30,002001|新和成|2024-09-30,600256|广汇能源|2024-09-30,601808|中海油服|2024-06-30,002385|大北农|2024-03-31,603218|日月股份|2022-12-31,601628|中国人寿|2023-06-30,000963|华东医药|2023-09-30"
