index,时间,开盘,收盘,最高,最低,成交量,成交额,均价
0,2025-09-29 09:30:00,7.38,7.38,7.38,7.38,13800,10184400.0,7.38
1,2025-09-29 09:31:00,7.39,7.36,7.4,7.36,55112,40630509.0,7.374
2,2025-09-29 09:32:00,7.36,7.34,7.36,7.33,64857,47672513.0,7.363
3,2025-09-29 09:33:00,7.34,7.34,7.35,7.34,49671,36467393.0,7.357
4,2025-09-29 09:34:00,7.34,7.33,7.35,7.33,35990,26398711.0,7.353
5,2025-09-29 09:35:00,7.33,7.32,7.34,7.32,22266,16322162.0,7.351
6,2025-09-29 09:36:00,7.33,7.31,7.33,7.31,66543,48682271.0,7.344
7,2025-09-29 09:37:00,7.32,7.31,7.32,7.3,79991,58474881.0,7.337
8,2025-09-29 09:38:00,7.32,7.31,7.32,7.31,19227,14067258.0,7.336
9,2025-09-29 09:39:00,7.32,7.31,7.32,7.31,29607,21649748.0,7.334
10,2025-09-29 09:40:00,7.32,7.31,7.32,7.31,13094,9579069.0,7.334
11,2025-09-29 09:41:00,7.32,7.32,7.33,7.31,38841,28420505.0,7.332
12,2025-09-29 09:42:00,7.32,7.32,7.33,7.31,28744,21040870.0,7.332
13,2025-09-29 09:43:00,7.32,7.33,7.33,7.32,11216,8213626.0,7.332
14,2025-09-29 09:44:00,7.33,7.32,7.33,7.32,11322,8291159.0,7.331
15,2025-09-29 09:45:00,7.33,7.35,7.35,7.32,28998,21264793.0,7.331
16,2025-09-29 09:46:00,7.35,7.36,7.36,7.34,25272,18574425.0,7.332
17,2025-09-29 09:47:00,7.35,7.33,7.35,7.33,16394,12033694.0,7.332
18,2025-09-29 09:48:00,7.34,7.34,7.34,7.33,3504,2570183.0,7.332
19,2025-09-29 09:49:00,7.34,7.33,7.34,7.33,16314,11962055.0,7.332
20,2025-09-29 09:50:00,7.33,7.34,7.34,7.32,33642,24654791.0,7.332
21,2025-09-29 09:51:00,7.33,7.33,7.34,7.33,40375,29588142.0,7.332
22,2025-09-29 09:52:00,7.33,7.32,7.33,7.32,28581,20925626.0,7.332
23,2025-09-29 09:53:00,7.32,7.34,7.35,7.32,34331,25165818.0,7.332
24,2025-09-29 09:54:00,7.34,7.33,7.34,7.32,17158,12583603.0,7.332
25,2025-09-29 09:55:00,7.33,7.35,7.35,7.33,7584,5568776.0,7.332
26,2025-09-29 09:56:00,7.35,7.35,7.36,7.34,11530,8473078.0,7.332
27,2025-09-29 09:57:00,7.35,7.36,7.36,7.34,7626,5604693.0,7.332
28,2025-09-29 09:58:00,7.35,7.36,7.36,7.35,8163,6003042.0,7.332
29,2025-09-29 09:59:00,7.35,7.34,7.36,7.34,15204,11176609.0,7.333
30,2025-09-29 10:00:00,7.35,7.34,7.35,7.34,9784,7183433.0,7.333
31,2025-09-29 10:01:00,7.34,7.34,7.35,7.34,10070,7392314.0,7.333
32,2025-09-29 10:02:00,7.35,7.35,7.35,7.34,6713,4928398.0,7.333
33,2025-09-29 10:03:00,7.34,7.34,7.35,7.33,23436,17204253.0,7.333
34,2025-09-29 10:04:00,7.35,7.35,7.36,7.35,15384,11308412.0,7.333
35,2025-09-29 10:05:00,7.36,7.34,7.36,7.34,13211,9703822.0,7.334
36,2025-09-29 10:06:00,7.34,7.34,7.35,7.34,10450,7673126.0,7.334
37,2025-09-29 10:07:00,7.34,7.33,7.35,7.33,7746,5684584.0,7.334
38,2025-09-29 10:08:00,7.34,7.33,7.34,7.33,4468,3276861.0,7.334
39,2025-09-29 10:09:00,7.34,7.33,7.34,7.33,8685,6366746.0,7.334
40,2025-09-29 10:10:00,7.33,7.31,7.33,7.31,57481,42084437.0,7.333
41,2025-09-29 10:11:00,7.32,7.32,7.32,7.31,16142,11814370.0,7.333
42,2025-09-29 10:12:00,7.32,7.32,7.32,7.31,12363,9048925.0,7.333
43,2025-09-29 10:13:00,7.31,7.33,7.33,7.31,20984,15347946.0,7.332
44,2025-09-29 10:14:00,7.32,7.32,7.32,7.31,24681,18045416.0,7.332
45,2025-09-29 10:15:00,7.31,7.31,7.32,7.31,9901,7240405.0,7.332
46,2025-09-29 10:16:00,7.32,7.32,7.32,7.31,9109,6663296.0,7.332
